ID（13+枪械类型（1冲锋枪；2狙击枪；3霰弹枪；4手枪；5突击步枪；6弩）+编号参数（xxxxx)	//注释	定义（11=后勤 12=角色 13=武器 14=武器配件）	Logo	图标200*200	图标130*130	武器大图	枪厂背景
ID	Comment	Define	Logo	P2	P3	P7	P8
13110001	友好邻里	13	140030300	140100002	140100004	140100001	140030301
13110002	铸铁卫士	13	140030600	140101202	140101204	140101201	140030601
13110003	旧日叹息	13	140030600	140101402	140101404	140101401	140030601
13110004	黑旗鱼	13	140030600	140101502	140101504	140101501	140030601
13110005	归来	13	140030600	140101302	140101304	140101301	140030601
13110006	偏头痛	13	140030400	140100402	140100404	140100401	140030401
13110007	电离水母	13	140030300	140100202	140100204	140100201	140030301
13110008	正在施工	13	140030300	140100102	140100104	140100101	140030301
13110009	北极狐	13	140030400	140100602	140100604	140100601	140030401
13110010	军舰鸟	13	140030400	140100502	140100504	140100501	140030401
13110011	星尘回忆	13	140030300	140100302	140100304	140100301	140030301
13110012	百战老兵	13	140030400	140100702	140100704	140100701	140030401
13110013	黑衣拿破仑	13	140030400	140100802	140100804	140100801	140030401
13110014	次氯酸	13	140030700	140101002	140101004	140101001	140030701
13110015	浮浪	13	140030700	140100902	140100904	140100901	140030701
13110016	天鹅座之心	13	140030600	140101102	140101104	140101101	140030601
13110017	安全线	13	140030300	140101602	140101604	140101601	140030301
13110018	隧蜂	13	140030300	140101702	140101704	140101701	140030301
13110019	锈色幸运	13	140030300	140101802	140101804	140101801	140030301
13110020	秘密永恒	13	140030300	140101902	140101904	140101901	140030301
13110021	中庭前线	13	140030300	140102002	140102004	140102001	140030301
13110022	卫兵	13	140030400	140102102	140102104	140102101	140030401
13110023	浅蓝触碰	13	140030100	140102202	140102204	140102201	140030101
13110024	阳光水纹	13	140030100	140102302	140102304	140102301	140030101
13110025	合金真理	13	140030700	140102402	140102404	140102401	140030701
13110026	洁白之环	13	140030400	140102502	140102504	140102501	140030401
13110027	白夜别诗	13	140030500	140102602	140102604	140102601	140030501
13110028	正法	13	140030400	140102702	140102704	140102701	140030401
13110029	星熔靛夜	13	140030100	140102802	140102804	140102801	140030101
