字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		小琴诺又在自己做咖啡啊。		
page1.2	H琴诺		嗯，不过这次是新口味。		
page1.3	H主角		（说实话，琴诺每次做的咖啡对我而言都是“新口味”……）		
page1.4	H琴诺		正好分析员在这儿，一会儿可以麻烦您品尝一下吗？		
page1.5	H主角		嗯……当然可以。		
page1.6	H琴诺		太好了，这一次是您之前没有喝过的味道哦。		
page1.7	H主角		哦？那我可得好好期待一下了。		
page1.8			五分钟后……琴诺的新品咖啡出品了。		
page1.9			怀着忐忑不安的心情浅尝一口后却发现……		
page1.10			竟然异常美味，甜度正好，而且还有种醇厚的口感。		
page1.11	H琴诺		怎么了分析员，是不好喝吗？		
page1.12	H主角		不，与其说不好喝，不如说是和平常喝到的味道不太一样。		
page1.13	H琴诺		嘿嘿，分析员的舌头果然很厉害。		
page1.14	H琴诺		刚刚的咖啡是按照莫尔索的配方做的哦。		
page1.15	H主角		原来如此……难怪有股巧克力味。		
page1.16	H琴诺		我说……分析员……你是不是还是更喜欢我做的咖啡呢？		
page1.17	H主角		两个口味都一样喜欢……真的。		
page1.18	H琴诺		那么一会儿，可以再尝尝琴诺配方的咖啡吗？		
page1.19	H主角		当然！		
