字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H安卡希雅		哟，你来了。		
page1.2	H安卡希雅		从我联系你，到你过来花了12分钟。		
page1.3	H主角		已经很快了吧？		
page1.4	H安卡希雅		现在是测试的重要时期，12分钟也很奢侈了。		
page1.5	H主角		所以你要扣我工资？不对，本来就没工资。		
page1.6	H安卡希雅		我想说，你要不要搬来和我住？这样省时间。		
page1.7	H主角		嗯？		
page1.8	H安卡希雅		不行吗？		
page1.9	H主角		还是放过我吧。		
page1.10	H安卡希雅		怎么说？		
page1.11	H主角		你应该是想让我半夜都帮你测试游戏吧？		
page1.12	H安卡希雅		啧，被看穿了。		
page1.13	H主角		我可不像你可以不睡觉，“分析员”这个工作可是很忙的。		
page1.14	H安卡希雅		行吧，又浪费了几分钟，赶紧开始测试吧。		
page1.15	H主角		开始吧。		
