字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1			既是重复了无数次日常，又是无法割舍的片刻。		
page1.2			在忙碌的间隙，我打算前往基地接杯咖啡，沐浴在春光中小憩片刻。		
page1.3			然而……		
page1.4			…………		
page1.5			……		
page1.6	H主角		奇怪，今天的大厅是停电了吗？		
page1.7	H主角		（但印象中也没接到通知……）		
page1.8	H里芙	Play_Vo_zhounian_girl002_01	三，是星期三的“三”……		
page1.9	旁白		黑暗中，传来了熟悉的声音。		
page1.10	H安卡希雅	Play_Vo_zhounian_girl001_01	二，是二次元高手的“二”。		
page1.11	H芬妮	Play_Vo_zhounian_girl008_01	一，是第一爱你的芬妮的“一”~		
page1.12	全员	Play_Vo_zhounian_all_01	庆典快乐！！！		
page1.13	H芬妮	Play_Vo_zhounian_girl008_02	怎么样？是不是超级意外~这可是本小姐亲自为你设计的惊喜哦。		
page1.14	H主角		确实挺惊喜的，虽然有想过会收到庆典祝福，但是没想到大家会一起上。		
page1.15	H里芙	Play_Vo_zhounian_girl002_02	不得不承认，这的确是芬妮的巧思。		
page1.16	H安卡希雅	Play_Vo_zhounian_girl001_02	就是倒计时的台词过于羞耻了，而且……		
page1.17	H安卡希雅	Play_Vo_zhounian_girl001_03	你偷偷把最后一句“独一无二‘一’”给改掉了吧？		
page1.18	H芬妮	Play_Vo_zhounian_girl008_03	那，那是临时想到的修改啦！		
page1.19	H妮塔	Play_Vo_zhounian_girl003_01	嘿嘿嘿，为了今天的惊喜，我可是提前打点好了基地的工作人员，让她们都要好好保密呢。		
page1.20	H主角		谢谢你，妮塔。只要有你在基地，就会让人格外安心。		
page1.21	H妮塔	Play_Vo_zhounian_girl003_02	哼哼~毕竟我可是“厅长”啊，只要你需要，我就会一直镇守在这里，无论多久……只要你安心就好。		
page1.22	H芙提雅	Play_Vo_zhounian_girl004_01	令人安心的存在啊……芙提雅老师倒是觉得，只要是待在分析员身边，无论在哪里都很安心哦~		
page1.23	H主角		果然，你的笑容是最棒的，低落的时候只要一想起你的笑脸，马上就能打起精神。		
page1.24	H芙提雅	Play_Vo_zhounian_girl004_02	嘿嘿，分析员也要记得多笑笑嘛，小老师一直觉得，还是你的笑容要更棒一些哦。		
page1.25	H茉莉安	Play_Vo_zhounian_girl005_01	分析员……相处了那么久，我在你心中，也有留下过些什么吗？		
page1.26	H主角		当然，虽然茉莉安总是一个人行动，但是正因如此，和你在一起经历过的那些回忆，才会格外宝贵。那天晚上的月光，我一直牢记在心。		
page1.27	H主角		茉莉安，你是个值得被温柔对待的女孩。		
page1.28	H茉莉安	Play_Vo_zhounian_girl005_02	嗯，但是我还是希望能在未来为你留下更多，更多，更多独属于我们的伤痕……		
page1.29	H恩雅	Play_Vo_zhounian_girl011_01	茉莉安可不许对分析员做奇怪的事哦，如果把他教坏了，姐姐我可就伤脑筋了~		
page1.30	H主角		咳嗯，恩雅姐也教了我不少奇怪的东西吧。		
page1.31	H主角		不过还是谢谢你了，一直在为我操心，无论是心灵上还是肉体上的伤口，恩雅姐总能第一时间察觉，第一时间为我疗愈。		
page1.32	H恩雅	Play_Vo_zhounian_girl011_02	呵呵呵，毕竟将我从过去的遗憾和自责中救赎出来的人，可是分析员你啊。		
page1.33	H琴诺	Play_Vo_zhounian_girl007_01	我……不，我和莫尔索也一样……是在遇见了分析员之后，才获得了救赎。		
page1.34	H主角		是吗，那就忘记过去那些不愉快的事，大胆追寻你们想要的幸福吧。		
page1.35	H琴诺	Play_Vo_zhounian_girl007_02	嗯，但如果非要有一个追寻的目标，那我想……只有您勇往直前的背影了。		
page1.36	H肴	Play_Vo_zhounian_girl010_01	一直往前冲，不累得慌吗，不如趁早躺平划算……		
page1.37	H主角		哈哈哈，我会注意分寸的，如果实在撑不住了，我自然会找个舒服的地方躺一会的，当然，到时候也拜托肴了，有你在旁边，才有悠哉游哉的氛围。		
page1.38	H肴	Play_Vo_zhounian_girl010_02	放心，我早就给你备好专属枕头了，超软的那种哦。		
page1.39	H晴	Play_Vo_zhounian_girl006_01	同，同床共枕吗……这种事，我也能做到！身为你的剑，你大可以将我摆放在任何位置。		
page1.40	H主角		的确，如果要以剑的标准来形容的话，晴绝对是一把绝世好剑。		
page1.41	H主角		但是，我倒是希望有朝一日，这把利刃可以不用再出鞘。晴，还是郁金香更适合你。		
page1.42	H晴	Play_Vo_zhounian_girl006_02	郁金香……果然，你还记得那件事。		
page1.43	H猫汐尔	Play_Vo_zhounian_girl012_01	晴前辈和分析员之间有什么秘密吗？为什么说话和谜语一样？		
page1.44	H主角		我说，这个世界上还有能难倒猫汐尔的谜语吗？		
page1.45	H猫汐尔	Play_Vo_zhounian_girl012_02	存在的，而且就在这里……在我的眼前，可是有一个要耗尽一生才能解开的谜题喵。		
page1.46	H姬辰星	Play_Vo_zhounian_girl014_01	因为分析员，我也收获了值得铭记终生的美好的回忆……只要回想起它们，就有了挣脱束缚的力量。		
page1.47	H主角		你的变化我都看在眼里，辰星，你比以前更爱笑了哦，而且脸蛋也圆了一圈呢~		
page1.48	H姬辰星	Play_Vo_zhounian_girl014_02	哎？有……有这样的事吗？！		
page1.49	H苔丝	Play_Vo_zhounian_girl017_01	说起来，正是因为老师的缘故，才让我有了新的目标。为了追上你，我也做了不少努力呢！		
page1.50	H主角		你的努力没有白费，我一直都看在眼里呢，苔丝。		
page1.51	H苔丝	Play_Vo_zhounian_girl017_02	嗯！最后能加入你的海姆达尔，真是太好了！		
page1.52	H凯茜娅	Play_Vo_zhounian_girl015_01	呵呵呵，这里的确是个有趣的地方，就连我这种女人都能找到容身之所，简直是不可思议。		
page1.53	H主角		毕竟我也是个奇怪的人，有你在身边的话，无论何时都不会觉得无聊。凯茜娅，你是个好女人呢。		
page1.54	H凯茜娅	Play_Vo_zhounian_girl015_02	不会让你感到无聊的好女人吗……呵，放心好了，无论你跑到哪里，我都会缠着你，直至踏遍这个烂透了的世界。		
page1.55	H伊切尔	Play_Vo_zhounian_girl016_01	伊切尔，也想当好女人！伊切尔，不想总被当成小孩子！		
page1.56	H主角		虽然我也能理解伊切尔的想法，但想要成为好女人的话，你要学得那可就多了去了，能应付得过来吗？		
page1.57	H伊切尔	Play_Vo_zhounian_girl016_02	能！给我等着分析员，明年的这个时候，一定会让你刮目相看！伊切尔，不会认输的！		
page1.58	H瑟瑞斯	Play_Vo_zhounian_girl013_01	瑟瑞斯也不会认输的！和分析员相处的每个瞬间，我都牢牢记在了心里。		
