ID	描述	描述多语言	失败引导	特点	掉落道具的等级范围 + 索引/数值/概率	毁灭能量	扣除防线血量	是否默认隐身	低优先级对象	是否是空中怪物	Spline模式中是否允许攻击	血量	攻击	攻击范围
Id	_Desc	Desc	DefeatDesc	Attributes	DropItem	DestroyEnergy	DefendDamage	bInVisible	LowPriority	IsAir	bCanAttackInSplineMode	HP	ATK	AOE
4811212	乙型异化人	farmwar_Mondes_3	farmwar_Mondes_3	{4,5}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,2},{2,2,1.6},{3,3,1.2},{4,100,0.8}}	500	0			1	farmwar.farmwar_vegHP_01	farmwar.farmwar_vegATK_01	farmwar.farmwar_vegAOE_01
4811213	丙型异化人	farmwar_Mondes_4	farmwar_Mondes_4	{1,6}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,4},{2,2,3.2},{3,3,2.4},{4,100,1.6}}	500	0			1	farmwar.farmwar_vegHP_02	farmwar.farmwar_vegATK_02	farmwar.farmwar_vegAOE_02
4811216	侵蚀泰坦	farmwar_Mondes_6	farmwar_Mondes_6	{1,3,8}	{{{1,1},{2,10,15},{3,1,1}},{{2,2},{2,10,12},{3,1,0.8}},{{3,3},{2,10,9},{3,1,0.6}},{{4,100},{2,10,6},{3,1,0.4}}}	{{1,1,14},{2,2,11.2},{3,3,8.4},{4,100,5.6}}	500	0			1	farmwar.farmwar_vegHP_03	farmwar.farmwar_vegATK_03	farmwar.farmwar_vegAOE_03
4811602	鼯鼠无人机	farmwar_Mondes_7	farmwar_Mondes_7	{7,9}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,2},{2,2,1.6},{3,3,1.2},{4,100,0.8}}	500	0			1	farmwar.farmwar_vegHP_04	farmwar.farmwar_vegATK_04	farmwar.farmwar_vegAOE_04
4811506	清理部队（近战）	farmwar_Mondes_13	farmwar_Mondes_13	{1,3,8}	{{{1,1},{2,10,15},{3,1,1}},{{2,2},{2,10,12},{3,1,0.8}},{{3,3},{2,10,9},{3,1,0.6}},{{4,100},{2,10,6},{3,1,0.4}}}	{{1,1,7},{2,2,5.6},{3,3,4.2},{4,100,2.8}}	500	0			1	farmwar.farmwar_vegHP_05	farmwar.farmwar_vegATK_05	farmwar.farmwar_vegAOE_05
5811109	审判官（巨剑慢速）	farmwar_Mondes_8	farmwar_Mondes_8	{1,19}	{{{1,1},{2,50,15},{3,1,5}},{{2,2},{2,50,12},{3,1,4}},{{3,3},{2,50,9},{3,1,3}},{{4,100},{2,5,6},{3,1,2}}}	{{1,1,27},{2,2,21.6},{3,3,16.2},{4,100,10.8}}	2000	0			1	farmwar.farmwar_vegHP_06	farmwar.farmwar_vegATK_06	farmwar.farmwar_vegAOE_06
5811309	空壳遗迹守卫	farmwar_Mondes_9	farmwar_Mondes_9	{1,10,19}	{{{1,1},{2,50,15},{3,1,5}},{{2,2},{2,50,12},{3,1,4}},{{3,3},{2,50,9},{3,1,3}},{{4,100},{2,5,6},{3,1,2}}}	{{1,1,34},{2,2,27.2},{3,3,20.4},{4,100,13.6}}	2000	0			1	farmwar.farmwar_vegHP_07	farmwar.farmwar_vegATK_07	farmwar.farmwar_vegAOE_07
5811511	铁娘子	farmwar_Mondes_10	farmwar_Mondes_10	{1,19}	{{{1,1},{2,50,15},{3,1,5}},{{2,2},{2,50,12},{3,1,4}},{{3,3},{2,50,9},{3,1,3}},{{4,100},{2,5,6},{3,1,2}}}	{{1,1,38},{2,2,30.4},{3,3,22.4},{4,100,15.2}}	2000	0			1	farmwar.farmwar_vegHP_08	farmwar.farmwar_vegATK_08	farmwar.farmwar_vegAOE_08
5811207	盖弥尔（陀螺）	farmwar_Mondes_11	farmwar_Mondes_11	{1,10,19}	{{{1,1},{2,50,15},{3,1,5}},{{2,2},{2,50,12},{3,1,4}},{{3,3},{2,50,9},{3,1,3}},{{4,100},{2,5,6},{3,1,2}}}	{{1,1,70},{2,2,56},{3,3,42},{4,100,28}}	4000	0			1	farmwar.farmwar_vegHP_09	farmwar.farmwar_vegATK_09	farmwar.farmwar_vegAOE_09
