OutBuffId	OutLevel	适用植物基础类型(如果全部植物都会生效，填0，如果不是对植物生效填 -1 / 不填)	适用植物特殊类型 支持配置table	需要的植物基类	需要的植物特殊类型	SkillInfo	Modifier	CustomBuff	SpecialTag	BuffLevel	在商店中的价格	是否可以重复购买	备注	
OutBuffId	OutLevel	BaseType	SpecType	RequireBaseType	RequireSpecType	SkillInfo	Modifier	CustomBuff	SpecialTag	BuffLevel	Price	Repeat		
110001	1								101	1	60	1	下次种植的地块所在格变为精土	
110002	1								102	1	60	1	立即失去所有辣椒能量，每失去10点获得1代币	
110003	1								103	1	60	1	失去所有代币，每失去 1 代币获得  1点 毁灭能量	
110004	1								104	1	25	1	防线回复15%耐久	
110005	1	8					3900260		1001	1	45		莲藕每距离防线1m，伤害提高2%，最多40%	
110006	1								1002	1			当某一种蔬菜数量不低于10时，蔬菜生命值提高300%，受击后额外恢复 3000点 生命值	
110007	1								1003	1			当某种蔬菜数量不超过4时，该类型蔬菜生命值提高30%，攻击力提高30%	
110008	1			{7,2}	{{1},{4}}				1004	1			场上存在鹰眼竹笋时，多发玉米伤害增加25%，场上存在多发玉米时，鹰眼竹笋暴击率增加10%。二者价格增加15%	场上存在鹰眼竹笋时，多发玉米伤害增加25%，场上存在多发玉米时，鹰眼竹笋造成伤害增加25%。二者价格增加15%
110009	1								1005	1	60		范围内加伤效果提高 20%	
110011	1								1007	1			隐身下的蔬菜每距离防线1m伤害提升3%，最多60%	
110012	1								1008	1	60		范围内蔬菜最大生命值提高 20%	
110013	1								1009	1	60		隐身状态下蔬菜生命值减少60%，攻击角度增加50%	
110014	1	8							1010	1			莲藕隐身下伤害增加25%，价格提高15%	
100001	1	2					3900101			1	30		玉米攻击力提高10% / 20% / 30%	
100001	2	2					3900101			2	30		玉米攻击力提高10% / 20% / 30%	
100001	3	2					3900101			3	30		玉米攻击力提高10% / 20% / 30%	
100002	1	3					3900102			1	30		西兰花攻击力提高10%	
100002	2	3					3900102			2	30		西兰花攻击力提高20%	
100002	3	3					3900102			3	30		西兰花攻击力提高30%	
100003	1	4					3900103			1	30		胡萝卜攻击力提高10% / 20% / 30%	
100003	2	4					3900103			2	30		胡萝卜攻击力提高10% / 20% / 30%	
100003	3	4					3900103			3	30		胡萝卜攻击力提高10% / 20% / 30%	
100004	1	2					3900104			1	30		玉米血量提高10% / 20% / 30%	
100004	2	2					3900104			2	30		玉米血量提高10% / 20% / 30%	
100004	3	2					3900104			3	30		玉米血量提高10% / 20% / 30%	
100005	1	3					3900105			1	30		西兰花血量提高10% / 20% / 30%	
100005	2	3					3900105			2	30		西兰花血量提高10% / 20% / 30%	
100005	3	3					3900105			3	30		西兰花血量提高10% / 20% / 30%	
