Id	Desc	MaxLevel	技能释放频率增加	能量生产量提升(辣椒专属)	种植冷却速度加快	价格降低	索敌角度增加	攻击探测距离提升	攻击模式切换	动态最大种植数量覆盖	击杀额外掉辣椒能量	铲除后能量返还%	获取代币提升	全屏伤害比率	毁灭能量获取增幅	伤害炸弹毁灭能量上限减少	冰冻毁灭能量上限减少	燃烧毁灭能量上限减少	冰冻毁灭技能等级	燃烧毁灭等级	金币获取代币效率提升	金币buff阳光获取率提升	金币种植冷却全局缩减	金币作用效果持续时间加成
CusId	Desc	MaxLevel	FrequencyUp	EnergyProduceUp	PlantCoolDownReduce	PriceReduce	AngleUp	DetectDistanceUp	AttackMode	DyMaxPlantNum	GetExtraEnergyOnKill	EliminateEnergyBack	CoinsUp	DestroyDamageRatioUp	DestroyDamageGetRatioUp	ExplosiveDestroyThresholdReduce	FrozenDestroyThresholdReduce	BurningDestroyThresholdReduce	FrozenLevel	BurningLevel	GoldCoinsMagnificationUp	GoldEnergyMagnificationUp	GoldPlantColdDownReduce	GoldEffectDurationUp
9900001		2		{10,20}																				
9900002		3	{10,20,30}																					
9900003		2			{25,50}																			
9900004		3				{10,20,30}																		
9900005		3											{10,20,30}											
9900006		1					{50}																	
9900007		1					{30}																	
9900008		4												{25,50,75,100}										
9900009		2				{10,20}																		
9900010		1			{20}																			
9900011		1	{5}																					
9900012		1		{-50}																				
9900013		4																			{20,45,60,70}			
9900014		1						{25}																
9900015		1						{50}																
9900016		3		{10,20,30}																				
9900017		1							{1}															
9900018		1							{3}															
9900019		1						{30}																
9900020		1									{30}													
9900021		1										{90}												
9900022		1	{-50}																					
9900023		1				{-30}																		
9900024		1	{10}																					
9900025		1					{25}																	
9900026		3												{25,50,75}										
9900027		1															{10}							
9900028		2																{10,20}						
9900029		1				{-15}																		
9900030		3																	{2,3}					
9900031		2																		{2}				
9900032		2																			{20,20}	{20,20}	{20,20}	
9900033		1																						{10}
9900034		1				{-25}																		
9900035		1	{40}			{20}																		
9900036		1				{30}																		
9900037		1						{25}																
9900038		2					{25,50}																	
9900039		3													{10,20,30}									
9900040		1			{80}							{80}												
9900041		1	{20}																					
9900042		2			{10,20}																			
