MonId	描述	UpVatPath	DownVatPath	植物类别	特定类别(0代表基类)	可升级对象	消耗资源	铲除返还资源百分比	种植冷却时间(s)	最大种植数量限制(-1代表没有限制)	是否主动攻击	索敌角度(相对于Forward)	空地攻击模式	基于敌人距离的攻击策略	是否俯仰	能量生成类型	能量生成量	技能冷却	感应距离最远(cm)	最近感应距离	光环类型	是否是一个寄生植物	人口消耗(默认为1)	是否是一次性爆炸植物
Id	Desc	UpVatPath	DownVatPath	Type	SpecType	UpgradeTarget	Cost	EliminateBackPercent	CoolDown	MaxPlantNum	IsCanAttack	SightAngle	AttackMode	AttackStrategy	IsPitch	EnergyType	EnergyGenerate	SkillCoolDown	DetectDistance	MinDistance	SupportType	bParasitic	SupplyCost	bOnlyBombVeg
19000001	小辣椒	Mon_804/BP_Vega_804a_VAT.BP_Vega_804a_VAT_C		1		19000002	50	30	5	30				0		1	15	10	0	0				
19000002	大辣椒	Mon_804/BP_Vega_804b_VAT.BP_Vega_804b_VAT_C		1	1		150	30	15	30				0		1	30	10	0	0				
19000003	玉米射手	Mon_805/BP_Vega_805a_VAT.BP_Vega_805a_VAT_C		2		{19000004,19000006,19000008}	100	30	5	30	1	30		0				0	5000	0				
19000004	连发玉米射手	Mon_805/BP_Vega_805b_VAT.BP_Vega_805b_VAT_C		2	1	19000005	150	30	15	30	1	30		0				0	5000	0				
19000005	超级连发玉米射手	Mon_805/BP_Vega_805c_VAT.BP_Vega_805c_VAT_C		2	4		350	30	20	30	1	30		0				0	5000	0				
19000006	火焰玉米射手	Mon_805/BP_Vega_805d_VAT.BP_Vega_805d_VAT_C		2	2	19000007	150	30	15	30	1	30		0				0	5000	0				
19000007	超级火焰玉米射手	Mon_805/BP_Vega_805e_VAT.BP_Vega_805e_VAT_C		2	5		350	30	20	30	1	30		0				0	750	0				
19000008	冰冻玉米射手	Mon_805/BP_Vega_805f_VAT.BP_Vega_805f_VAT_C		2	3	19000009	150	30	15	30	1	30		0				0	5000	0				
19000009	超级冰冻玉米射手	Mon_805/BP_Vega_805g_VAT.BP_Vega_805g_VAT_C		2	6		350	30	20	30	1	30		0				0	5000	0				
19000010	西兰花	Mon_806/BP_Vega_806a_VAT.BP_Vega_806a_VAT_C		3		19000011	200	30	5	30	1	90	1	0				0	525	0				
19000011	大西兰花	Mon_806/BP_Vega_806b_VAT.BP_Vega_806b_VAT_C		3	1		350	30	15	30	1	180	1	0				0	525	0				
19000012	胡萝卜	Mon_807/BP_Vega_807a_VAT.BP_Vega_807a_VAT_C		4		19000013	250	30	15	30	1	15	1	0	1			2.33	5000	0				
19000013	大胡萝卜	Mon_807/BP_Vega_807b_VAT.BP_Vega_807b_VAT_C		4	1	19000014	300	30	15	30	1	30	1	0	1			2.33	5000	0				
