ID	//备注	定义（11=后勤 12=角色 13=武器 14=武器配件 15=道具 18=家具 19=头像）	Logo	道具130*130	大图200*200	300*300	货币50*50	礼包400*400	封面大图	名片大图	聊天气泡图
ID	Comment	Define	Logo	P3	P2	P5	P10	P11	P14	P15	P16
1900001	分析员	19		2600011	2600012						
1900002	迷你分析员	19		2600021	2600022						
1900003	自爆纸盒	19		2600031	2600032						
1900004	迷你尤弥尔	19		2600041	2600042						
1900005	优质小吉	19		2600051	2600052						
1900006	迷你安卡希雅	19		2600061	2600062						
1900007	迷你芬妮	19		2600071	2600072						
1900008	迷你芙提雅	19		2600081	2600082						
1900009	迷你里芙	19		2600091	2600092						
1900010	迷你肴	19		2600101	2600102						
1900011	陶	19		2600111	2600112						
1900012	爱思特	19		2600121	2600122						
1900013	贝翠斯	19		2600131	2600132						
1900014	降临团会员	19		2600141	2600142						
1900015	卡罗琳	19		2600151	2600152						
1900016	李秋雪	19		2600161	2600162						
1900017	小女孩	19		2600171	2600172						
1900018	拾荒者	19		2600181	2600182						
1900019	接引使	19		2600191	2600192						
1900020	“妹妹”	19		2600201	2600202						
1900021	逐光者少女	19		2600211	2600212						
1900022	迷你琴诺	19		2600221	2600222						
1900023	迷你瑟瑞斯	19		2600231	2600232						
1900024	迷你辰星	19		2600241	2600242						
1900025	迷你晴	19		2600251	2600252						
1900026	迷你茉莉安	19		2600261	2600262						
1900027	迷你猫汐尔	19		2600271	2600272						
1900028	迷你恩雅	19		2600281	2600282						
1900029	迷你妮塔	19		2600291	2600292						
1900030	迷你透墨索斯	19		2600301	2600302						
1900031	迷你泳装安卡希雅	19		2600311	2600312						
1900032	迷你泳装芙提雅	19		2600321	2600322						
1900033	迷你泳装恩雅	19		2600331	2600332						
1900034	迷你泳装猫汐尔	19		2600341	2600342						
1900035	迷你泳装瑟瑞斯	19		2600351	2600352						
1900036	迷你泳装辰星	19		2600361	2600362						
1900037	迷你泳装分析员	19		2600371	2600372						
1900038	埃达-微笑练习	19		2600391	2600392						
1900039	迷你苔丝	19		2600381	2600382						
1900040	雪境回响	19		2600401	2600402						
1900041	迷你凯茜娅	19		2600441	2600442						
1900042	律动之星	19		2600411	2600412						
1900043	洞察者	19		2600431	2600432						
1900044	聊门纪念·胜利	19		2600461	2600462						
1900045	聊门纪念·数数	19		2600471	2600472						
1900046	迷你伊切尔	19		2600421	2600422						
1900047	耶洛沙星图	19		2600451	2600452						
1900048	好运蒸蒸	19		2600481	2600482						
1900049	月轨星蚀	19		2600491	2600492						
1900050	一键登录	19		2600501	2600502						
1900051	循环加载	19		2600511	2600512						
1900052	最佳方案	19		2600571	2600572						
1900053	到碗里来	19		2600561	2600562						
1900054	麻辣爱心火锅	19		2600521	2600522						
1900055	心动里芙	19		2600531	2600532						
1900056	心动芬妮	19		2600541	2600542						
1900057	心动茉莉安	19		2600551	2600552						
1900058	胶片映像	19		2600581	2600582						
1900059	迷你薇蒂雅	19		2600591	2600592						
1900060	最终赢家	19		2600593	2600594						
1900061	高歌勇进	19		2600595	2600596						
1900062	凯茜娅-起舞	19		2600601	2600602						
1900063	旷漠诡境	19		2600611	2600612						
1900068	芬妮辉耀-初心之舞	19		2600641	2600642						
1900069	逐流深呓	19		2600631	2600632						
1900071	分析员的认可	19		2600651	2600652						
1900072	迷你卜卜	19		2600781	2600782						
1900073	来条大的	19		2600871	2600872						
1900074	鹊引春归	19		2600791	2600792						
1900075	瞄准目标	19		2600801	2600802						
1900076	迷你恒约里芙	19		2600831	2600832						
1900077	迷你恒约芬妮	19		2600841	2600842						
1900078	迷你恒约辰星	19		2600851	2600852						
1900079	迷你恒约肴	19		2600861	2600862						
1900080	再尝亿口纳宝帝	19		2600811	2600812						
1900081	摸鱼必备纳宝帝	19		2600821	2600822						
1900082	模因洞悉	19		2600881	2600882						
1900083	绚丽乐园	19		2600891	2600892						
1900084	渊海孤芒	19		2600920	2600921						
1900085	占位	19		2600930	2600931						
1900086	活力滋味-OATLY	19		2600900	2600901						
1900087	优雅品尝-OATLY	19		2600910	2600911						
1900088	占位	19		2600940	2600941						
1900089	藏好了吗	19		2600950	2600951						
1900090	碎隙回响	19		2600960	2600961						
1900091	迷你奈丽德	19		2600970	2600971						
1900092	分析员的推理	19		2600990	2600991						
1900093	哧溜解渴健力宝	19		2601040	2601041						
1900094	咕咚爽喝健力宝	19		2601050	2601051						
1900095	辣么上头虎邦	19		2601060	2601061						
