字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				随着恩雅的攻击，最后一名“敌人”也化为星星点点的光芒消失，散落在草地之上。	0	2.6版本外传故事
2		0				周围骤然安静下来，白色的鸟儿从天边飞过，湖中的游鱼荡起阵阵涟漪，连微风拂过草地的声音都能听得清楚。	0	2.6版本外传故事
3		0				我和恩雅并肩而立，久久沉默着，不愿打破这里的宁静。	0	2.6版本外传故事
4		9	恩雅澜风		Play_Vo_dlc15ep6_girl011_01	“悲伤”，“恐惧”和“不安”，都被打倒了……	0	2.6版本外传故事
5		0				温暖和煦的日光下，晶莹的泪珠反射着彩色的光，自少女的脸上落下。	0	2.6版本外传故事
6		6	恩雅澜风		Play_Vo_dlc15ep6_girl011_02	我们，成功了。	0	2.6版本外传故事
7		6	恩雅澜风		Play_Vo_dlc15ep6_girl011_03	这样的话，那些人终于得到真正的解脱了吧？	0	2.6版本外传故事
8		0	分析员战斗			一定是的。	0	2.6版本外传故事
9		0				在这个空间中，我已经感觉不到除了恩雅之外的意识存在。	0	2.6版本外传故事
10		0				就在这时，一个如萤火般微弱的光点在我的眼前缓缓落下，我伸出手，它便落在了我的手中，继而融入我的掌心。	0	2.6版本外传故事
11		0	分析员战斗			……真神者？	0	2.6版本外传故事
12		6	恩雅澜风		Play_Vo_dlc15ep6_girl011_04	分析员，你是说……	0	2.6版本外传故事
13		0				恩雅惊讶地看向我，而我脸上的表情大概也不太好看。	0	2.6版本外传故事
14		0	分析员战斗			最后的信息中，我读到了真神者的痕迹。	0	2.6版本外传故事
15		0	分析员战斗			难怪，如果是它们的话，的确说得通。	0	2.6版本外传故事
16		0	分析员战斗			兜兜转转，也该去看看葫芦里卖的是什么药了。	0	2.6版本外传故事
17		6	恩雅澜风		Play_Vo_dlc15ep6_girl011_05	我明白了，我们走吧。	0	2.6版本外传故事
18		6	恩雅澜风		Play_Vo_dlc15ep6_girl011_06	外面世界的16区还需要被拯救，小茉莉安也一定很担心你。	0	2.6版本外传故事
