活动Id	排序	描述	图片	开启时间	结束时间	跳转	备注	每日弹的开启时间	每日弹的结束时间	弹出的次数(常规是每日,结合终身标记)	是否终身(限制次数,0默认否1是)	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	不弹条件(例{{1,1}})（1账号等级 2前置关卡 33拥有某个道具，14表示供应站中的ID）	7天不弹开关(0默认不显示1显示)	对应的界面	强制跳转（填1关闭时强制跳转	地区限制目前可填：0国内外,1国内,2海外
Id	Sort	Des	Bg	StartTime	EndTime	Jump		PopBeginTime	PopEndTime	Count	Lifelong	Condition1	Condition	nPopFlag	sPopName	ForceJump	Coverage
1			1602135	[202308070400]	[202308140400]		活动打脸图	[202308070400]	[202308140400]	1		{{{2,11429}},{{2,10104}}}					
2			1602148	[202308070400]	[202308140400]	{8,4}	狂猎皮肤打脸图	[202308070400]	[202308140400]	1		{{{2,11429}},{{2,10104}}}	{{14,602}}				
3			1602148	[202308311000]	[202309030400]	{8,4}	狂猎皮肤打脸图	[202308311000]	[202309030400]	1		{{{2,11429}},{{2,10104}}}	{{14,602}}				
																	
4	1		1602163	[202309211000]	[202309280400]		活动打脸图	[202309211000]	[202309280400]	1		{{{2,11429}},{{2,10104}}}					
5	2		1602164	[202309211000]	[202309280400]	{8,4,603}	藏锋皮肤打脸图	[202309211000]	[202309280400]	1		{{{2,11429}},{{2,10104}}}	{{14,603}}				
6	3		1602165	[202310121000]	[202310190400]	{8,4,604}	缄默皮肤打脸图	[202310121000]	[202310190400]	1		{{{2,11429}},{{2,10104}}}	{{14,604}}				
																	
7	1		1602215	[202311021000]	[202311090400]		活动打脸图	[202311021000]	[202311090400]	1		{{{2,11429}},{{2,10104}}}					
8	3		1602196	[202311021000]	[202311090400]	{8,4,606}	云篆皮肤打脸图	[202311021000]	[202311090400]	1		{{{2,11429}},{{2,10104}}}	{{14,606}}				
9	2		1602195	[202311021000]	[202311090400]	{8,4,605}	溯影皮肤打脸图	[202311021000]	[202311090400]	1		{{{2,11429}},{{2,10104}}}	{{14,605}}				
																	
10	1		1602255	[202312141000]	[202312210400]		dlc4版本登录打脸图	[202312141000]	[202312210400]	1		{{{2,11429}},{{2,10104}}}					
11	2		1602254	[202312141000]	[202312210400]	{8,4,607}	dlc4苔丝皮肤打脸图	[202312141000]	[202312210400]	1		{{{2,11429}},{{2,10104}}}	{{14,607}}				
12	3		1602252	[202312141000]	[202312210400]	{8,4,608}	dlc4芬妮皮肤打脸图	[202312141000]	[202312210400]	1		{{{2,11429}},{{2,10104}}}	{{14,608}}				
13	4		1602253	[202312141000]	[202312210400]	{8,4,609}	dlc4狂猎皮肤打脸图	[202312141000]	[202312210400]	1		{{{2,11429}},{{2,10104}}}	{{14,609}}				
																	
14	1		1602279	[202401181000]	[202401250400]		dlc5活动打脸图	[202401181000]	[202401250400]	1		{{{2,11429}},{{2,10104}}}					
15	2		1602285	[202401181000]	[202401250400]	{8,4,610}	dlc5凯西娅皮肤打脸图	[202401181000]	[202401250400]	1		{{{2,11429}},{{2,10104}}}	{{14,610}}				
16	3		1602283	[202401181000]	[202401250400]	{8,4,611}	dlc5缄默皮肤打脸图	[202401181000]	[202401250400]	1		{{{2,11429}},{{2,10104}}}	{{14,611}}				
17	4		1602300	[202402081000]	[202402150400]	{8,4,612}	dlc5辉夜-东流映荷皮肤打脸图	[202402081000]	[202402150400]	1		{{{2,11429}},{{2,10104}}}	{{14,612}}				
																	
18	1		1602314	[202403071000]	[202403140400]		dlc6活动打脸图	[202403071000]	[202403140400]	1		{{{2,11429}},{{2,10104}}}					
19	2		1602304	[202403071000]	[202403140400]	{8,4,614}	dlc6伊切尔-迟到花蕾(皮肤)打脸图	[202403071000]	[202403140400]	1		{{{2,11429}},{{2,10104}}}	{{14,614}}				
20	3		1602305	[202403071000]	[202403140400]	{8,4,613}	dlc6芬妮-咎冠(皮肤)甜蜜统治打脸图	[202403071000]	[202403140400]	1		{{{2,11429}},{{2,10104}}}	{{14,613}}				
																	
21	1		1602348	[202404181000]	[202404250400]		dlc7活动打脸图	[202404181000]	[202404250400]	1		{{{2,11429}},{{2,10104}}}					
22	2		1602337	[202404181000]	[202404250400]	{8,4,615}	dlc7琴诺-见习侍奉（皮肤）打脸图	[202404181000]	[202404250400]	1		{{{2,11429}},{{2,10104}}}	{{14,615}}				
23	3		1602338	[202405021000]	[202405090400]	{8,4,616}	dlc7恩雅-轻语疗法（皮肤）打脸图	[202405021000]	[202405090400]	1		{{{2,11429}},{{2,10104}}}	{{14,616}}				
																	
24	1		1602383	[202405301000]	[202406060400]		dlc8活动打脸图	[202405301000]	[202406060400]	1		{{{2,11429}},{{2,10104}}}					
25	2		1602374	[202405301000]	[202406060400]	{8,4,617}	DLC8瑟瑞斯-须臾蹁跹（皮肤）打脸图	[202405301000]	[202406060400]	1		{{{2,11429}},{{2,10104}}}	{{14,617}}				
26	3		1602373	[202405301000]	[202406060400]	{8,4,618}	DLC8凯西娅-贴身特助（皮肤）打脸图	[202405301000]	[202406060400]	1		{{{2,11429}},{{2,10104}}}	{{14,618}}				
																	
27	1		1602403	[202407110400]	[202407180400]		dlc9活动打脸图	[202407110400]	[202407180400]	1		{{{2,11429}},{{2,10104}}}					
28	2		1602404	[202407110400]	[202407180400]	{8,4,619}	DLC9里芙-无限之视-爱意凝晶（皮肤）打脸图	[202407110400]	[202407180400]	1		{{{2,11429}},{{2,10104}}}	{{14,619}}				
29	3		1602405	[202407251000]	[202408010400]	{8,4,620}	DLC9芬妮-辉耀-绽于恋时（皮肤）打脸图	[202407251000]	[202408010400]	1		{{{2,11429}},{{2,10104}}}	{{14,620}}				
30	4		1602406	[202407110400]	[202407180400]	{8,4,621}	DLC9茉莉安-雨燕-绯染夜幕（皮肤）打脸图	[202407110400]	[202407180400]	1		{{{2,11429}},{{2,10104}}}	{{14,621}}				
																	
31	1		1602449	[202408221000]	[202408290400]		版本打脸图	[202408221000]	[202408290400]	1		{{{2,11429}},{{2,10104}}}					
32	2		1602444	[202408221000]	[202408290400]	{8,4,1008}	薇蒂雅-翠翎倩姿（皮肤）打脸图	[202408221000]	[202408290400]	1		{{{2,11429}},{{2,10104}}}	{{14,1008}}				
33	3		1602450	[202408221000]	[202408290400]	{8,4,1009}	辰星-云篆-点墨化龙（皮肤）打脸图	[202408221000]	[202408290400]	1		{{{2,11429}},{{2,10104}}}	{{14,1009}}				
																	
34	1		1602525	[202409260400]	[202410030400]		版本打脸图	[202409260400]	[202410030400]	1		{{{2,11429}},{{2,10104}}}					
35	2		1602530	[202409260400]	[202410030400]	{8,4,629}	凯茜娅-朝翼-沐浪倦姿（皮肤）打脸图	[202409260400]	[202410030400]	1		{{{2,11429}},{{2,10104}}}	{{14,629}}				
36	3		1602526	[202410101000]	[202410170400]	{8,4,630}	茉莉安-幽潮-灿阳一刻（皮肤）打脸图	[202410101000]	[202410170400]	1		{{{2,11429}},{{2,10104}}}	{{14,630}}				
37	4		1602528	[202409260400]	[202410030400]	{8,4,631}	恩雅-羽蜕-浅憩之处（皮肤）打脸图	[202409260400]	[202410030400]	1		{{{2,11429}},{{2,10104}}}	{{14,631}}				
																	
38	1		1602558	[202411071000]	[202411140400]		版本打脸图	[202411071000]	[202411140400]	1		{{{2,11429}},{{2,10104}}}					
40	2		1602560	[202411071000]	[202411140400]	{8,4,632}	芙提雅-驰掣-毛绒派对（皮肤）打脸图	[202411071000]	[202411140400]	1		{{{2,11429}},{{2,10104}}}	{{14,632}}				
41	3		1602559	[202411071000]	[202411140400]	{8,4,633}	瑟瑞斯-瞬刻-斑斓水色（皮肤）打脸图	[202411071000]	[202411140400]	1		{{{2,11429}},{{2,10104}}}	{{14,633}}				
																	
42	1		1602579	[202412191000]	[202412260400]		版本打脸图	[202412191000]	[202412260400]	1		{{{2,11429}},{{2,10104}}}					
43	2		1602581	[202412191000]	[202412260400]	{8,4,634}	琴诺-悖谬-清荷雅弈（皮肤）打脸图	[202412191000]	[202412260400]	1		{{{2,11429}},{{2,10104}}}	{{14,634}}				
44	3		1602583	[202412191000]	[202412260400]	{8,4,635}	伊切尔-豹豹-捕猎演习（皮肤）打脸图	[202412191000]	[202412260400]	1		{{{2,11429}},{{2,10104}}}	{{14,635}}				
																	
45	1		1602640	[202501230400]	[202501300400]		版本打脸图	[202501230400]	[202501300400]	1		{{{2,11429}},{{2,10104}}}					
46	2		1602648	[202501230400]	[202501300400]	{8,4,636}	辰星-琼弦-欣描红妆（皮肤）打脸图	[202501230400]	[202501300400]	1		{{{2,11429}},{{2,10104}}}	{{14,636},{14,1017}}				
47	3		1602649	[202502061000]	[202502130400]	{8,4,637}	肴-夜天光-暖夜情醺（皮肤）打脸图	[202502061000]	[202502130400]	1		{{{2,11429}},{{2,10104}}}	{{14,637},{14,1018}}				
48	4		1602650	[202501230400]	[202501300400]	{8,4,638}	芬妮-辉耀-金狮舞瑞（皮肤）打脸图	[202501230400]	[202501300400]	1		{{{2,11429}},{{2,10104}}}	{{14,638},{14,1019}}				
																	
49	1		1602693	[202503060400]	[202503130400]		版本打脸图	[202503060400]	[202503130400]	1		{{{2,11429}},{{2,10104}}}					
50	2		1602682	[202503060400]	[202503130400]	{8,4,639}	恩雅-澜风-望云清咏（皮肤）打脸图	[202503060400]	[202503130400]	1		{{{2,11429}},{{2,10104}}}	{{14,639},{14,1021}}				
51	3		1602678	[202503060400]	[202503130400]	{8,4,641}	茉莉安-幽潮-绒尾迷梦（皮肤）打脸图	[202503060400]	[202503130400]	1		{{{2,11429}},{{2,10104}}}	{{14,641},{14,1023}}				
52	4		1602673	[202503060400]	[202503130400]	{8,4,640}	薇蒂雅-龙舌兰-舞夜与焰（皮肤）打脸图	[202503060400]	[202503130400]	1		{{{2,11429}},{{2,10104}}}	{{14,640},{14,1022}}				
																	
53	1		1602758	[202504170400]	[202504240400]		版本打脸图	[202504170400]	[202504240400]	1		{{{2,11429}},{{2,10104}}}					
54	3		1602744	[202504170400]	[202504240400]	{8,4,642}	妮塔悸响-林间潋滟（皮肤）打脸图	[202504170400]	[202504240400]	1		{{{2,11429}},{{2,10104}}}	{{14,642},{14,1024}}				
55	2		1602755	[202504170400]	[202504240400]	{8,4,1027}	奈莉德-晨曦统令（皮肤）打脸图	[202504170400]	[202504240400]	1		{{{2,11429}},{{2,10104}}}	{{14,1027}}				
																	
56	1		1602781	[202505291000]	[202506050400]		版本打脸图	[202505291000]	[202506050400]	1		{{{2,11429}},{{2,10104}}}					
57	2		1602764	[202505291000]	[202506050400]	{8,4,645}	薇蒂雅-天鹅座-云端之邀（皮肤）打脸图	[202505291000]	[202506050400]	1		{{{2,11429}},{{2,10104}}}	{{14,645},{14,1028}}				
																	
58	1		1602830	[202507100400]	[202507170400]		版本打脸图	[202507100400]	[202507170400]	1		{{{2,11429}},{{2,10104}}}					
59	3		1602826	[202507100400]	[202507170400]	{8,4,1031}	凯茜娅-狂诗-星抚恋音（皮肤）打脸图	[202507100400]	[202507170400]	1		{{{2,11429}},{{2,10104}}}	{{14,648},{14,1031}}				
60	2		1602827	[202507241000]	[202507310400]	{8,4,1032}	苔丝-绮幻-恋如花舞（皮肤）打脸图	[202507241000]	[202507310400]	1		{{{2,11429}},{{2,10104}}}	{{14,649},{14,1032}}				
																	
61	1		1602872	[202508211000]	[202508280400]		版本打脸图	[202508211000]	[202508280400]	1		{{{2,11429}},{{2,10104}}}					
62	2		1602870	[202508211000]	[202508280400]	{8,4,1035}	克罗瑞娜-绯月-皎月幽祈（皮肤）打脸图	[202508211000]	[202508280400]	1		{{{2,11429}},{{2,10104}}}	{{14,652},{14,1035}}				
																	
64	1		1602931	[202509250400]	[202510020400]		版本打脸图	[202509250400]	[202510020400]	1		{{{2,11429}},{{2,10104}}}					
65	2		1602935	[202509250400]	[202510020400]	{8,4,1039}	芬妮-澄意-夕晖蜜约（皮肤）打脸图	[202509250400]	[202510020400]	1		{{{2,11429}},{{2,10104}}}	{{14,656},{14,1039}}				
