字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	哟呼，分析员，这里这里~	呦呼，分析員，這裡這裡~	やっほー、分析員、こっちこっち。	유후, 분석가, 여기야~	Yoohoo~ Adjutant! Over here!						0	3.0主线剧情
2	在泰坦物质构筑的空间中跋涉许久后，我和凯茜娅终于看到了远处的埃达人间体。	在泰坦物質構築的空間中跋涉許久後，我和凱茜婭終於看到了遠處的埃達人間體。	タイタン物質で構築された空間を長く歩いた後、私とカーシアはようやく遠くにいる人間体を見つけた。	타이탄 물질로 구축된 공간을 한참 헤매다가, 나와 캐시아는 마침내 멀리서 에다 휴머노이드를 발견했다.	After what felt like ages navigating through the Titagen-forged tunnel, Katya and I finally spotted Edda's human form in the distance.						0	3.0主线剧情
3	她端坐在一把高脚凳上，见我靠近，方才从上面跳下。	她端坐在一把高腳椅上，看我靠近，才從上面跳下來。	私が近づくと、彼女は座っているハイスツールから飛び降りた。	높은 의자에 걸터앉아 있던 그녀는 내가 다가가자, 그제야 의자에서 내려왔다.	She sat perched atop a tall stool. Only when I drew close did she hop down.						0	3.0主线剧情
4	没想到你真的找到这里来了，嗯，很敏锐呢！	沒想到你真的找到這裡來了，嗯，很敏銳呢！	本当にここまで来たんだ。うん！えらいね！	정말로 여기까지 찾아올 줄이야. 음, 생각보다 예리하네!	Color me impressed — you really sniffed this place out. Very perceptive.						0	3.0主线剧情
5	她夸张地拍了几下掌，眼中却没有一丝笑意。	她誇張地拍了幾下掌，眼中卻沒有一絲笑意。	人間体はわざとらしく数回拍手をしたが、目は笑っていなかった。	그녀는 호들갑 떨며 손뼉 쳤지만, 눈빛에는 웃음기가 전혀 없었다.	She clapped, slow and exaggerated, yet her eyes were cold.						0	3.0主线剧情
6	你的花招都被拆穿了，埃达。	你的花招都被拆穿了，埃達。	あなたの計画はすべてバレてるわ、エッダ。	네 수법은 다 들통났어, 에다.	Your little tricks won't work anymore, Edda.						0	3.0主线剧情
7	你以为这就结束了吗？凯茜娅·克莱因。	你以為這就結束了嗎？凱茜婭·克萊因。	決着はまだだよ？カーシア・クライン。	이게 끝인 줄 알았나 봐? 캐시아 클레인.	Oh~? You think this is the end, Katya Klein?						0	3.0主线剧情
8	你之前给我的痛苦和屈辱，我现在都会一并返还给你。	你之前給我的痛苦和屈辱，我現在都會一併還給你。	あなたがくれた痛みと屈辱、今から倍にしてあなたに返すね。	전에 나에게 준 고통과 굴욕, 이젠 전부 돌려줄 거야.	Not a chance — you'll pay in full for every ounce of pain and humiliation you've dealt me.						0	3.0主线剧情
9	我会把你重视的东西，全部摧毁殆尽。	我會把你重視的東西，全部摧毀殆盡。	大事にしているものをぜーんぶ、粉微塵に壊してあげる。	너의 소중한 것들을 전부 파괴해 버릴 거야.	Everything you cherish — I'll tear it all down.						0	3.0主线剧情
