字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
choiceG.1			占卜		
Gopic1.1	A魔法卜卜	Play_Vo_call_lesson03_girl020_01	诶……原来塔罗牌不是用来烧的，而是用来占卜的啊。		
Gopic1.2	A魔法卜卜	Play_Vo_call_lesson03_girl020_02	我还以为它的用法和符咒差不多呢……		
Gopic1.3	A魔法卜卜	Play_Vo_call_lesson03_girl020_03	看了这么久的书，感觉自己也有些心得了，分析员，让我来为你占卜一下吧~		
Gopic1.4	A魔法卜卜	Play_Vo_call_lesson03_girl020_04	从这些牌里，选一张与你有缘的……		
choiceG1A	H主角		日之牌		A-牌1
choiceG1A.1	A魔法卜卜	Play_Vo_call_lesson03_girl020_05	如果是这张牌的话……		
choiceG1A.2	A魔法卜卜	Play_Vo_call_lesson03_girl020_06	说明分析员会在你擅长的领域，迎来一些“收获”。		
choiceG1A.3	A魔法卜卜	Play_Vo_call_lesson03_girl020_07	不过，这张塔罗牌也有“持续努力”的牌意，所以分析员可要再接再厉啊~		
choiceG1A.4	A魔法卜卜	Play_Vo_call_lesson03_girl020_08	离你想达成的终点，已经很近很近了哦。		
choiceG1B	H主角		月之牌		B-牌2
choiceG1B.1	A魔法卜卜	Play_Vo_call_lesson03_girl020_09	从这张牌里，卜卜看到了机会！很不错的机会哦！		
choiceG1B.2	A魔法卜卜	Play_Vo_call_lesson03_girl020_10	虽然不知道分析员心里的计划是什么，但只要抓住这个机会，事情的成功率就会大大提升。		
choiceG1B.3	A魔法卜卜	Play_Vo_call_lesson03_girl020_11	我就提前恭喜分析员，心想事成啦~		
choiceG1C	H主角		星之牌		C-牌3
choiceG1C.1	A魔法卜卜	Play_Vo_call_lesson03_girl020_12	咦？分析员最近是有什么烦心事吗？卜卜感觉到你似乎有些……迷茫？		
choiceG1C.2	A魔法卜卜	Play_Vo_call_lesson03_girl020_13	还好，这张牌的牌意是“力量”，意味着一切困难都会迎刃而解。		
choiceG1C.3	A魔法卜卜	Play_Vo_call_lesson03_girl020_14	要注意的是，别人的建议很可能让这个问题变得更复杂。		
