字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
start1.1	A魔法卜卜	Play_Vo_call_entry01_girl020_01	大忙人分析员！		
start1.2	A魔法卜卜	Play_Vo_call_entry01_girl020_02	再不接电话……		
start1.3	A魔法卜卜	Play_Vo_call_entry01_girl020_03	可要错过今日限定——魔法卜卜了哟。		
start1.4	A魔法卜卜	Play_Vo_call_entry01_girl020_04	呜哇！		
start1.5	A魔法卜卜	Play_Vo_call_entry01_girl020_05	这洋玩意儿难道不是这么用的吗？		
start1.6	A魔法卜卜	Play_Vo_call_entry01_girl020_06	唔……让卜卜再研究一下，分析员可以过会再挂电话吗？		
					
start3.1	A魔法卜卜	Play_Vo_call_entry02_girl020_01	不问神不问卜~		
start3.2	A魔法卜卜	Play_Vo_call_entry02_girl020_02	今天~是魔法少女哦~		
start3.3	A魔法卜卜	Play_Vo_call_entry02_girl020_03	看我今天新学的魔法——卜卜挺大瓜		
start3.4	A魔法卜卜	Play_Vo_call_entry02_girl020_04	哎哟！		
start3.5	A魔法卜卜	Play_Vo_call_entry02_girl020_05	这一句，记在魔法书的哪一页来着。		
start3.6	A魔法卜卜	Play_Vo_call_entry02_girl020_06	分析员可以过会再挂电话吗？等卜卜学会了再表演给你看。		
					
startQ01.1	A魔法卜卜	Play_Vo_call_connect01_girl020_01	就知道分析员舍不得挂电话~是不是想听卜卜说些有趣的事呢？		
startQ01.2	A魔法卜卜	Play_Vo_call_connect01_girl020_02	我想想看……唔，有了！		
startQ01.3	A魔法卜卜	Play_Vo_call_connect01_girl020_03	分析员你也知道，算卦画符这些事儿，都是卜卜自己从书里领悟来的。		
startQ01.4	A魔法卜卜	Play_Vo_call_choice01_girl020_02	但学习魔法这事儿，似乎就简单多了。		
startQ01.5	A魔法卜卜	Play_Vo_call_choice01_girl020_03	如果能收到魔法学院的入学通知书，就能循序渐进地掌握各种魔法~		
startQ01.6	A魔法卜卜	Play_Vo_call_choice01_girl020_04	学院会开设很多课程，嗯……比如预言课……还有飞行课！		
startQ01.7	A魔法卜卜	Play_Vo_call_choice01_girl020_05	分析员，如果让你选的话，你觉得哪种魔法课最有趣呢？		
choiceA1	H主角		预言课		第三个问题选项 A
startQ01re01.1	A魔法卜卜	Play_Vo_call_choice01_girl020_06	嘿嘿，对预言课感兴趣的话，分析员应该是想知道未来会发生什么吧？		
startQ01re01.2	A魔法卜卜	Play_Vo_call_choice01_girl020_07	会和卜卜有关吗？		
startQ01re01.3	A魔法卜卜	Play_Vo_call_choice01_girl020_08	比如什么时候会和卜卜……嘿嘿。		
choiceA2	H主角		飞行课		第三个问题选项 B
startQ01re02.1	A魔法卜卜	Play_Vo_call_choice01_girl020_09	飞行课的话就得自己准备扫帚了呢……		
startQ01re02.2	A魔法卜卜	Play_Vo_call_choice01_girl020_10	不过为什么一定要用扫帚呢？		
startQ01re02.3	A魔法卜卜	Play_Vo_call_choice01_girl020_11	卜卜还是觉得御葫芦飞行比较帅呢！		
					
startQ02.1	A魔法卜卜	Play_Vo_call_connect02_girl020_01	有分析员在终端那头陪我，卜卜学习都更有动力了！		
startQ02.2	A魔法卜卜	Play_Vo_call_connect02_girl020_02	不过……这本书实在是太厚了，看得我脑瓜子疼。		
startQ02.3	A魔法卜卜	Play_Vo_call_choice02_girl020_02	里面介绍了好几种性质完全不同的魔法，卜卜是不是应该先重点掌握一种呢？		
startQ02.4	A魔法卜卜	Play_Vo_call_choice02_girl020_03	黑暗魔法、光明魔法、元素魔法……分析员觉得哪种更适合我呢？		
choiceB1	H主角		黑暗魔法		第二个问题选项 A
startQ02re01.1	A魔法卜卜	Play_Vo_call_choice02_girl020_04	黑暗魔法和邪恶魔法是不能划等号的。		
startQ02re01.2	A魔法卜卜	Play_Vo_call_choice02_girl020_05	分析员一定早就知道这一点了~		
startQ02re01.3	A魔法卜卜	Play_Vo_call_choice02_girl020_06	才会觉得不管什么魔法，只要使用者是心地善良的卜卜，就一定能发挥好的效用，对吧？		
choiceB2	H主角		光明魔法		
startQ02re02.1	A魔法卜卜	Play_Vo_call_choice02_girl020_07	布灵布灵的光明魔法啊~		
startQ02re02.2	A魔法卜卜	Play_Vo_call_choice02_girl020_08	如果真的能掌握这种神圣的力量……		第二个问题选项 B
startQ02re02.3	A魔法卜卜	Play_Vo_call_choice02_girl020_09	卜卜一定用来守护最喜欢的分析员！		
choiceB3	H主角		元素魔法		
startQ02re03.1	A魔法卜卜	Play_Vo_call_choice02_girl020_10	能用上元素魔法的地方很多，听上去的确是个不错的选择！		
startQ02re03.2	A魔法卜卜	Play_Vo_call_choice02_girl020_11	卜卜可以用火焰魔法给分析员烤红薯、板栗，还有馕！		
startQ02re03.3	A魔法卜卜	Play_Vo_call_choice02_girl020_12	啊呜，用魔法干这种事儿，是不是显得卜卜太贪吃了……		
					
					
startend1.1	A魔法卜卜	Play_Vo_call_stand01_girl020_05	以这样的方式和分析员共度时光，总觉得还挺有趣的。		
startend1.2	A魔法卜卜	Play_Vo_call_stand01_girl020_01	分析员可以一边忙工作，一边和卜卜通话哦。		
