ID	备注	定义（11=后勤 12=角色 13=武器 14=武器配件 15=道具 17=角色皮肤 18=家具 19=头像 20=武器皮肤 21=角色皮肤部件）	道具图标200*200	道具图标130*130
ID	Comment	Define	P2	P3
21010101	凯西娅部件-黑丝	21	110500001	110500000
21010102	凯西娅部件-网袜	21	110500003	110500002
21020101	翠翎倩姿-头部部件-1	21	110500017	110500016
21020102	翠翎倩姿-头部部件-2	21	110500019	110500018
21020201	翠翎倩姿-腿部部件-1	21	110500013	110500012
21020202	翠翎倩姿-腿部部件-2	21	110500015	110500014
21030101	点墨化龙-头部部件-1	21	110500009	110500008
21030102	点墨化龙-头部部件-2	21	110500011	110500010
21030201	点墨化龙-腿部部件-1	21	110500005	110500004
21030202	点墨化龙-腿部部件-2	21	110500007	110500006
21040101	晨曦统令-腿部部件-1	21	110500021	110500020
21040102	晨曦统令-腿部部件-2	21	110500023	110500022
21040201	晨曦统令-靴子部件-1	21	110500025	110500024
21040202	晨曦统令-靴子部件-2	21	110500027	110500026
21050101	慵倚花阴-头部·星芒	21	110500029	110500028
21050102	慵倚花阴-头部·辉光	21	110500031	110500030
21050201	慵倚花阴-腿部·轻巧	21	110500033	110500032
21050202	慵倚花阴-腿部·皎白	21	110500035	110500034
21060101	清光虔愿-头部部件-1	21	110500037	110500036
21060102	清光虔愿-头部部件-2	21	110500039	110500038
21060201	清光虔愿-腿部部件-1	21	110500041	110500040
21060202	清光虔愿-腿部部件-2	21	110500043	110500042
21070101	卜卜-头部部件-1	21	110500045	110500044
21070102	卜卜-头部部件-2	21	110500047	110500046
21070201	卜卜-腿部部件-1	21	110500049	110500048
21070202	卜卜-腿部部件-2	21	110500051	110500050
21080101	芙提雅-头部部件-1	21	110500055	110500054
21080102	芙提雅-头部部件-2	21	110500053	110500052
