ID（141+x(枪械编号)+编号参数（xxxxx)	备注	定义（11=后勤 12=角色 13=武器 14=武器配件）	大图200*200	大图130*130
ID	Comment	Define	P2	P3
1411000	槲树·消声器	14	141100000	141100001
1411001	槲树·瞄准镜	14	141100100	141100101
1411002	槲树·弹匣	14	141100200	141100201
1411003	槲树·照准仪	14	141100300	141100301
1411004	61分钟·消声器	14	141100400	141100401
1411005	61分钟·瞄准镜	14	141100500	141100501
1411006	61分钟·弹匣	14	141100600	141100601
1411007	61分钟·测距仪	14	141100700	141100701
1411008	混悬液·消声器	14	141100800	141100801
1411009	混悬液·瞄准镜	14	141100900	141100901
1411010	混悬液·弹匣	14	141101000	141101001
1411011	混悬液·电筒	14	141101100	141101101
1411012	图罗石·消声器	14	141101200	141101201
1411013	图罗石·瞄准镜	14	141101300	141101301
1411014	图罗石·弹匣	14	141101400	141101401
1411015	图罗石·照准仪	14	141101500	141101501
1411016	正在施工·弹匣	14	141101600	141101601
1411017	电离水母·瞄准镜	14	141101700	141101701
1411018	星尘回忆·电筒	14	141101800	141101801
1411019	军舰鸟·消声器	14	141101900	141101901
1411020	北极狐·照准仪	14	141102000	141102001
1411021	百战老兵 ·枪口配件	14	141102100	141102101
1411022	次氯酸·弹匣	14	141102200	141102201
1411023	天鹅座之心·制导模块	14	141102300	141102301
1411024	旧日叹息	14	141102400	141102401
1411030	归来·瞄准镜	14	141103000	141103001
1411031	黑旗鱼·弹匣	14	141103100	141103101
1411032	冷冻糖分·瞄准镜	14	141103200	141103201
1411033	冷冻糖分·辅助模块	14	141103300	141103301
1411034	冷冻糖分·消声器	14	141103400	141103401
1411035	冷冻糖分·弹匣	14	141103500	141103501
1411036	浮浪·消声器	14	141103600	141103601
1411037	隧蜂·瞄准	14	141104000	141104001
1411038	锈色幸运	14	141104100	141104101
1411039	秘密永恒	14	141103700	141103701
1411040	中庭前线	14	141103800	141103801
1411041	卫兵	14	141103900	141103901
1411042	浅蓝触碰	14	141104300	141104301
1411043	阳光水纹	14	141104400	141104401
1411044	合金真理·弹匣	14	141104700	141104701
1411045	本相琥珀·瞄准镜	14	141104500	141104501
1411046	善意陷阱·瞄准镜	14	141104900	141104901
1411047	洁白之环·瞄准镜	14	141104800	141104801
1411048	白夜别诗·制导模块	14	141105000	141105001
1411049	SSR弹夹冲锋枪2.5	14	141105300	141105301
1411050	SR枪口冲锋枪2.5	14	141105100	141105101
1411051	SR瞄准冲锋枪2.5	14	141105200	141105201
1411052	SSR枪口冲锋枪临时	14	141105600	141105601
1411053	SR弹夹冲锋枪临时	14	141105400	141105401
1411054	SR瞄准冲锋枪临时	14	141105500	141105501
1411055	SR枪口冲锋枪临时DLC3.2	14	141105900	141105901
1411056	SR瞄准冲锋枪临时DLC3.2	14	141105800	141105801
1411057	SSR瞄准冲锋枪临时DLC3.2	14	141105700	141105701
1411058	SR模块冲锋枪临时DLC3.5	14	141106200	141106201
1411059	SR弹夹冲锋枪临时DLC3.5	14	141106300	141106301
1411060	SSR弹夹冲锋枪临时3.5	14	141106100	141106101
				
				
				
				
				
1412000	黑麦·消焰器	14	141200000	141200001
1412000	世界大战·照准仪	14	141200000	141200001
1412001	黑麦·瞄准镜	14	141200100	141200101
1412002	黑麦·弹匣	14	141200200	141200201
1412003	黑麦·照准仪	14	141200300	141200301
1412004	狂战士·消焰器	14	141200400	141200401
1412005	狂战士·成像系统	14	141200500	141200501
1412006	狂战士·弹匣	14	141200600	141200601
1412007	狂战士·动能模块	14	141200700	141200701
1412008	喷气红心·消焰器	14	141200800	141200801
1412009	喷气红心·瞄准镜	14	141200900	141200901
1412010	喷气红心·弹匣	14	141201000	141201001
1412011	喷气红心·扩展坞	14	141201100	141201101
1412012	沙丘·制退器	14	141201200	141201201
1412013	沙丘·瞄准镜	14	141201300	141201301
1412014	沙丘·弹匣	14	141201400	141201401
1412015	沙丘·记录仪	14	141201500	141201501
1412016	氰化亚铁·枪口装置	14	141201600	141201601
1412017	氰化亚铁·瞄准镜	14	141201700	141201701
1412018	氰化亚铁·弹匣	14	141201800	141201801
1412019	氰化亚铁·记录仪	14	141201900	141201901
1412020	深海呼唤·照准仪	14	141202000	141202001
1412022	太空骑手·消声器	14	141202200	141202201
1412023	迷乱迪斯科·瞄准镜	14	141202300	141202301
1412024	炙热年代·消声器	14	141202400	141202401
1412029	喧哗现场·弹匣	14	141202900	141202901
1412030	黄蜂·消声器	14	141203000	141203001
1412032	虎鲸号角 ·声呐	14	141203200	141203201
1412038	奥林匹斯·瞄准镜	14	141203800	141203801
1412044	甜甜灵魂·摄录仪	14	141204400	141204401
1412045	现代文明·瞄准镜	14	141204500	141204501
1412046	夹心巧克力 ·弹匣	14	141204600	141204601
