ID	种类ID	备注	名称	品质	星级	图鉴Id(记录数据)	图标	占用形状ID	基础属性加成	主天赋类型	提供的天赋点	词缀生成范围	购买价格	卖出价格	随机和购买权重	地区限制目前可填：0国内外,1国内,2海外
ID	SubID	Comment	Name	Quality	Star	RikiId	Icon	Occupy	Attribute	TalentType	TalentNum	AffixRule	Price	DiscardPrice	Weight	Coverage
1011	101	钻石	bagrogue.JigsawName101	1	1	1	1001301	1	{{"AttackNum",54}}	3	{{3,1}}	{{100,{1,1}}}	30	10	175	
1012	101	钻石	bagrogue.JigsawName101	2	2	2	1001301	1	{{"AttackNum",108}}	3	{{3,2}}	{{100,{1,1}}}	60	20	125	
1013	101	钻石	bagrogue.JigsawName101	3	3	3	1001301	1	{{"AttackNum",216}}	3	{{3,3}}	{{100,{1,1}}}	120	40	100	
1014	101	钻石	bagrogue.JigsawName101	4	4	4	1001301	1	{{"AttackNum",432}}	3	{{3,4}}	{{101,{1,2}}}	240	80	75	
1015	101	钻石	bagrogue.JigsawName101	5	5	5	1001301	1	{{"AttackNum",864}}	3	{{3,5}}	{{101,{2,2}}}	480	160	25	
1021	102	珍珠	bagrogue.JigsawName102	1	1	6	1001302	1	{{"DefenceNum",20}}	3	{{3,1}}	{{100,{1,1}}}	30	10	175	
1022	102	珍珠	bagrogue.JigsawName102	2	2	7	1001302	1	{{"DefenceNum",40}}	3	{{3,2}}	{{100,{1,1}}}	60	20	125	
1023	102	珍珠	bagrogue.JigsawName102	3	3	8	1001302	1	{{"DefenceNum",80}}	3	{{3,3}}	{{100,{1,1}}}	120	40	100	
1024	102	珍珠	bagrogue.JigsawName102	4	4	9	1001302	1	{{"DefenceNum",160}}	3	{{3,4}}	{{101,{1,2}}}	240	80	75	
1025	102	珍珠	bagrogue.JigsawName102	5	5	10	1001302	1	{{"DefenceNum",320}}	3	{{3,5}}	{{101,{2,2}}}	480	160	25	
1031	103	猫眼石	bagrogue.JigsawName103	1	1	11	1001303	2	{{"HealthNum",625}}	3	{{3,2}}	{{100,{1,1}}}	30	10	245	
1032	103	猫眼石	bagrogue.JigsawName103	2	2	12	1001303	2	{{"HealthNum",1250}}	3	{{3,3}}	{{100,{1,1}}}	60	20	175	
1033	103	猫眼石	bagrogue.JigsawName103	3	3	13	1001303	2	{{"HealthNum",2500}}	3	{{3,5}}	{{100,{2,2}}}	120	40	140	
1034	103	猫眼石	bagrogue.JigsawName103	4	4	14	1001303	2	{{"HealthNum",5000}}	3	{{3,7}}	{{101,{2,3}}}	240	80	105	
1035	103	猫眼石	bagrogue.JigsawName103	5	5	15	1001303	2	{{"HealthNum",10000}}	3	{{3,9}}	{{101,{3,3}}}	480	160	35	
1041	104	棋子	bagrogue.JigsawName104	1	1	16	1001304	2	{{"DefenceNum",25}}	6	{{6,1},{10,1}}	{{100,{1,1}}}	30	10	245	
1042	104	棋子	bagrogue.JigsawName104	2	2	17	1001304	2	{{"DefenceNum",50}}	6	{{6,2},{10,1}}	{{100,{1,1}}}	60	20	175	
