组id	Id	备注	随机权重	事件名称	选项名称	选项描述	选项图标	选项类型（1.物件+物件品质范围  2.局内货币+数量 3.背包格子扩充+扩充格数 4.切换地图+路线ID 5.获取钥匙+钥匙数量 6.上锁物件+物件品质范围+钥匙数量 7.结算 8.斗技场）	选项内容	选项代价（buffid）	解锁结局	地区限制目前可填：0国内外,1国内,2海外
GroupId	Id	Common	Weight	EventName	OptionName	OptionDesc	OptionIcon	OptionType	Option	BuffId	UnlockEnding	Coverage
101	1011	获得1-2级物件	10000					1	{1,2}			
102	1021	获得2-2级物件	10000					1	{2,2}			
103	1031	获得2-3级物件	10000					1	{2,3}			
104	1041	获得3-3级物件	10000					1	{3,3}			
111	1111	获得80金币	3300	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{80}			
111	1112	获得85金币	3300	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{85}			
111	1113	获得90金币	3400	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{90}			
112	1121	获得110金币	3300	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{110}			
112	1122	获得115金币	3300	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{115}			
112	1123	获得120金币	3400	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{120}			
113	1131	获得140金币	3300	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{120}			
113	1132	获得145金币	3300	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{135}			
113	1133	获得150金币	3400	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{140}			
114	1141	获得180金币	3300	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{180}			
114	1142	获得185金币	3300	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{185}			
114	1143	获得190金币	3400	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{190}			
121	1211	扩充10格	10000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}			
122	1221	扩充12格	10000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}			
123	1231	扩充6格	10000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{6}			
124	1241	扩充8格	10000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}			
131	1311	获得150金币-代价1	1660	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	1		
131	1312	获得150金币-代价2	1660	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	2		
131	1313	获得150金币-代价3	1660	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	3		
131	1314	获得150金币-代价4	1660	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	4		
131	1315	获得150金币-代价5	1660	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	5		
131	1316	获得150金币-代价6	1700	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	6		
131	1317	获得2-2级物件-代价1	1660					1	{2,2}	1		
131	1318	获得2-2级物件-代价2	1660					1	{2,2}	2		
131	1319	获得2-2级物件-代价3	1660					1	{2,2}	3		
131	1320	获得2-2级物件-代价4	1660					1	{2,2}	4		
131	1321	获得2-2级物件-代价5	1660					1	{2,2}	5		
131	1322	获得2-2级物件-代价6	1700					1	{2,2}	6		
131	1323	扩充8格-代价1	1660	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	1		
131	1324	扩充8格-代价2	1660	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	2		
131	1325	扩充8格-代价3	1660	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	3		
131	1326	扩充8格-代价4	1660	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	4		
131	1327	扩充8格-代价5	1660	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	5		
