线路id	节点id	备注	位置	所属列	前置节点	事件类型（1.战斗 2.奇遇 3.商店 4.随机 5.最终boss 6.终局节点）	图标	关卡库	怪物强度等级	战斗后奖励的代币	战斗后选项数量和物件等级	战斗后生成圣物数	奇遇事件描述	奇遇事件描述备注	分支剧情标记	奇遇事件数量	奇遇事件组（多个对应）	商店Id	随机事件参数（类型、图标、概率）	节点通过奖励	速战消耗
Id	NodeId	Comment	PositionId	Line	PreNode	EventType	Icon	LevelGroup	MonsterLevel	BattleCoin	BattleJigsawReward	BattleRelicReward	AdventureDes	AdventureDesComment	StoryBranch	AdventureOptionNum	AdventureGroupId	StoreId	RandomEventWeight	Reward	JumpLevelConsume
1	1002	战斗-小怪	2	1		1	1001288	1	100	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,5}}	
1	1004	战斗-小怪	4	2	{1002}	1	1001288	1	101	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,5}}	
1	1005	奇遇	5	2	{1002}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,5}}	
1	1006	随机	6	2	{1002}	4	1001298	1	101	{{{4,1,25,1,120}}}	{3,{1,1}}		bagrogue.AdventureDes1			3	{301,301,301}	1	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,5}}	
1	1007	代价奖励	7	3	{1004,1005}	2	1001293						bagrogue.AdventureDes6			3	{131,131,131}			{{4,1,25,2,10}}	
1	1009	战斗-小怪	9	3	{1005,1006}	1	1001288	1	102	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,10}}	
1	1010	战斗-boss	10	4	{1007}	1	1001289	5	104	{{{4,1,25,1,240}}}	{3,{1,1}}									{{4,1,25,2,10}}	
1	1011	战斗-小怪	11	4	{1007,1009}	1	1001288	1	104	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,10}}	
1	1012	宝箱	12	4	{1009}	2	1001292						bagrogue.AdventureDes4			1	{401}			{{4,1,25,2,10}}	
1	1014	剧情奇遇	14	5	{1010,1011,1012}	2	1001291						bagrogue.AdventureDes101		{1,2,3}	3	{201,202,203}			{{4,1,25,2,15}}	
1	1016	战斗-小怪	16	6	{1014}	1	1001288	1	108	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,15}}	
1	1017	商店	17	6	{1014}	3	1001297											1		{{4,1,25,2,15}}	
1	1019	战斗-小怪	19	7	{1016}	1	1001288	2	110	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,15}}	
1	1020	大宝箱	20	7	{1017}	2	1001294						bagrogue.AdventureDes5			1	{511}			{{4,1,25,2,15}}	
1	1021	背包扩充	21	7	{1017}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,15}}	
1	1023	战斗-小怪	23	8	{1019}	1	1001288	2	113	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,15}}	
1	1024	战斗-boss	24	8	{1020,1021}	1	1001289	5	113	{{{4,1,25,1,300}}}	{3,{1,1}}									{{4,1,25,2,15}}	
1	1025	商店	25	9	{1023}	3	1001297											2		{{4,1,25,2,20}}	
1	1026	代价奖励	26	9	{1023}	2	1001293						bagrogue.AdventureDes6			3	{141,141,141}			{{4,1,25,2,20}}	
1	1027	战斗-boss	27	9	{1024}	1	1001289	5	116	{{{4,1,25,1,300}}}	{3,{1,1}}									{{4,1,25,2,20}}	
1	1029	剧情奇遇	29	10	{1025,1026,1027}	2	1001291						bagrogue.AdventureDes102		{1,2,3}	3	{211,212,213}			{{4,1,25,2,20}}	
1	1031	战斗-小怪	31	11	{1029}	1	1001288	2	122	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,20}}	
1	1032	随机	32	11	{1029}	4	1001298	2	122	{{{4,1,25,1,150}}}	{3,{1,1}}		bagrogue.AdventureDes1			3	{311,311,311}	2	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,20}}	
1	1033	奇遇	33	11	{1029}	2	1001296						bagrogue.AdventureDes1			3	{311,311,311}			{{4,1,25,2,20}}	
1	1035	战斗-boss	35	12	{1031,1032,1033}	1	1001289	5	125	{{{4,1,25,1,300}}}	{3,{1,1}}									{{4,1,25,2,20}}	
1	1037	商店	37	13	{1035}	3	1001297											3		{{4,1,25,2,20}}	
1	1038	宝箱	38	13	{1035}	2	1001292						bagrogue.AdventureDes4			1	{421}			{{4,1,25,2,20}}	
1	1039	战斗-小怪	39	13	{1035}	1	1001288	3	128	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,20}}	
1	1040	战斗-boss	40	14	{1037}	1	1001289	5	131	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,20}}	
1	1041	战斗-小怪	41	14	{1038}	1	1001288	3	131	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,20}}	
1	1042	商店	42	14	{1039}	3	1001297											3		{{4,1,25,2,20}}	
1	1044	剧情奇遇	44	15	{1040,1041,1042}	2	1001291						bagrogue.AdventureDes103		{1,2,3}	3	{221,222,223}			{{4,1,25,2,25}}	
1	1046	战斗-boss	46	16	{1044}	1	1001289	5	137	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,25}}	
1	1047	战斗-boss	47	16	{1044}	1	1001289	5	137	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,25}}	
1	1048	战斗-小怪	48	16	{1044}	1	1001288	3	137	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,25}}	
1	1049	奇遇	49	17	{1046,1047}	2	1001296						bagrogue.AdventureDes1			3	{321,321,321}			{{4,1,25,2,25}}	
1	1051	商店	51	17	{1047,1048}	3	1001297											3		{{4,1,25,2,25}}	
1	1052	背包扩充	52	18	{1049}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,25}}	
1	1054	战斗-小怪	54	18	{1051}	1	1001288	3	143	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,25}}	
1	1055	商店	55	19	{1052}	3	1001297											4		{{4,1,25,2,25}}	
1	1056	战斗-boss	56	19	{1052,1054}	1	1001289	5	146	{{{4,1,25,1,420}}}	{3,{2,2}}									{{4,1,25,2,25}}	
1	1057	代价奖励	57	19	{1054}	2	1001293						bagrogue.AdventureDes6			3	{161,161,161}			{{4,1,25,2,25}}	
1	1059	剧情奇遇	59	20	{1055,1056,1057}	2	1001291						bagrogue.AdventureDes104		{1,2,3}	3	{231,232,233}			{{4,1,25,2,25}}	
1	1061	战斗-小怪	61	21	{1059}	1	1001288	4	152	{{{4,1,25,1,210}}}	{3,{2,2}}							4		{{4,1,25,2,30}}	
1	1062	战斗-boss	62	21	{1059}	1	1001289	5	152	{{{4,1,25,1,420}}}	{3,{2,2}}									{{4,1,25,2,30}}	
1	1063	随机	63	21	{1059}	4	1001298	4	152	{{{4,1,25,1,210}}}	{3,{2,2}}		bagrogue.AdventureDes1			3	{331,331,331}	4	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,30}}	
1	1064	战斗-小怪	64	22	{1061,1062}	1	1001288	4	155	{{{4,1,25,1,210}}}	{3,{2,2}}									{{4,1,25,2,30}}	
1	1065	大宝箱	65	22	{1062}	2	1001294									1	{531}			{{4,1,25,2,30}}	
1	1066	战斗-boss	66	22	{1062,1063}	1	1001289	5	155	{{{4,1,25,1,420}}}	{3,{2,2}}									{{4,1,25,2,30}}	
1	1068	商店	68	23	{1064,1065,1066}	3	1001297											4		{{4,1,25,2,30}}	
1	1071	结局	71	24	{1068}	5	1001290		161											{{4,1,25,2,50}}	
2	2002	战斗-小怪	2	1		1	1001288	1	100	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,5}}	
2	2004	战斗-小怪	4	2	{2002}	1	1001288	1	101	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,5}}	
2	2006	宝箱	6	2	{2002}	2	1001292						bagrogue.AdventureDes4			1	{401}			{{4,1,25,2,5}}	
2	2007	奇遇	7	3	{2004}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,10}}	
2	2009	战斗-boss	9	3	{2006}	1	1001289	5	102	{{{4,1,25,1,240}}}	{3,{1,1}}									{{4,1,25,2,10}}	
2	2010	战斗-小怪	10	4	{2007}	1	1001288	1	104	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,10}}	
2	2012	随机	12	4	{2009}	4	1001298	1	104	{{{4,1,25,1,120}}}	{3,{1,1}}		bagrogue.AdventureDes1			3	{301,301,301}	1	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,10}}	
2	2014	剧情奇遇	14	5	{2010,2012}	2	1001291						bagrogue.AdventureDes101		{1,2,3}	3	{201,202,203}			{{4,1,25,2,15}}	
2	2016	战斗-boss	16	6	{2014}	1	1001289	5	108	{{{4,1,25,1,240}}}	{3,{1,1}}									{{4,1,25,2,15}}	
2	2018	战斗-小怪	18	6	{2014}	1	1001288	1	108	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,15}}	
2	2019	商店	19	7	{2016}	3	1001297											2		{{4,1,25,2,15}}	
2	2021	大宝箱	21	7	{2018}	2	1001294						bagrogue.AdventureDes5			1	{511}			{{4,1,25,2,15}}	
2	2023	战斗-小怪	23	8	{2019,2021}	1	1001288	2	113	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,15}}	
2	2026	剧情奇遇	26	9	{2023}	2	1001291						bagrogue.AdventureDes102		{1,2,3}	3	{211,212,213}			{{4,1,25,2,20}}	
2	2029	战斗-小怪	29	10	{2026}	1	1001288	2	119	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,20}}	
2	2031	商店	31	11	{2029}	3	1001297											2		{{4,1,25,2,20}}	
2	2032	战斗-boss	32	11	{2029}	1	1001289	5	122	{{{4,1,25,1,300}}}	{3,{1,1}}									{{4,1,25,2,20}}	
2	2035	代价奖励	35	12	{2031,2032}	2	1001293						bagrogue.AdventureDes6			3	{141,141,141}			{{4,1,25,2,20}}	
