库id	库备注	AffixID	效果备注	等级	随机权重
GroupID	Comment	AffixID	Comment2	Level	Weight
100	通用型-低级物件	1	生命值+1%	1	114
100	通用型-低级物件	2	生命值+2%	2	114
100	通用型-低级物件	3	生命值+3%	3	114
100	通用型-低级物件	4	生命值+4%	4	114
100	通用型-低级物件	5	生命值+5%	5	114
100	通用型-低级物件	6	攻击力+1%	1	143
100	通用型-低级物件	7	攻击力+2%	2	143
100	通用型-低级物件	8	攻击力+3%	3	143
100	通用型-低级物件	9	攻击力+4%	4	143
100	通用型-低级物件	10	攻击力+5%	5	143
100	通用型-低级物件	11	防御力+1%	1	86
100	通用型-低级物件	12	防御力+2%	2	86
100	通用型-低级物件	13	防御力+3%	3	86
100	通用型-低级物件	14	防御力+4%	4	86
100	通用型-低级物件	15	防御力+5%	5	86
100	通用型-低级物件	16	暴击率+1%	1	114
100	通用型-低级物件	17	暴击率+2%	2	114
100	通用型-低级物件	18	暴击率+3%	3	114
100	通用型-低级物件	19	暴击率+4%	4	114
100	通用型-低级物件	20	暴击率+5%	5	114
100	通用型-低级物件	21	暴击伤害增幅+2%	1	143
100	通用型-低级物件	22	暴击伤害增幅+4%	2	143
100	通用型-低级物件	23	暴击伤害增幅+6%	3	143
100	通用型-低级物件	24	暴击伤害增幅+8%	4	143
100	通用型-低级物件	25	暴击伤害增幅+10%	5	143
100	通用型-低级物件	26	技能急速+1	1	114
100	通用型-低级物件	27	技能急速+2	2	114
100	通用型-低级物件	28	技能急速+3	3	114
100	通用型-低级物件	29	技能急速+4	4	114
100	通用型-低级物件	30	技能急速+5	5	114
100	通用型-低级物件	31	技能伤害+1%	1	114
100	通用型-低级物件	32	技能伤害+2%	2	114
100	通用型-低级物件	33	技能伤害+3%	3	114
100	通用型-低级物件	34	技能伤害+4%	4	114
100	通用型-低级物件	35	技能伤害+5%	5	114
100	通用型-低级物件	36	常规技伤害+1.5%	1	86
100	通用型-低级物件	37	常规技伤害+3%	2	86
100	通用型-低级物件	38	常规技伤害+4.5%	3	86
100	通用型-低级物件	39	常规技伤害+6%	4	86
100	通用型-低级物件	40	常规技伤害+7.5%	5	86
100	通用型-低级物件	41	支援技伤害+1%	1	57
100	通用型-低级物件	42	支援技伤害+2%	2	57
100	通用型-低级物件	43	支援技伤害+3%	3	57
100	通用型-低级物件	44	支援技伤害+4%	4	57
100	通用型-低级物件	45	支援技伤害+5%	5	57
100	通用型-低级物件	46	爆发技伤害+1%	1	86
100	通用型-低级物件	47	爆发技伤害+2%	2	86
100	通用型-低级物件	48	爆发技伤害+3%	3	86
100	通用型-低级物件	49	爆发技伤害+4%	4	86
100	通用型-低级物件	50	爆发技伤害+5%	5	86
100	通用型-低级物件	51	爆发能量获取率+1%	1	86
100	通用型-低级物件	52	爆发能量获取率+2%	2	86
100	通用型-低级物件	53	爆发能量获取率+3%	3	86
100	通用型-低级物件	54	爆发能量获取率+4%	4	86
100	通用型-低级物件	55	爆发能量获取率+5%	5	86
100	通用型-低级物件	56	射击伤害+1%	1	114
100	通用型-低级物件	57	射击伤害+2%	2	114
