资源索引ID	描述	资源路径
ID	Des	path
1	小吃摊红	Icon/DLC/DLC1/Frames/icon_props026_17_130_png.icon_props026_17_130_png
2	小吃摊绿	Icon/DLC/DLC1/Frames/icon_props026_17_130_png.icon_props026_17_130_png
3	小吃摊蓝	Icon/DLC/DLC1/Frames/icon_props026_17_130_png.icon_props026_17_130_png
4	小宝箱	Icon/DLC/DLC1/Frames/icon_props026_01_130_png.icon_props026_01_130_png
5	大宝箱	Icon/DLC/DLC1/Frames/icon_props026_02_130_png.icon_props026_02_130_png
6	小吃摊券	Icon/DLC/DLC1/Frames/icon_props026_05_130_png.icon_props026_05_130_png
7	可点亮的灯笼	Icon/DLC/DLC1/Frames/icon_props026_15_130_png.icon_props026_15_130_png
8	门钥匙ID卡	Icon/DLC/DLC1/Frames/icon_props026_08_130_png.icon_props026_08_130_png
9	龟背纹石头	Icon/DLC/DLC1/Frames/icon_props026_03_130_png.icon_props026_03_130_png
10	万福灯会纪念章	Icon/DLC/DLC1/Frames/icon_props026_04_130_png.icon_props026_04_130_png
11	古钱币	Icon/DLC/DLC1/Frames/icon_props026_06_130_png.icon_props026_06_130_png
12	录音装备	Icon/DLC/DLC1/Frames/icon_props026_07_130_png.icon_props026_07_130_png
13	拦路箱子	Icon/DLC/DLC1/Frames/icon_props026_09_130_png.icon_props026_09_130_png
14	纸箱	Icon/DLC/DLC1/Frames/icon_props026_10_130_png.icon_props026_10_130_png
15	打开的\n纸箱	Icon/DLC/DLC1/Frames/icon_props026_11_130_png.icon_props026_11_130_png
16	箱子\n接收点	Icon/DLC/DLC1/Frames/icon_props026_13_130_png.icon_props026_13_130_png
17	重置装置	Icon/DLC/DLC1/Frames/icon_props026_12_130_png.icon_props026_12_130_png
18	阻挡门	Icon/DLC/DLC1/Frames/icon_props026_14_130_png.icon_props026_14_130_png
19	传送点	Icon/DLC/DLC1/Frames/icon_props026_16_130_png.icon_props026_16_130_png
20	初级关卡	Icon/DLC/DLC1/Frames/icon_props026_21_130_png.icon_props026_21_130_png
21	中级关卡	Icon/DLC/DLC1/Frames/icon_props026_20_130_png.icon_props026_20_130_png
22	高级关卡	Icon/DLC/DLC1/Frames/icon_props026_22_130_png.icon_props026_22_130_png
23	普通事件	Icon/DLC/DLC1/Frames/icon_props026_19_130_png.icon_props026_19_130_png
24	少女事件	Icon/DLC/DLC1/Frames/icon_props026_18_130_png.icon_props026_18_130_png
25	拾荒者npc	Icon/DLC/DLC1/Frames/icon_props026_26_130_png.icon_props026_26_130_png
26	市民npc	Icon/DLC/DLC1/Frames/icon_props026_27_130_png.icon_props026_27_130_png
301	遥控骰子卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_01.icon_dlc03_richman_01
302	遥控骰子卡牌图标2	Icon/DLC/DLC3/400/icon_dlc03_richman_02.icon_dlc03_richman_02
303	转向卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_15.icon_dlc03_richman_15
304	路障卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_04.icon_dlc03_richman_04
305	免费卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_05.icon_dlc03_richman_05
306	清扫卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_06.icon_dlc03_richman_06
307	乌龟卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_07.icon_dlc03_richman_07
308	占地卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_08.icon_dlc03_richman_08
309	地雷卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_09.icon_dlc03_richman_09
310	炸药卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_10.icon_dlc03_richman_10
311	飞弹卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_11.icon_dlc03_richman_11
312	查账卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_12.icon_dlc03_richman_12
