ID	注释	标题	描述	图标	正文	类别(1电子日志 2信息残片 3风物百景 4异相研究 5录音记录 6数据载体)	屏蔽困难模式	可以重复触发	语音字幕	分组	章节	关卡难度(2普通，3困难)	图鉴语音
ID	Comment	Title	Desc	Icon	Content	Type	IgnoreDiff	CanRepeat	SimpleDialogue	Group	Chapter	Level	RikiDialogue
10001	《聆听我教福谕诸书》第一章	10001_Name	10001_Desc	1500001	10001_Content	1	1				10203	1	
10002	《聆听我教福谕诸书》第二章	10002_Name	10002_Desc	1500001	10002_Content	1	1				10210	1	
10003	《聆听我教福谕诸书》第三章	10003_Name	10003_Desc	1500001	10003_Content	1	1				10201	1	
10004	《聆听我教福谕诸书》第四章	10004_Name	10004_Desc	1500001	10004_Content	1	1				10505	1	
10005	汉斯的日记1	10005_Name	10005_Desc	1500001	10005_Content	1	1				10503	1	
10006	汉斯的日记2	10006_Name	10006_Desc	1500001	10006_Content	1	1				10507	1	
10007	汉斯的日记3	10007_Name	10007_Desc	1500001	10007_Content	1	1				10502	1	
10008	汉斯的日记4	10008_Name	10008_Desc	1500001	10008_Content	1	1				10510	1	
10009	汉斯的日记5	10009_Name	10009_Desc	1500001	10009_Content	1	1				10709	1	
10010	爱思特日志01	10010_Name	10010_Desc	1500001	10010_Content	1	1				10310	1	
10011	爱思特日志02	10011_Name	10011_Desc	1500001	10011_Content	1	1				10605	1	
10012	爱思特日志03	10012_Name	10012_Desc	1500001	10012_Content	1	1				10606	1	
10013	爱思特日志04	10013_Name	10013_Desc	1500001	10013_Content	1	1				10809	1	
10014	爱思特日志05	10014_Name	10014_Desc	1500001	10014_Content	1	1				10902	1	
10015	爱思特日志06	10015_Name	10015_Desc	1500001	10015_Content	1	1				10905	1	
10016	狼嗥日志6	10016_Name	10016_Desc	1500001	10016_Content	1	1				10408	1	
10017	反明灯新仪联盟01	10017_Name	10017_Desc	1500001	10017_Content	1	1				4002	4	
10018	反明灯新仪联盟02	10018_Name	10018_Desc	1500001	10018_Content	1	1				4007	4	
10019	王图的日志1	10019_Name	10019_Desc	1500001	10019_Content	1	1					5	
10020	王图的日志2	10020_Name	10020_Desc	1500001	10020_Content	1	1					5	
10021	王图的日志3	10021_Name	10021_Desc	1500001	10021_Content	1	1					5	
10022	研究员帕里的日记	10022_Name	10022_Desc	1500001	10022_Content	1	1					5	
10023	研究员卡尔的日记	10023_Name	10023_Desc	1500001	10023_Content	1	1					5	
10024	研究员璐璐的日记	10024_Name	10024_Desc	1500001	10024_Content	1	1					5	
10025	一次问答	10025_Name	10025_Desc	1500001	10025_Content	1	1					5	
10026	每日新闻	10026_Name	10026_Desc	1500001	10026_Content	1	1					5	
10027	广告邮件	10027_Name	10027_Desc	1500001	10027_Content	1	1					5	
10028	论坛记录	10028_Name	10028_Desc	1500001	10028_Content	1	1					5	
10029	烧掉树冠	10029_Name	10029_Desc	1500001	10029_Content	1	1					5	
10030	退稿邮件	10030_Name	10030_Desc	1500001	10030_Content	1	1					5	
10031	郊狼语音	10031_Name	10031_Desc	1500001	10031_Content	1	1					5	
10032	猎杀者日志1	10032_Name	10032_Desc	1500001	10032_Content	1	1					5	
10033	猎杀者日志2	10033_Name	10033_Desc	1500001	10033_Content	1	1					5	
10034	清理部队日志1	10034_Name	10034_Desc	1500001	10034_Content	1	1					5	
10035	清理部队日志2	10035_Name	10035_Desc	1500001	10035_Content	1	1					5	
10036	猎杀者日志3	10036_Name	10036_Desc	1500001	10036_Content	1	1					5	
10037	成年病实验体01	10037_Name	10037_Desc	1500001	10037_Content	1	1					5	
10038	成年病实验体02	10038_Name	10038_Desc	1500001	10038_Content	1	1					5	
10039	耶洛沙见闻录	10039_Name	10039_Desc	1500001	10039_Content	1	1				11201	1	
10040	随行队员的记录	10040_Name	10040_Desc	1500001	10040_Content	1	1				11201	1	
10041	银鸥船队	10041_Name	10041_Desc	1500001	10041_Content	1	1				11202	1	
10042	巡查官米尔伍德	10042_Name	10042_Desc	1500001	10042_Content	1	1				11203	1	
10043	“飞瀑”计划书	10043_Name	10043_Desc	1500001	10043_Content	1	1				11204	1	
10044	特罗菲姆博士的记录	10044_Name	10044_Desc	1500001	10044_Content	1	1				11207	1	
10045	副队长的记录	10045_Name	10045_Desc	1500001	10045_Content	1	1				11206	1	
10046	被截获的邮件	10046_Name	10046_Desc	1500001	10046_Content	1	1				11208	1	
10047	“胜利”号航海日志	10047_Name	10047_Desc	1500001	10047_Content	1	1				11209	1	
10048	第二港口	10048_Name	10048_Desc	1500001	10048_Content	1	1				11210	1	
10049	谢尔盖·多勃雷宁	10049_Name	10049_Desc	1500001	10049_Content	1	1				11233	1	
10050	新贵族与奥尔洛娃	10050_Name	10050_Desc	1500001	10050_Content	1	1				11234	1	
													
													
20001	卢卡斯·达菲	20001_Name	20001_Desc	1500003	20001_Content	2		1	Ch.00.01			3	
20002	艾瑞卡·达菲	20002_Name	20002_Desc	1500003		2		1				3	
20003	提瓦克	20003_Name	20003_Desc	1500003	20003_Content	2		1			10411	1	
20004	阿里与尼诺	20004_Name	20004_Desc	1500003	20004_Content	2		1			11003	1	
20005	“第一”先生	20005_Name	20005_Desc	1500003	20005_Content	2		1			11005	1	
20006	奔跑吧，飒	20006_Name	20006_Desc	1500003	20006_Content	2		1	Fragment_story.20007		11008	1	
20007	琳和李墨	20007_Name	20007_Desc	1500003	20007_Content	2		1			11004	1	
20008	等待公司	20008_Name	20008_Desc	1500003	20008_Content	2		1	CH.11.fragment.01			5	
20009	魂兮归来	20009_Name	20009_Desc	1500003	20009_Content	2		1	CH.11.fragment.02			5	
20010	智能匹配	20010_Name	20010_Desc	1500003	20010_Content	2		1	CH.11.fragment.03			5	
20011	想见她	20011_Name	20011_Desc	1500003	20011_Content	2		1				5	
20012	盲	20012_Name	20012_Desc	1500003	20012_Content	2		1	CH.11.fragment.05			5	
20013	牧羊人小组1	20013_Name	20013_Desc	1500003	20013_Content	2		1	CH.11.fragment.06			5	
20014	牧羊人小组2	20014_Name	20014_Desc	1500003	20014_Content	2		1	CH.11.fragment.07			5	
20015	牧羊人小组3	20015_Name	20015_Desc	1500003	20015_Content	2		1	CH.11.fragment.08			5	
20016	牧羊人小组4	20016_Name	20016_Desc	1500003	20016_Content	2		1	CH.11.fragment.09			5	
