ID	备注	节点类型（11=普通剿灭，12=限时击杀，13=踩点守卫，14=护卫任务，15=boss战，16=精英关）	地图ID	战斗逻辑配置ID	体力消耗(包含进入和通关)	出场怪物信息	怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	固定掉落ID	UI展示固定物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源
ID	Comments	Type	MapID	FightID	ConsumeVigor	Monster	LevelStrength	ShowListType	RecommendPower	BaseDropID	ShowAward	PictureBoss	PictureLevel	TaskPath
4301	肉鸽01	11	4301	1	{0,0}	{4001112,4001116,4001102}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_01.Dlc1_Task02_01
4391	肉鸽02	11	4391	1	{0,0}	{4001606,4001605,4001604}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_01_2.Dlc1_Task02_01_2
4302	肉鸽03	11	4302	1	{0,0}	{4001112,4001116,4001102}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_02.Dlc1_Task02_02
4303	肉鸽04	11	4303	1	{0,0}	{4001604,4001603,4001605,4001602}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_03.Dlc1_Task02_03
4304	肉鸽05	11	4304	1	{0,0}	{4001116,4001112,4001102,4001104}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_04.Dlc1_Task02_04
4394	肉鸽06	11	4394	1	{0,0}	{4001602,4001604,4001605,4001606}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_04_2.Dlc1_Task02_04_2
4305	肉鸽07	11	4305	1	{0,0}	{4001112,4001116,4001102,4002104}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_05.Dlc1_Task02_05
4395	肉鸽08	11	4395	1	{0,0}	{4001603,4001604,4001605,4001602,400101602}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_05_2.Dlc1_Task02_05_2
4306	肉鸽09	11	4306	1	{0,0}	{4001116}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_06.Dlc1_Task02_06
4307	肉鸽10	11	4307	1	{0,0}	{4001604,4001603,4001605,400101602}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_07.Dlc1_Task02_07
4308	肉鸽11	11	4308	1	{0,0}	{4001603,4001604,4001605,4001602}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_08.Dlc1_Task02_08
4398	肉鸽12	11	4398	1	{0,0}	{4001215,4001211,4001212}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_08_2.Dlc1_Task02_08_2
4311	肉鸽13	11	4311	1	{0,0}	{4001116,4001112,4002104,4001108}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_11.Dlc1_Task02_11
4312	肉鸽14	11	4312	1	{0,0}	{4001211,4001212,4001213,4001215}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_12.Dlc1_Task02_12
4321	肉鸽15	11	4321	1	{0,0}	{4001605,4001602}	5	1		{{4,1,6,1,30}}	{{4,1,6,1,30}}		1801012	Dlc1Task02/Dlc1_Task02_21.Dlc1_Task02_21
4331	肉鸽16	11	4331	1	{0,0}	{5001214,4001211,4001215}	5	1		{{4,1,6,1,60}}	{{4,1,6,1,60}}		1801012	Dlc1Task02/Dlc1_Task02_31.Dlc1_Task02_31
4332	肉鸽17	11	4332	1	{0,0}	{5002010,4001004,4001006}	5	1		{{4,1,6,1,60}}	{{4,1,6,1,60}}		1801012	Dlc1Task02/Dlc1_Task02_32.Dlc1_Task02_32
4333	肉鸽18	11	4333	1	{0,0}	{5001205,4001211,4001215}	5	1		{{4,1,6,1,60}}	{{4,1,6,1,60}}		1801012	Dlc1Task02/Dlc1_Task02_33.Dlc1_Task02_33
4334	肉鸽19	11	4334	1	{0,0}	{5001601,4001604,4001605}	5	1		{{4,1,6,1,60}}	{{4,1,6,1,60}}		1801012	Dlc1Task02/Dlc1_Task02_34.Dlc1_Task02_34
4335	肉鸽20	11	4335	1	{0,0}	{5001208,4001212}	5	1		{{4,1,6,1,60}}	{{4,1,6,1,60}}		1801012	Dlc1Task02/Dlc1_Task02_35.Dlc1_Task02_35
4341	肉鸽21	11	4341	1	{0,0}	{600120501}	5	1					1801012	Dlc1Task02/Dlc1_Task02_41.Dlc1_Task02_41
4342	肉鸽22	11	4342	1	{0,0}	{6001301}	5	1		{{4,1,6,1,100}}	{{4,1,6,1,100}}		1801012	Dlc1Task02/Dlc1_Task02_42.Dlc1_Task02_42
4351	肉鸽23	11	50000	1	{0,0}	{4001004,4009013,4001003}	5	1		{{4,1,6,1,100}}	{{4,1,6,1,100}}		1801012	Dlc1Task02/Dlc1_Task02_EP01.Dlc1_Task02_EP01
