地图ID	节点ID	备注	行动力消耗	节点类型（0=空节点，1=战斗节点，2=事件节点，3=商店节点，4=休息点）	战斗节点类型(1普通 2精英 3boss)	关卡ID	怪物buff	怪物等级	随机事件ID	商店ID	休息点标题	休息点事件（1=恢复生命，2=获得代币，3=随机获得n个buff）	下一关	图标（对应resource.txt）	节点名
MapID	ID	Desc	ConsumeVigor	Node	LevelType	LevelID	MonsterBuff	MonsterGrade	RandomID	ShopID	RestDesc	RestOption	Next	Icon	Name
10001	10001	空	0	0									{10011}		
10001	10011	商店	0	3						1			{10021,10022,10023}	2200014	ui.TxtDlcRogueShop
10001	10021	战斗	0	1	1	4394	6001	50					{10031,10042}	2200011	ui.TxtDlcRogueFight1
10001	10022	随机事件	0	2					1202				{10032,10033}	2200015	ui.TxtDlcRogueRandom
10001	10023	普通战斗	0	1	1	4306	6001	50					{10032,10033}	2200011	ui.TxtDlcRogueFight1
10001	10031	事件	0	2					1103				{10041}	2200015	ui.TxtDlcRogueRandom
10001	10032	战斗	0	1	1	4311	6001	51					{10042}	2200011	ui.TxtDlcRogueFight1
10001	10033	普通战斗	0	1	1	4301	6001	51					{10043}	2200011	ui.TxtDlcRogueFight1
10001	10041	随机事件	0	2					1104				{10051}	2200015	ui.TxtDlcRogueRandom
10001	10042	随机事件	0	2					1204				{10052}	2200015	ui.TxtDlcRogueRandom
10001	10043	商店	0	3						2			{10053}	2200014	ui.TxtDlcRogueShop
10001	10051	战斗	0	1	1	4308	6002	52					{10061,10062}	2200011	ui.TxtDlcRogueFight1
10001	10052	精英战	0	1	2	4334	6101	55					{10061,10062}	2200012	ui.TxtDlcRogueFight2
10001	10053	随机事件	0	2					1305				{10063}	2200015	ui.TxtDlcRogueRandom
10001	10061	商店	0	3						2			{10071}	2200014	ui.TxtDlcRogueShop
10001	10062	事件	0	2					1206				{10072}	2200015	ui.TxtDlcRogueRandom
10001	10063	随机事件	0	2					1306				{10073}	2200015	ui.TxtDlcRogueRandom
10001	10071	随机事件	0	2					1107				{10081}	2200015	ui.TxtDlcRogueRandom
10001	10072	战斗	0	1	1	4302	6002	53					{10082,10083}	2200011	ui.TxtDlcRogueFight1
10001	10073	精英战	0	1	2	4332	6201	55					{10083,10082}	2200012	ui.TxtDlcRogueFight2
10001	10081	精英战	0	1	2	4335	6101	56					{10091,10092}	2200012	ui.TxtDlcRogueFight2
10001	10082	商店	0	3						3			{10092,10091}	2200014	ui.TxtDlcRogueShop
10001	10083	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{10093}	2200016	ui.TxtDlcRogueRest
10001	10091	战斗	0	1	1	4304	6003	54					{10101}	2200011	ui.TxtDlcRogueFight1
10001	10092	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{10102}	2200016	ui.TxtDlcRogueRest
10001	10093	普通战斗	0	1	1	4302	6003	54					{10103}	2200011	ui.TxtDlcRogueFight1
10001	10101	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{10111}	2200016	ui.TxtDlcRogueRest
10001	10102	精英战	0	1	2	4334	6201	56					{10112,10123}	2200012	ui.TxtDlcRogueFight2
10001	10103	随机事件	0	2					1310				{10113}	2200015	ui.TxtDlcRogueRandom
10001	10111	精英战	0	1	2	4333	6102	57					{10121,10122}	2200012	ui.TxtDlcRogueFight2
10001	10112	事件	0	2					1211				{10122,10121}	2200015	ui.TxtDlcRogueRandom
10001	10113	随机事件	0	2					1311				{10123}	2200015	ui.TxtDlcRogueRandom
10001	10121	商店	0	3						4			{20001}	2200014	ui.TxtDlcRogueShop
10001	10122	事件	0	2					1212				{20001}	2200015	ui.TxtDlcRogueRandom
10001	10123	精英战	0	1	2	4331	6201	57					{20001}	2200012	ui.TxtDlcRogueFight2
10001	20001	空	0	0									{20011,20012,20013}		
10001	20011	事件	0	2					2201				{20021,20022,20023}	2200015	ui.TxtDlcRogueRandom
10001	20021	战斗	0	1	1	4305	6004	55					{20031}	2200011	ui.TxtDlcRogueFight1
10001	20022	战斗	0	1	1	4302	6004	55					{20032}	2200011	ui.TxtDlcRogueFight1
10001	20023	商店	0	3						5			{20033}	2200014	ui.TxtDlcRogueShop
10001	20031	事件	0	2					2103				{20041}	2200015	ui.TxtDlcRogueRandom
10001	20032	商店	0	3						5			{20042,20043}	2200014	ui.TxtDlcRogueShop
10001	20033	战斗	0	1	1	4305	6004	55					{20043,20042}	2200011	ui.TxtDlcRogueFight1
10001	20041	商店	0	3						5			{20051,20052}	2200014	ui.TxtDlcRogueShop
10001	20042	精英战	0	1	2	4331	6103	58					{20052,20051}	2200012	ui.TxtDlcRogueFight2
10001	20043	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20053}	2200016	ui.TxtDlcRogueRest
10001	20051	战斗	0	1	1	4304	6005	56					{20061}	2200011	ui.TxtDlcRogueFight1
10001	20052	事件	0	2					2205				{20062}	2200015	ui.TxtDlcRogueRandom
10001	20053	精英战	0	1	2	4332	6202	58					{20063}	2200012	ui.TxtDlcRogueFight2
10001	20061	事件	0	2					2106				{20071}	2200015	ui.TxtDlcRogueRandom
10001	20062	战斗	0	1	1	4303	6005	56					{20072,20083}	2200011	ui.TxtDlcRogueFight1
10001	20063	随机事件	0	2					2306				{20073}	2200015	ui.TxtDlcRogueRandom
10001	20071	精英战	0	1	2	4335	6103	59					{20081,20082}	2200012	ui.TxtDlcRogueFight2
10001	20072	事件	0	2					2207				{20082,20081}	2200015	ui.TxtDlcRogueRandom
10001	20073	普通战斗	0	1	1	4308	6005	57					{20083}	2200011	ui.TxtDlcRogueFight1
10001	20081	商店	0	3						6			{20091}	2200014	ui.TxtDlcRogueShop
10001	20082	休息点	0	4							rogue.TxtRest	{{1,100},{2,60},{3,1}}	{20092}	2200016	ui.TxtDlcRogueRest
10001	20083	精英战	0	1	2	4334	6202	59					{20093}	2200012	ui.TxtDlcRogueFight2
10001	20091	战斗	0	1	1	4304	6006	57					{20101}	2200011	ui.TxtDlcRogueFight1
10001	20092	精英战	0	1	2	4333	6104	59					{20102,20111}	2200012	ui.TxtDlcRogueFight2
10001	20093	商店	0	3						6			{20103}	2200014	ui.TxtDlcRogueShop
