BufferID	备注	可获得次数	是否怪物加成（0、不填，给玩家角色加成；1，给怪物加成）	Buff类型（1=Modifire 2=收益结算增加 3商品价格优惠折扣）	SkillInfoId	变化值（结算代币增加或商品价格优惠折扣的百分比）	组别（用于buff图标归类）	图标	buff名称	描述	描述备注	在描述中的数值	简略描述
ID	Note	Count	EnemyBuff	Type	Modifire	Percent	Group	Icon	Name	Desc	DescComment	BuffParamPerCount	SimpleDesc
1001	瞄准射击的伤害提升60%	3		1	{8400001}			1001003	rogue.buffname1	rogue.buff1	瞄准射击的伤害提升{1}%	{60}	rogue.buff1
1002	暴击伤害提升50%	3		1	{8400007}			1001000	rogue.buffname2	rogue.buff2	暴击伤害提升{1}%	{50}	rogue.buff2
1003	弹匣容量提升100%	3		1	{8400011}			1001009	rogue.buffname3	rogue.buff3	弹匣容量提升{1}%	{100}	rogue.buff3
1004	暴击率提升25%	3		1	{8400003}			1001001	rogue.buffname4	rogue.buff4	暴击率提升{1}%	{25}	rogue.buff4
1005	常规技能伤害提升65%	3		1	{8400002}			1001002	rogue.buffname5	rogue.buff5	常规技能伤害提升{1}%	{65}	rogue.buff5
1006	爆发技能量获取效率提升50%	3		1	{8400010}			1001004	rogue.buffname6	rogue.buff6	爆发技能量获取效率提升{1}%	{50}	rogue.buff6
1007	常规技能使用间隔降低20%	3		1	{8400022}			1001002	rogue.buffname7	rogue.buff7	常规技能使用间隔降低{1}%	{20}	rogue.buff7
1008	爆发技能的伤害提升70%	3		1	{8400066}			1001004	rogue.buffname8	rogue.buff8	爆发技能的伤害提升{1}%	{70}	rogue.buff8
1009	受治疗效果提升50%	3		1	{8400067}			1001007	rogue.buffname9	rogue.buff9	受治疗效果提升{1}%	{50}	rogue.buff9
1010	防御力100%	3		1	{8400068}			1001005	rogue.buffname10	rogue.buff10	防御力{1}%	{100}	rogue.buff10
1011	换弹速度30%	3		1	{8400069}			1001009	rogue.buffname11	rogue.buff11	换弹速度{1}%	{30}	rogue.buff11
1012	受到伤害降低30%	3		1	{8400004}			1001005	rogue.buffname12	rogue.buff12	受到伤害降低{1}%	{30}	rogue.buff12
1013	最大生命提升50%	3		1	{8400006}			1001006	rogue.buffname13	rogue.buff13	最大生命提升{1}%	{50}	rogue.buff13
2001	弹匣内第一发子弹的伤害提升200%	1		1	{8400021}			1001009	rogue.buffname14	rogue.buff14	弹匣内第一发子弹的伤害提升{1}%	{200}	rogue.buff14
2002	换弹后，你的下5发子弹暴击伤害提高100%	1		1	{8400047}			1001000	rogue.buffname15	rogue.buff15	换弹后，你的下{1}发子弹暴击伤害提高{2}%	{5,100}	rogue.buff15
2003	使用常规技能可以增加暴击率40%，持续15秒	1		1	{8400024}			1001001	rogue.buffname16	rogue.buff16	使用常规技能可以增加暴击率{1}%，持续{2}秒	{40,15}	rogue.buff16
2004	切换队员后，常规技的伤害提升40%，持续5秒	1		1	{8400048}			1001002	rogue.buffname17	rogue.buff17	切换队员后，常规技的伤害提升{1}%，持续{2}秒	{40,5}	rogue.buff17
2005	暴击后射击伤害提升20%，持续5秒，该效果最多叠加5层	1		1	{8400027}			1001000	rogue.buffname18	rogue.buff18	暴击后射击伤害提升{1}%，持续{2}秒，该效果最多叠加{3}层	{20,5,5}	rogue.buff18
3001	降低20%射击速度，提升75%的最终射击伤害	2		1	{8400036}			1001000	rogue.buffname19	rogue.buff19	降低{1}%射击速度，提升{2}%的最终射击伤害	{20,75}	rogue.buff19
3002	降低50%弹匣容量，提升100%的最终射击伤害	2		1	{8400037}			1001000	rogue.buffname20	rogue.buff20	降低{1}%弹匣容量，提升{2}%的最终射击伤害	{50,100}	rogue.buff20
3003	常规技能伤害降低30%，瞄准射击的伤害提升60%	2		1	{8400044}			1001003	rogue.buffname21	rogue.buff21	常规技能伤害降低{1}%，瞄准射击的伤害提升{2}%	{30,60}	rogue.buff21
3004	最大生命降低20%，常规技能的最终伤害提升40%	2		1	{8400046}			1001002	rogue.buffname22	rogue.buff22	最大生命降低{1}%，提升{2}%的最终常规技能伤害	{20,40}	rogue.buff22
3005	最大生命降低30%，所有伤害提升60%	2		1	{8400042}			1001000	rogue.buffname23	rogue.buff23	最大生命降低{1}%，所有伤害提升{2}%	{30,60}	rogue.buff23
3006	每损失1%的生命值，提高1.5%的最终伤害	2		1	{8400041}			1001000	rogue.buffname24	rogue.buff24	每损失{1}%的生命值，提高{2}%的最终伤害	{1,1.5}	rogue.buff24
4001	造成技能伤害后，射击伤害提升15%，持续5秒，重复触发刷新持续时间，这个效果最多叠加5层	1		1	{8400053}			1001000	rogue.buffname25	rogue.buff25	造成技能伤害后，射击伤害提升{1}%，持续5秒，重复触发刷新持续时间，这个效果最多叠加5层	{15}	rogue.buff25
4002	造成射击伤害后，技能伤害提升2.5%，持续3秒，重复触发刷新持续时间，这个效果最多叠加30层	1		1	{8400054}			1001002	rogue.buffname26	rogue.buff26	造成射击伤害后，技能伤害提升{1}%，持续3秒，重复触发刷新持续时间，这个效果最多叠加30层	{2.5}	rogue.buff26
4003	使用常规技能后，恢复8%最大生命，冷却时间5秒	1		1	{8400005}			1001007	rogue.buffname27	rogue.buff27	使用常规技能后,恢复{1}%最大生命，冷却时间{2}秒	{8,5}	rogue.buff27
