字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	敌人的数量还在不断增加，你们还能顶得住吗？	敵人的數量還在不斷增加，你們還撐得住嗎？	敵の数が増え続けてるな。まだ耐えられそうか？	적이 계속 늘어나고 있어. 너희 계속 버틸 수 있겠어?	There are more of them every second. You two holding up okay?						0	2.7版本主线故事
2	当然！不过分析员，要等一会儿再启动大货梯吗？	當然！不過分析員，要等一下再啟動大貨梯嗎？	もちろん！分析員、リフトの起動はまたあとにする？	당연하지! 그런데 분석가, 엘리베이터는 이따가 작동시킬 거야?	Yeah, we're good! But... Adjutant, should we hold off on activating the lift?						0	2.7版本主线故事
3	不，恰恰相反，我们现在就去启动大货梯。	不，剛好相反，我們現在就去啟動大貨梯。	いや。今すぐ起動しに行こう。	아니, 그 반대야. 지금 바로 작동시켜야 해.	No. We're doing it now.						0	2.7版本主线故事
4	分析员？	分析員？	分析員？	분석가?	Wait, now?						0	2.7版本主线故事
5	既然他们是从下面涌上来的，那么我们就直接用大货梯把它们撞个稀巴烂。	既然他們是從下面湧上來的，那我們就直接用大貨梯把它們撞個稀巴爛。	このままじゃ埒が明かない。リフトを落下させて直接敵の出処を叩かないと。	녀석들이 아래에서 올라오고 있으니까, 우린 엘리베이터를 타고 저놈들을 산산조각 낼 거야.	If they want to crawl up from below, why not give them a little surprise — we drop the lift right on their heads and crush them all at once.						0	2.7版本主线故事
6	但是大货梯的强度……啊，分析员是想到解决方案了吗。	但是大貨梯的強度……啊，分析員是想到解決方案了嗎？	でもリフトの固さじゃ……あ！もしかして分析員、なにか手を思いついたの？	하지만 엘리베이터의 강도가… 아, 분석가는 방법을 알고 있구나?	But the lift can't handle that kind of impact... Oh, wait — you already have a plan, don't you?						0	2.7版本主线故事
7	愿闻其详。	願聞其詳。	説明しろ。	자세하게 말해 봐.	Let's hear it.						0	2.7版本主线故事
8	既然强度不够，那么我们就避免让其与泰坦直接对撞，仅仅借用它的动能就好。	既然強度不夠，那我們就避免讓其與泰坦直接對撞，光是藉用它的動能就好。	もちろんそのまま落っことすわけじゃない。利用するのはリフトの落下する勢いだけだ。	강도가 부족하니 타이탄과 직접 부딪치는 건 피하고, 동력만 이용하면 돼.	If the lift can't handle a direct hit, we won't slam it straight into them. We'll just leverage its momentum.						0	2.7版本主线故事
9	我打算将能量汇聚在电梯正下方，形成一枚巨大的“钻头”。	我打算將能量匯聚在電梯正下方，形成一枚巨大的「鑽頭」。	その後、私がタイタン物質でリフトの真下にデカい「ドリル」を作る。	에너지를 엘리베이터 바로 아래에 모은 다음, 거대한 '드릴'을 만들 생각이야.	I'm going to channel the energy beneath it to make a massive "drill."						0	2.7版本主线故事
10	然后利用它突破围剿吗？	然後利用它突破圍剿嗎？	それで包囲網を破るつもりか。	그걸로 포위를 뚫으려고?	To pierce straight through the swarm?						0	2.7版本主线故事
11	没错。	沒錯。	ああ。	맞아.	Exactly.						0	2.7版本主线故事
12	我点了点头，为了方便面前的两位理解，我顺手凝聚起周边的泰坦物质，然后做出了一个小小的钻头模型。	我點了點頭，為了方便眼前的兩位理解，我順手凝聚起周邊的泰坦物質，然後做出了一個小小的鑽頭模型。	説明の補足として、私は空気中のタイタン物質を凝華させて小さなドリルの形にして見せる。	나는 고개를 끄덕였다. 앞에 있는 두 사람의 이해를 돕기 위해, 나는 주변의 타이탄 물질을 뭉쳐 작은 드릴 모형을 만들었다.	I gave a slight nod as I shaped the surrounding Titagen into a small spinning drill in my palm — a visual cue to help them understand the plan.						0	2.7版本主线故事
