类型（1角色卡 2武器 3后勤 4怪物 5时装 6剧情 7探索 8配件 9BGM 10CG 11教程界面)	Id(计算task，不能重复)	//注释	国服解锁时间	海外解锁时间	解锁条件（道具GDPL/怪物模板ID）	图素（resource）	图标	和谐图paintingID 目前支持的有角色和时装	扩展参数1	扩展参数2	扩展参数3	扩展参数4	扩展参数5	扩展参数6	扩展参数7	扩展参数8	和谐标签
Type	Id	Comment	UnLockTime	UnLockTimeOversea	Condition	TitleImg	Icon	PeaceIcon	Extension1	Extension2	Extension3	Extension4	Extension5	Extension6	Extension7	Extension8	green_tag
1	1011	安卡希雅		{202210090800}	{1,1,1,1}	icon_girl001_700			riki.testTitle1	riki.testContent1	riki.testTitle2	riki.testContent2	0,5				
1	1012	安卡希雅-辉夜			{1,1,2,1}	icon_girl001a_700			riki.testTitle1	riki.testContent1	riki.testTitle2	riki.testContent3	8,6				
1	1013	安卡希雅-时之重奏			{1,1,3,1}	icon_girl001a_700			riki.testTitle1	riki.testContent79	riki.testTitle2	riki.testContent80	20,6				
1	1021	里芙			{1,2,1,1}	icon_girl002_700			riki.testTitle1	riki.testContent4	riki.testTitle2	riki.testContent5	0,5				
1	1022	里芙-狂猎			{1,2,2,1}	icon_girl002a_700			riki.testTitle1	riki.testContent4	riki.testTitle2	riki.testContent6	10,6				
1	1023	里芙-无限之视			{1,2,3,1}	icon_girl002a_700			riki.testTitle1	riki.testContent48	riki.testTitle2	riki.testContent49	18,5				
1	1024	里芙-神			{1,2,4,1}	icon_girl002a_700			riki.testTitle1	riki.testContent48	riki.testTitle2	riki.testContent49	18,5				
1	1031	妮塔			{1,3,1,1}	icon_girl003_700			riki.testTitle1	riki.testContent7	riki.testTitle2	riki.testContent8	0,6				
1	1032	妮塔-悸响			{1,3,2,1}	icon_girl003a_700			riki.testTitle1	riki.testContent7	riki.testTitle2	riki.testContent64	0,5				
1	1041	芙提雅			{1,4,1,1}	icon_girl004_700			riki.testTitle1	riki.testContent9	riki.testTitle2	riki.testContent10	0,6				
1	1042	芙提雅-缄默			{1,4,2,1}	icon_girl004a_700			riki.testTitle1	riki.testContent9	riki.testTitle2	riki.testContent11	11,5				
1	1043	芙提雅-驰掣			{1,4,3,1}	icon_girl004a_700			riki.testTitle1	riki.testContent9	riki.testTitle2	riki.testContent58	18,6				
1	1044	芙提雅-矩芯	[202605221000]	[202605221000]	{1,4,4,1}	icon_girl004a_700			riki.testTitle1	riki.testContent9	riki.testTitle2	riki.testContent82	18,9				
1	1051	茉莉安			{1,5,1,1}	icon_girl005_700			riki.testTitle1	riki.testContent12	riki.testTitle2	riki.testContent13	0,5				
1	1052	茉莉安-雨燕			{1,5,2,1}	icon_girl005a_700			riki.testTitle1	riki.testContent12	riki.testTitle2	riki.testContent14	10,5				
1	1053	茉莉安-幽潮	[202410101000]	[202410101000]	{1,5,3,1}	icon_girl005b_700			riki.testTitle1	riki.testContent12	riki.testTitle2	riki.testContent57	20,6				
1	1054	茉莉安-宵鹰	[202602121000]	[202602121000]	{1,5,4,1}	icon_girl005b_700			riki.testTitle1	riki.testContent12	riki.testTitle2	riki.testContent81	20,9				
1	1061	鸣濑晴			{1,6,1,1}	icon_girl006_700			riki.testTitle1	riki.testContent15	riki.testTitle2	riki.testContent16	0,5				
1	1062	晴-藏锋			{1,6,2,1}	icon_girl006a_700		1211022	riki.testTitle1	riki.testContent15	riki.testTitle2	riki.testContent36	10,5				
1	1063	晴-霆光	{202511271000}	{202511271000}	{1,6,3,1}	icon_girl006b_700			riki.testTitle1	riki.testContent15	riki.testTitle2	riki.testContent74	11,5				
1	1071	琴诺			{1,7,1,1}	icon_girl007_700			riki.testTitle1	riki.testContent17	riki.testTitle2	riki.testContent18	0,5				
1	1072	琴诺-悖谬			{1,7,2,1}	icon_girl007_700		1211027	riki.testTitle1	riki.testContent17	riki.testTitle2	riki.testContent45	14,5				
1	1081	芬妮			{1,8,1,1}	icon_girl008_700			riki.testTitle1	riki.testContent19	riki.testTitle2	riki.testContent20	0,5				
1	1082	芬妮-咎冠			{1,8,2,1}	icon_girl008a_700			riki.testTitle1	riki.testContent19	riki.testTitle2	riki.testContent21	10,6				
1	1083	芬妮-辉耀	{202407251000}	{202407251000}	{1,8,3,1}	icon_girl008a_700			riki.testTitle1	riki.testContent50	riki.testTitle2	riki.testContent51	15,6				
1	1084	芬妮【澄意】			{1,8,4,1}	icon_girl008c_700			riki.testTitle1	riki.testContent50	riki.testTitle2	riki.testContent72	15,6				
1	1101	肴			{1,10,1,1}	icon_girl010_700			riki.testTitle1	riki.testContent24	riki.testTitle2	riki.testContent25	0,6				
1	1102	肴-冬至			{1,10,2,1}	icon_girl010a_700			riki.testTitle1	riki.testContent24	riki.testTitle2	riki.testContent26	10,5				
1	1103	肴-夜天光	[202502061000]	[202502061000]	{1,10,3,1}	icon_girl010a_700			riki.testTitle1	riki.testContent24	riki.testTitle2	riki.testContent62	15,6				
1	1104	肴-神	[202502061000]	[202502061000]	{1,10,4,1}	icon_girl010a_700			riki.testTitle1	riki.testContent24	riki.testTitle2	riki.testContent62	15,6				
1	1111	恩雅			{1,11,1,1}	icon_girl011_700			riki.testTitle1	riki.testContent27	riki.testTitle2	riki.testContent28	0,5				
1	1112	恩雅-羽蜕	{202405021000}	{202405021000}	{1,11,2,1}	icon_girl011a_700			riki.testTitle1	riki.testContent27	riki.testTitle2	riki.testContent44	14,6				
1	1113	恩雅-澜风			{1,11,3,1}	icon_girl011b_700			riki.testTitle1	riki.testContent27	riki.testTitle2	riki.testContent63	18,7				
1	1181	薇蒂雅-龙舌兰			{1,18,1,1}	icon_girl018_700			riki.testTitle1	riki.testContent52	riki.testTitle2	riki.testContent53	18,8				
1	1182	薇蒂雅-天鹅座			{1,18,2,1}	icon_girl018a_700			riki.testTitle1	riki.testContent52	riki.testTitle2	card.girl182_des	18,7				
1	1121	猫汐尔			{1,12,1,1}	icon_girl012_700			riki.testTitle1	riki.testContent29	riki.testTitle2	riki.testContent30	0,6				
