模组Id	模组名称	模组说明	备注	说明中的数值	模组Tag备注	模组Tag	图标	模组类型(1职业;2战斗;3火力;4支援)	互斥模组	模组品质	模组负载	解锁方式(1{总负载,模组类型要求,类型占比};2{等级,等级};3{购买,花费})	局内最大等级	是否暂停界面直接展示	关联Skillfix表中的Id	关联Modifier中的Id	关联技能Id	局内机制类型1(1更换武器{武器ID,武器GROWID};2大炮增加skill{E技能ID1,Q技能ID2};3给大炮加skillfix{skillfixID};4给大炮加Modifier{ModifierID};5使用大炮击杀敌船给大炮加Modifier{击杀类型(0全体,1敌船)ModifierID};6小游戏难度调整{{事件类型1,类型2...},事件小游戏参数1,2,3,4调整比例};7船只特定等级可改造机枪{船等级1,船等级2...};8船只升级到特定等级时机炮自动提升等级{船等级1,船等级2...};9交互后给机枪增加modifier{modifierid,冷却};10调整类型9的参数{调整后的Modifier,调整后的冷却};11完成特定类型事件后给【角色】加Modifier{{事件类型1,类型2...}Modifierid};12进行特定类型事件后给【角色】加Modifier{{事件类型1,类型2...}Modifierid};13完成特定类型事件后给【船】加Modifier{{事件类型1,类型2...}Modifierid};14完成特定类型经验获取类型时的经验增量比例{{事件类型1,类型2..},调整的经验比例};15调整炮弹携带量增幅{等级1增幅,等级2增幅...};16驾驶大炮时给玩家加Modifier)	是否延迟处理(0即时,1延迟)	局内机制参数1	局内机制类型1(1更换武器{武器ID,武器GROWID};2大炮增加skill{E技能ID1,Q技能ID2};3给大炮加skillfix{skillfixID};4给大炮加Modifier{ModifierID};5使用大炮击杀敌船给大炮加Modifier{击杀类型(0全体,1敌船)ModifierID};6小游戏难度调整{{事件类型1,类型2...},事件小游戏参数1,2,3,4调整比例};7船只特定等级可改造机枪{船等级1,船等级2...};8船只升级到特定等级时机炮自动提升等级{船等级1,船等级2...};9交互后给机枪增加modifier{modifierid,冷却};10调整类型9的参数{调整后的Modifier,调整后的冷却};11完成特定类型事件后给【角色】加Modifier{{事件类型1,类型2...}Modifierid};12进行特定类型事件后给【角色】加Modifier{{事件类型1,类型2...}Modifierid};13完成特定类型事件后给【船】加Modifier{{事件类型1,类型2...}Modifierid};14完成特定类型经验获取类型时的经验增量比例{{事件类型1,类型2..},调整的经验比例};15调整炮弹携带量增幅{等级1增幅,等级2增幅...})	是否延迟处理(0即时,1延迟)	局内机制参数2
Id	Name	Description	Comment	DescriptionPerCount	TagComment	TagId	Icon	ModType	MutexModId	Quality	Cost	UnlockType	MaxLevel	TimeouShowType	SkillfixId	ModifierId	SkillId	GamePlayType1	DelayType	GamePlayValue1	GamePlayType2	DelayType	GamePlayValue2
1	onlinesea.ModName1	onlinesea.ModDescription1	操控舰载火炮时，获得额外技能【火力覆盖】/n火力覆盖：发射一轮散射炮弹，每枚炮弹的伤害、爆炸范围、物品破坏力与单发炮弹相同，冷却时间15秒	{10}	火炮伤害,载具伤害	{{"onlinesea.ModTag5","3872DDFF",1006013},{"onlinesea.ModTag9","3872DDFF",1006013}}		1		5		{1,150,3,0.5}	1	1				2	1	{3700101}			
2	onlinesea.ModName2	onlinesea.ModDescription2	操控舰载火炮时，获得额外技能【火力覆盖】和【口径正义】/n火力覆盖：发射一轮散射炮弹，每枚炮弹的伤害、爆炸范围、物品破坏力与单发炮弹相同，冷却时间15秒/n口径正义：发射超大号炮弹，造成大范围的伤害，并对范围内的敌方载具和建筑造成50%额外伤害，冷却时间30秒   基础倍率：2500%	{10,50,15}	火炮伤害,载具伤害	{{"onlinesea.ModTag5","3872DDFF",1006013},{"onlinesea.ModTag9","3872DDFF",1006013}}		1		5		{1,300,3,0.7}	1	1				2	1	{3700101,3700102}			
3	onlinesea.ModName3	onlinesea.ModDescription3	技能【火力覆盖】改为发射低温液氦炮弹，伤害和物品破坏力提升100%，对敌人额外造成冰冻效果，并使其进入脆弱状态，在15秒内防御力降低50%/n※无法与战斗、工程系橙色战备共同装配	{100,15,50}	火炮伤害,控制增强	{{"onlinesea.ModTag5","3872DDFF",1006013},{"onlinesea.ModTag10","3FC125FF",1006014}}	1001585	3	{18,19,20,33,34,35}	5	50	{3,500}	1	1				3	1	{370000101}			
4	onlinesea.ModName4	onlinesea.ModDescription4	技能【口径正义】改为发射等离子电浆炮弹，伤害提升100%，并在命中目标后生成电子脉冲，使范围内敌人麻痹5秒，对精英级以上敌人有衰减/n※无法与战斗、工程系橙色战备共同装配	{100,5}	火炮伤害,控制增强	{{"onlinesea.ModTag5","3872DDFF",1006013},{"onlinesea.ModTag10","3FC125FF",1006014}}	1001586	3	{18,19,20,33,34,35}	5	50	{3,500}	1	1				3	1	{370000102}			
5	onlinesea.ModName5	onlinesea.ModDescription5	舰载火炮的技能可充能2层，冷却时间降低40%/n※无法与战斗、工程系橙色战备共同装配	{2,40}	火炮续航	{{"onlinesea.ModTag6","3872DDFF",1006013}}	1001587	3	{18,19,20,33,34,35}	5	50	{2,15}	1	1				3	1	{370000103}			
6	onlinesea.ModName6	onlinesea.ModDescription6	使用舰载火炮时，对敌方舰船和建筑造成的伤害提升20%，船体每提升1级，伤害额外提升10%	{{30,15},{45,15},{60,15},{75,15},{90,15},{105,15},{120,15}}	火炮伤害,载具伤害	{{"onlinesea.ModTag5","3872DDFF",1006013},{"onlinesea.ModTag9","3872DDFF",1006013}}	1001588	3		4	40	{3,400}	7					4	1	{3700105}			
7	onlinesea.ModName7	onlinesea.ModDescription7	驾驶舰载火炮时，受到的伤害降低20%，船体每提升1级，受到的伤害额外降低10%	{{20,10},{30,10},{40,10},{50,10},{60,10},{70,10},{80,10}}	防御增强	{{"onlinesea.ModTag1","AF69F5FF",1006012}}	1001778	3		4	40	{2,13}	7					16	1	{3700208}			
8	onlinesea.ModName8	onlinesea.ModDescription8	舰载火炮射击时发射龙焰弹，造成伤害的时有20%概率融化敌人护甲，使其在30秒内受到的伤害提升5%，最多叠加10层，船体每升1级，触发概率额外提升10%	{{20,30,15,10,10},{30,30,15,10,10},{40,30,15,10,10},{50,30,15,10,10},{60,30,15,10,10},{70,30,15,10,10},{80,30,15,10,10}}	火炮伤害	{{"onlinesea.ModTag5","3872DDFF",1006013}}	1001590	3		4	40	{2,12}	7					1	1	{10119,1512}	4	1	{3700209}
9	onlinesea.ModName9	onlinesea.ModDescription9	使用舰载火炮击沉敌方舰船或摧毁敌方建筑时，火炮伤害提升7.5%，可叠加20层	{10,20}	火炮伤害	{{"onlinesea.ModTag5","3872DDFF",1006013}}	1001591	3		4	40	{3,400}	1					5	1	{1,3700108}			
10	onlinesea.ModName10	onlinesea.ModDescription10	炮弹携带量提升50%，船体每提升1级，携弹量额外提升25%	{{50,25},{75,25},{100,25},{125,25},{150,25},{175,25},{200,25}}	火炮续航	{{"onlinesea.ModTag6","3872DDFF",1006013}}	1001592	3		4	40	{2,10}	7					15	1	{0.5,0.75,1,1.25,1.5,1.75,2}			
11	onlinesea.ModName11	onlinesea.ModDescription11	填装炮弹时，完成交互的进度增量提升100%，自动充能速度提升200%	{100,200}	火炮续航	{{"onlinesea.ModTag6","3872DDFF",1006013}}	1001593	3		3	30	{2,9}	1					6	0	{{101},2,1,0,0}			
