字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page1.1	嗯……	嗯……	うーん……	음…	Hmm...						0	
page1.2	茉莉安？	茉莉安？	マリアン？	마리안?	Marian?						0	
page1.3	啊，分析员，抱歉没看到您……	啊，分析員，抱歉沒看到您……	あ、分析員さん。気づかずにすみません……	앗, 분석가님을 못 봐서 죄송해요…	Ah, Adjutant. Sorry, I didn't see you there...						0	
page1.4	看你站在这里很久了，有什么心事吗？	看你站在這裡很久了，有什麼心事嗎？	ずっとここに立っているようだが、何か悩みでもあるのか？	여기서 한참을 서 있던데, 무슨 일이야?	You've been standing there for a while. Is something bothering you?						0	
page1.5	也不是什么大问题……	也不是什麼大問題……	大したことではないのですが……	별 일 아니에요…	It's not really a big deal...						0	
page1.6	其实我的家里一直在担心我的身体状态，尤其是最近，总是说海姆达尔的任务过于危险。	其實我家裡一直在擔心我的身體狀態，尤其是最近，總是說海姆達爾的任務太危險。	実は家族がずっと私の体調を心配してくれていて、特に最近はヘイムダルの任務が危険すぎると……	사실 저희 집에서 항상 제 몸 상태를 걱정하시죠. 특히 최근에는 헤임달의 임무가 너무 위험하다고 하시면서…	Actually, my family has been worried about my safety. Especially recently, they keep saying how Heimdall missions are way too dangerous.						0	
page1.7	虽然我一直和她们保证没问题，但她们还是念叨着要让我回家一趟。	雖然我一直和她們保證沒問題，但她們還是念著要讓我回家一趟。	大丈夫だと何度も言ったのですが、やっぱり一度家に戻るようにと言われたのです。	제가 계속 괜찮다고 말씀드렸는데도, 그분들은 여전히 저더러 집에 들르라고 하시네요.	I keep telling them it's completely fine, but they still want me to visit home.						0	
page1.8	我记得你家离公司不远吧？	我記得你家離公司不遠吧？	確か会社の近くだよね？	내가 기억하기론 너희 집은 회사에서 멀지 않잖아?	Your house is pretty close to headquarters, right?						0	
page1.9	不，她们说的是在阿尔斯特的老家……	不，她們說的是在阿爾斯特的老家……	いいえ、アルスターの実家のことです……	아니요, 울스터의 본가를 말씀하시는 거예요…	No, they're talking about my hometown in Ulster...						0	
page1.10	那倒确实挺远的。	那倒是確實蠻遠的。	それは確かに遠いな。	그럼 꽤 멀긴 하네.	Well, that's pretty far.						0	
page1.11	这样，有机会的话，我陪你一起回去吧，也好让她们放心下来。	這樣，有機會的話，我陪你一起回去吧，也好讓她們放心下來。	こうしよう。家族を安心させるため、今度機会があれば私も同行するよ。	이제 기회가 되면 그분들이 안심할 수 있게 내가 같이 가 줄게.	How about this? If I get the chance, I'll go back with you. That should put them at ease.						0	
page1.12	真，真的可以吗！	真，真的可以嗎！	ほ、本当にいいのですか？	진, 진짜요?!	R—Really!?						0	
page1.13	在此之前，你得保护好自己，不然到时候我可没法交差。	在此之前，你要保護好自己，不然到時候我沒辦法交差。	それまではちゃんと自分を守るように。じゃないと私が責任を取る羽目になるからな。	그 전에 네 자신을 잘 보호해야 해, 그렇지 않으면 그때 가서 출장 신청할 명분이 없어.	But before that, you need to look after yourself. Otherwise, I won't be able to keep my promise.						0	
