ID(不超过600）	对应悖论迷宫buffid	//名称备注	//描述备注	buff品质	类型（1.仅货币解锁  2.通常增益）	默认解锁	解锁需要货币（cashid）	占用容量	重复解锁的货币补偿
ID	BuffID	NameComment	DesComment	Quality	Type	Unlock	UnlockCoin	Cost	CoinReward
1	1001		射击伤害提升25%/35%	1	2	1	{50,30}	5	{4,1,23,9,10}
2	1002		攻击力提升20%/30%	1	2	0	{50,30}	5	{4,1,23,9,10}
3	1003		技能伤害提高25%/35%	1	2	1	{50,30}	5	{4,1,23,9,10}
4	1004		受到伤害后使造成伤害提高35%/50%，持续5秒	2	2	1	{50,50}	6	{4,1,23,9,20}
5	1005		对自身10米内的敌人造成伤害提高35%/50%	2	2	0	{50,50}	6	{4,1,23,9,20}
6	1006		射击命中弱点后，技能伤害提高30%/45%，持续5秒	2	2	0	{50,50}	6	{4,1,23,9,20}
7	1007		每次击杀敌人，使下一次造成的伤害提高50%/75%	2	2	0	{50,50}	6	{4,1,23,9,20}
8	1008		造成的伤害提高45%/65%，但造成伤害时有5%概率消耗自身5%当前生命值，角色不会因此效果死亡，每秒最多消耗1次	3	2	0	{50,100}	7	{4,1,23,9,40}
9	1009		支援技急速增加20/30，且获得20%/30%场下伤害提升	3	2	0	{50,100}	7	{4,1,23,9,40}
10	1010		在弹匣内装填一颗震撼弹药，每次装填后下一次射击对敌人造成眩晕，持续1/1.5秒，触发间隔4秒，首领敌人免疫2秒以下的控制效果	3	2	0	{50,100}	7	{4,1,23,9,40}
11	1011		击杀敌人获得9%/13%的全伤害提升，持续10秒，可以叠加5层	3	2	0	{50,100}	7	{4,1,23,9,40}
12	1012		基础射击速度降低10%，但每次射击有20%/30%概率造成两次伤害	3	2	1	{50,100}	7	{4,1,23,9,40}
13	1013		射击伤害提高60%/90%，但射击会消耗5%的当前生命值，每次消耗时获得一层【怨恨】效果，当持有5层怨恨时下次射击造成的伤害提高200%/300%，并回复本次伤害10%的生命值(这个值可以稍微给高点）	4	2	0	{50,200}	10	{4,1,23,9,60}
14	1014		对【电涌】目标造成伤害提高60%/90%，并回复本次伤害5%的生命值，每3秒触发一次	4	2	0	{50,200}	10	{4,1,23,9,60}
15	1015		每1秒射击伤害提高30%/45%，最多提高至300%/450%，射击造成伤害时消耗当前层数	4	2	0	{50,200}	10	{4,1,23,9,60}
16	1016		射击伤害会为敌人附加技能易伤效果，使3秒内受到的技能伤害提高30%/45%（包括dot伤害和附魔伤害）	4	2	0	{50,200}	10	{4,1,23,9,60}
17	1017		技能命中处于控制状态下的敌人或造成控制效果时，造成一次敌人2%/3%最大生命值的纯粹伤害，每3秒最多触发一次	4	2	0	{50,200}	10	{4,1,23,9,60}
18	1018		每次射击后会在【冰寒】【火热】两种属性间进行切换，【火热】属性射击命中时会为敌人附加一层【荒芜】效果，【冰寒】属性射击命中时附加【雾冻】效果，若单位u身上同时拥有【荒芜】【雾冻】两种效果，则会基于当前【荒芜】层数造成一次高热伤害，每层【荒芜】效果造成角色6%/9%攻击力的高热伤害（视为dot伤害），至多叠加5层。【雾冻】效果使目标攻击力降低20%/20%，持续3秒	5	2	0	{50,300}	15	{4,1,23,9,100}
19	1019		造成射击伤害时使自身技能伤害提升50/75%，造成技能伤害时使自身射击伤害提升50%/75%，强化效果持续5秒。当同时拥有两种强化效果时，两种强化的加成翻倍	5	2	0	{50,300}	15	{4,1,23,9,100}
20	1020		造成技能伤害时为自身和敌人都施加一层【过载】效果，【过载】最多叠加5层，自身拥有【过载】时，每次对敌人造成技能伤害时基于自身【过载】层数造成一次额外电击类型伤害，每层【过载】造成10%/15%攻击力伤害，视为技能伤害，敌人拥有【过载】时，每层使受到的技能伤害提高5%/7%，过载效果每秒移除一层	5	2	0	{50,300}	15	{4,1,23,9,100}
21	1101		暴击伤害增幅提高30%/45%	1	2	0	{50,30}	5	{4,1,23,9,10}
22	1102		瞄准射击伤害提高30%/45%	1	2	0	{50,30}	5	{4,1,23,9,10}
23	1103		武器准确度提高50/75%	1	2	0	{50,30}	5	{4,1,23,9,10}
24	1104		命中弱点降低目标30%移动速度，持续5/10秒	2	2	0	{50,50}	6	{4,1,23,9,20}
25	1105		弱点伤害无视目标20%/30%防御力	2	2	0	{50,50}	6	{4,1,23,9,20}
26	1106		瞄准状态下暴击率提高15%/25%	2	2	0	{50,50}	6	{4,1,23,9,20}
27	1107		通过命中弱点的方式击杀敌人获得攻击力提升，每次触发提高1%/1.5%，最多叠加40次	2	2	0	{50,50}	6	{4,1,23,9,20}
28	1108		根据目标距离自己的距离提高造成的伤害，越远造成伤害越高，最多提高40%/60%	3	2	0	{50,100}	7	{4,1,23,9,40}
29	1109		处于瞄准状态2秒后，受到的最终伤害降低25%/35%，移动速度提高20%/30%	3	2	0	{50,100}	7	{4,1,23,9,40}
30	1110		对处于控制状态下的目标造成伤害提高50%/75%	3	2	0	{50,100}	7	{4,1,23,9,40}
31	1111		命中敌人弱点时将会击飞敌人，并额外造成一次自身攻击力120%/180%的动能伤害，触发间隔2秒	3	2	0	{50,100}	7	{4,1,23,9,40}
32	1112		每次命中弱点回复本次伤害10%/15%的生命值，每10秒触发一次	3	2	0	{50,100}	7	{4,1,23,9,40}
33	1113		射击命中弱点时，最终伤害提升30%/45%，命中非弱点时，最终伤害降低20%	4	2	0	{50,200}	10	{4,1,23,9,60}
34	1114		射击未命中弱点使目标下次受到的弱点伤害提高30%/50%，至多提高300%/500%	4	2	0	{50,200}	10	{4,1,23,9,60}
35	1115		对【霜冻】状态下目标造成的暴击伤害增幅提高50%/75%，且额外无视【霜冻】状态下目标10%/15%防御力	4	2	0	{50,200}	10	{4,1,23,9,60}
36	1116		命中弱点时使自身射击速度提高10%/15%，最多叠加5层，射击未命中弱点清除所有层数	4	2	0	{50,200}	10	{4,1,23,9,60}
37	1117		使用狙击枪命中弱点时，有1%的概率造成500%/700%最终伤害，每次命中弱点若未触发效果则使概率提高1%	4	2	0	{50,200}	10	{4,1,23,9,60}
38	1118		通过命中弱点的方式击杀敌人回复两颗弹药，且暴击伤害提高20/30%，最多叠加5层，持续10秒	5	2	0	{50,300}	15	{4,1,23,9,100}
39	1119		命中敌人弱点时会额外附带一次持续1秒的冻结效果，处于冻结状态的敌人受到攻击或冻结时间结束后会解冻但会被附加【碎冰】效果，受到的弱点伤害提升50%/75%并移动速度降低30%，持续10秒，敌人10秒内无法再次被附加【碎冰】效果。	5	2	0	{50,300}	15	{4,1,23,9,100}
