所属挑战	ID	所需积分	奖励
ScoreBattle	ID	TargetScore	Reward
1	1	10000	{{4,3,1,1,10000}}
1	2	8000	{{5,2,1,4,2},{4,3,1,1,1000}}
1	3	6000	{{5,21,2,5,1},{5,2,1,3,3}}
1	4	4000	{{4,3,2,1,20},{4,3,1,1,1000}}
1	5	2000	{{5,2,1,4,1},{5,2,1,3,3}}
1	6	1000	{{5,2,1,3,6},{4,3,1,1,1000}}
2	1	10000	{{4,3,1,1,10000}}
2	2	8000	{{5,2,1,4,2},{4,3,1,1,1000}}
2	3	6000	{{5,21,2,5,1},{5,2,1,3,3}}
2	4	4000	{{4,3,2,1,20},{4,3,1,1,1000}}
2	5	2000	{{5,2,1,4,1},{5,2,1,3,3}}
2	6	1000	{{5,2,1,3,6},{4,3,1,1,1000}}
3	1	10000	{{4,3,1,1,10000}}
3	2	8000	{{5,2,1,4,2},{4,3,1,1,1000}}
3	3	6000	{{5,21,2,5,1},{5,2,1,3,3}}
3	4	4000	{{4,3,2,1,20},{4,3,1,1,1000}}
3	5	2000	{{5,2,1,4,1},{5,2,1,3,3}}
3	6	1000	{{5,2,1,3,6},{4,3,1,1,1000}}
4	1	10000	{{4,3,1,1,10000}}
4	2	8000	{{5,2,1,4,2},{4,3,1,1,1000}}
4	3	6000	{{5,21,2,5,1},{5,2,1,3,3}}
4	4	4000	{{4,3,2,1,20},{4,3,1,1,1000}}
4	5	2000	{{5,2,1,4,1},{5,2,1,3,3}}
4	6	1000	{{5,2,1,3,6},{4,3,1,1,1000}}
5	1	10000	{{4,3,1,1,20000}}
5	2	8000	{{4,2,1,4,2},{4,3,1,1,2000}}
5	3	6000	{{4,1,6,5,30},{5,5,1,1,2}}
5	4	4500	{{4,3,2,1,30},{4,3,1,1,2000}}
5	5	3500	{{5,6,1,2,3},{5,5,1,1,2}}
5	6	2600	{{5,5,1,3,3},{4,3,1,1,2000}}
5	7	1800	{{5,5,1,2,10},{5,5,1,1,2}}
5	8	1000	{{5,5,1,1,10},{4,3,1,1,2000}}
6	1	10000	{{4,3,1,1,20000}}
6	2	8000	{{4,2,1,4,2},{4,3,1,1,2000}}
6	3	6000	{{4,1,6,5,30},{5,5,1,1,2}}
6	4	4500	{{4,3,2,1,30},{4,3,1,1,2000}}
6	5	3500	{{5,6,1,2,3},{5,5,1,1,2}}
6	6	2600	{{5,5,1,3,3},{4,3,1,1,2000}}
6	7	1800	{{5,5,1,2,10},{5,5,1,1,2}}
6	8	1000	{{5,5,1,1,10},{4,3,1,1,2000}}
7	1	10000	{{4,3,1,1,20000}}
7	2	8000	{{4,2,1,4,2},{4,3,1,1,2000}}
7	3	6000	{{13,1,34,1,1},{5,5,1,1,2}}
7	4	4500	{{4,3,2,1,30},{4,3,1,1,2000}}
7	5	3500	{{5,6,1,2,3},{5,5,1,1,2}}
7	6	2600	{{5,5,1,3,3},{4,3,1,1,2000}}
7	7	1800	{{5,5,1,2,10},{5,5,1,1,2}}
7	8	1000	{{5,5,1,1,10},{4,3,1,1,2000}}
