序列ID	关卡id	波次	buff选择次数（战斗胜利后）	默认选项数量	buff掉落详情{{概率1，品质1}，{概率2，品质2}}	道具掉落	部件掉落（{掉落数量，{类型范围}，{品质和概率}}）
ID	MaterialBuffBattleID	Waves	BuffRewardNum	BuffNum	BuffReward	CoinReward	ComponentReward
1	1	1	1	3	{{1,1000},{2,1000},{3,8000},{4,0},{5,0}}	{{4,1,23,9,15},{4,1,18,1,10},{4,1,19,1,2}}	{2,{1,3},{{3,0},{2,1500},{1,8500}}}
2	1	2	1	3	{{1,500},{2,1000},{3,7500},{4,1000},{5,0}}	{{4,1,23,9,15},{4,1,18,1,10},{4,1,19,1,2}}	{2,{1,3},{{3,0},{2,3000},{1,7000}}}
3	1	3	1	3	{{1,0},{2,500},{3,7000},{4,2000},{5,500}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,3}}	{2,{1,3},{{3,0},{2,5000},{1,5000}}}
4	1	4	1	3	{{1,0},{2,0},{3,6500},{4,2500},{5,1000}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,3}}	{2,{1,3},{{3,1000},{2,6000},{1,3000}}}
5	1	5	1	3	{{1,0},{2,0},{3,5800},{4,3000},{5,1200}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,4}}	{2,{1,3},{{3,2000},{2,5500},{1,2500}}}
6	1	6	1	3	{{1,0},{2,0},{3,5000},{4,3500},{5,1500}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,4}}	{2,{1,3},{{3,3000},{2,5500},{1,1500}}}
7	1	7	1	3	{{1,0},{2,0},{3,4000},{4,4000},{5,2000}}	{{4,1,23,9,45},{4,1,18,1,32},{4,1,19,1,5}}	{2,{1,3},{{3,4000},{2,6000},{1,0}}}
8	1	8	1	3	{{1,0},{2,0},{3,3000},{4,4500},{5,2500}}	{{4,1,23,9,45},{4,1,18,1,32},{4,1,19,1,5}}	{2,{1,3},{{3,5000},{2,5000},{1,0}}}
9	1	9	0			{{4,1,23,9,60},{4,1,18,1,42},{4,1,19,1,7}}	{1,{1,3},{{3,10000},{2,0},{1,0}}}
10	2	1	1	3	{{1,1000},{2,1000},{3,8000},{4,0},{5,0}}	{{4,1,23,9,15},{4,1,18,1,10},{4,1,19,1,2}}	{2,{2,4},{{3,0},{2,1500},{1,8500}}}
11	2	2	1	3	{{1,500},{2,1000},{3,7500},{4,1000},{5,0}}	{{4,1,23,9,15},{4,1,18,1,10},{4,1,19,1,2}}	{2,{2,4},{{3,0},{2,3000},{1,7000}}}
12	2	3	1	3	{{1,0},{2,500},{3,7000},{4,2000},{5,500}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,3}}	{2,{2,4},{{3,0},{2,5000},{1,5000}}}
13	2	4	1	3	{{1,0},{2,0},{3,6500},{4,2500},{5,1000}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,3}}	{2,{2,4},{{3,1000},{2,6000},{1,3000}}}
14	2	5	1	3	{{1,0},{2,0},{3,5800},{4,3000},{5,1200}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,4}}	{2,{2,4},{{3,2000},{2,5500},{1,2500}}}
15	2	6	1	3	{{1,0},{2,0},{3,5000},{4,3500},{5,1500}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,4}}	{2,{2,4},{{3,3000},{2,5500},{1,1500}}}
16	2	7	1	3	{{1,0},{2,0},{3,4000},{4,4000},{5,2000}}	{{4,1,23,9,45},{4,1,18,1,32},{4,1,19,1,5}}	{2,{2,4},{{3,4000},{2,6000},{1,0}}}
17	2	8	1	3	{{1,0},{2,0},{3,3000},{4,4500},{5,2500}}	{{4,1,23,9,45},{4,1,18,1,32},{4,1,19,1,5}}	{2,{2,4},{{3,5000},{2,5000},{1,0}}}
18	2	9	0			{{4,1,23,9,60},{4,1,18,1,42},{4,1,19,1,7}}	{1,{2,4},{{3,10000},{2,0},{1,0}}}
19	3	1	1	3	{{1,1000},{2,1000},{3,8000},{4,0},{5,0}}	{{4,1,23,9,15},{4,1,18,1,10},{4,1,19,1,2}}	{2,{1,2,3,4},{{3,0},{2,1500},{1,8500}}}
20	3	2	1	3	{{1,500},{2,1000},{3,7500},{4,1000},{5,0}}	{{4,1,23,9,15},{4,1,18,1,10},{4,1,19,1,2}}	{2,{1,2,3,4},{{3,0},{2,3000},{1,7000}}}
21	3	3	1	3	{{1,0},{2,500},{3,7000},{4,2000},{5,500}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,3}}	{2,{1,2,3,4},{{3,0},{2,5000},{1,5000}}}
22	3	4	1	3	{{1,0},{2,0},{3,6500},{4,2500},{5,1000}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,3}}	{2,{1,2,3,4},{{3,1000},{2,6000},{1,3000}}}
23	3	5	1	3	{{1,0},{2,0},{3,5800},{4,3000},{5,1200}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,4}}	{2,{1,2,3,4},{{3,2000},{2,5500},{1,2500}}}
24	3	6	1	3	{{1,0},{2,0},{3,5000},{4,3500},{5,1500}}	{{4,1,23,9,30},{4,1,18,1,21},{4,1,19,1,4}}	{2,{1,2,3,4},{{3,3000},{2,5500},{1,1500}}}
25	3	7	1	3	{{1,0},{2,0},{3,4000},{4,4000},{5,2000}}	{{4,1,23,9,45},{4,1,18,1,32},{4,1,19,1,5}}	{2,{1,2,3,4},{{3,4000},{2,6000},{1,0}}}
26	3	8	1	3	{{1,0},{2,0},{3,3000},{4,4500},{5,2500}}	{{4,1,23,9,45},{4,1,18,1,32},{4,1,19,1,5}}	{2,{1,2,3,4},{{3,5000},{2,5000},{1,0}}}
27	3	9	0			{{4,1,23,9,60},{4,1,18,1,42},{4,1,19,1,7}}	{1,{1,2,3,4},{{3,10000},{2,0},{1,0}}}
