ID	怪物ID	//怪物备注	击杀连击积分
ID	MonsterID	Comment	Score
1	-1	通用小怪	8
2	-2	通用精英	35
3	-3	通用boss	150
4	4001002	普通:灯泡-郊狼	8
5	4001005	普通:钢珠-郊狼	3
6	4001006	普通:喷壶-郊狼	6
7	4001015	普通:简易哨兵-郊狼	9
8	4001017	普通:链斧-郊狼	20
9	4003003	普通:螺钉-郊狼	12
10	4003004	普通:螺帽-郊狼	3
11	4003006	普通:喷壶-郊狼	6
12	4003007	普通:通条-郊狼	6
13	5001001	精英:炉子-郊狼	16
14	5001009	精英:自走炮-郊狼	16
15	5001010	精英:铁锤-郊狼	40
16	5001018	精英:猛火-郊狼	30
17	5001019	精英:重壁-郊狼	36
18	5002010	精英:喇叭-郊狼	40
19	400160202	普通:鼹鼠无人机-郊狼	1
20	5001113	精英:净化贤者-降临团	26
21	5001118	精英:赐福者-降临团	40
22	4001104	普通:武装会员-降临团	18
23	4001108	普通:会员-降临团	3
24	500110902	精英:审判官-降临团	40
25	4003106	普通:爆破会员-降临团	4
26	5003110	精英:净化官-降临团	32
27	4001114	普通:散射会员-降临团	6
28	5001101	精英:波伏娃系统-降临团	28
29	4003103	普通:长刀会员-降临团	14
30	4001116	普通:降临火花-降临团	1
31	500110901	精英:审判官-降临团	40
32	4003102	普通:弓箭会员-降临团	8
33	4001112	普通:连弩会员-降临团	4
34	5001111	精英:幻射会员-降临团	24
35	5001117	精英:播种试图-降临团	24
36	600120502	boss:祟（火）-泰坦	180
37	6001102	boss:加文-降临团	140
38	6001004	boss:爱思特-郊狼	100
39	6002101	boss:波伏娃13-降临团	140
40	6001206	boss:尼亚尔-军方	200
41	6001003	boss:约瑟夫-郊狼	160
42	6001005	boss:二型验证机甲-郊狼	160
43	6001302	boss:透墨索斯	160
44	6001303	boss:尘白恶魔	220
45	4001103	长刀会员-降临团	14
46	400110802	会员-老兵	3
47	4001106	爆破会员-降临团	4
48	4001102	弓箭会员-降临团	8
49	5001110	净化官-降临团	32
50	400111201	连弩会员-老兵-降临团	4
51	400111401	散射会员（老兵）	6
52	4002102	弓箭会员-降临团	8
53	5001311	太阳伞	50
54	5001308	塞壬	40
55	5001307	莱拉普斯	40
56	4001304	格里芬	10
57	4001303	哈比	16
58	4001301	埃罗	3
59	5001302	阿耳戈斯	30
60	4001306	滚石	4
61	400150602	清理部队（霰弹）	6
62	400250602	清理部队（步枪）	6
63	5001403	天启对策机	30
64	400130103	埃罗	3
65	400130403	格里芬	10
66	400350602	清理部队（近战）	12
67	5001402	巴伦支精英斥候	30
68	500100902	自走炮（换皮）	20
69	4001211	甲型异化人	2
70	4001212	乙型异化人	2
71	5001206	贡露（大眼）	30
72	5001204	索列姆（扩音）	50
73	4001213	丙型异化人	16
74	4001215	祸斗	8
75	4001216	侵蚀泰坦	4
76	5001208	密弥尔（低温）	35
77	5001209	古尔薇格（幻象）	60
78	400101602	四象弩机	16
79	4001604	伪镖师	6
80	4001605	伪镖头	6
81	4002605	步枪兵	6
82	4003002	狙击兵	8
83	4001606	阴镖箱	8
84	4001602	鼯鼠无人机（换皮）	1
85	5001601	秉天护运机	50
86	5003010	加特林兵	40
87	5001607	伪造泰坦	60
88	400130105	埃罗换皮	3
89	400130405	格里芬换皮	10
90	400131005	噬咬球换皮	3
91	4001407	自爆机器人	10
92	500131105	太阳伞换皮	50
93	500130705	莱拉普斯换皮	40
94	5001406	AI机器人远程炮兵	50
95	5001405	AI机器人近战枪兵	50
96	4002016	炽热投手	12
97	5001305	西西弗斯	40
98	5001309	空壳遗迹守卫	40
99	6001601	蒙古沙虫	160
100	4002013	罐头a/b/c	16
101	6001208	二律背反的盟约	160
102	6001006	约瑟夫·顽骨	160
103	5002110	净化官-降临团	32
104	4003016	污染投手	12
