ID	//备注	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	分组标识	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	关联growintensity怪物强度模板	是否关闭等级压制	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	时效性队伍规则：{{试用Id,开启时间}}，有多组时最先开放的配最左边	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	Buff	关卡倒计时
ID	Comments	Type	GroupId	MapID	FightID	Condition	ConsumeVigor	StarCondition	Monster	LevelStrength	LevelPower	ShowListType	RecommendPower	RecommendLevelOffset	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	TimlyTeamRule	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	PictureLevel	TaskPath	Buff	LevelTime
8450	积分挑战关1	0	1	8450	1		{0,0}		{4001108,4002106,4001112,5001110}	16	1	0			0	0		0	0			{}								1801000	RogueTreasure/ChallengeLevel/Task_RogueTreasure_Challenge_01.Task_RogueTreasure_Challenge_01		300
8451	积分挑战关2	0	1	8451	1		{0,0}		{6001201,4003007,4001008,5001009,5002010,5001010,4001005}	16	1	0			0	0		0	0			{}								1801000	RogueTreasure/ChallengeLevel/Task_RogueTreasure_Challenge_01.Task_RogueTreasure_Challenge_01		300
8452	积分挑战关3	0	1	8452	1		{0,0}		{6001003,6001102,4001112,4001114,4001108,5001101}	16	1	0			0	0		0	0			{}								1801000	RogueTreasure/ChallengeLevel/Task_RogueTreasure_Challenge_01.Task_RogueTreasure_Challenge_01		300
8453	积分挑战关4	0	1	8453	1		{0,0}		{600150102,4002004,4003007,4001008,5001009,5002010,5001010,4001005}	16	1	0			0	0		0	0			{}								1801000	RogueTreasure/ChallengeLevel/Task_RogueTreasure_Challenge_01.Task_RogueTreasure_Challenge_01		300
8454	积分挑战关5	0	1	8454	1		{0,0}		{6001502,6002502,4001211,4001213,4001212,5001206,5001205,5001209}	16	1	0			0	0		0	0			{}								1801000	RogueTreasure/ChallengeLevel/Task_RogueTreasure_Challenge_01.Task_RogueTreasure_Challenge_01		300
8455	增益试炼关卡1	0	1	8455	1		{0,0}			14	1	0			0	0		0	0			{}									RogueTreasure/BuffLevel/Task_RogueTreasure_Buff_01.Task_RogueTreasure_Buff_01		300
8456	增益试炼关卡2	0	1	8455	1		{0,0}			14	1	0			0	0		0	0			{}									RogueTreasure/BuffLevel/Task_RogueTreasure_Buff_01.Task_RogueTreasure_Buff_01		300
8457	增益试炼关卡3	0	1	8455	1		{0,0}			15	1	0			0	0		0	0			{}									RogueTreasure/BuffLevel/Task_RogueTreasure_Buff_01.Task_RogueTreasure_Buff_01		300
8458	增益试炼关卡4	0	1	8455	1		{0,0}			16	1	0			0	0		0	0			{}									RogueTreasure/BuffLevel/Task_RogueTreasure_Buff_01.Task_RogueTreasure_Buff_01		300
