字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
m10001.1			*暂缺文字，引导玩家打三个彩盒点	1	
					
					
m10002.1			*暂缺文字，引导玩家打三个彩盒点	1	
					
					
m10003.1	H主角		干什么？	1	
m10003.2	O谜之无人机3		别那么冷淡嘛~人家明明只是想给你点小帮助而已。	1	
m10003.3	H主角		小帮助？	1	
m10003.4	O谜之无人机3		嗯嗯，为了方便你们行动，我已经把要找的东西标记到终端上了。	1	
m10003.5	O谜之无人机3		随时都能查看哦~	1	
m10003.6	H主角		我看看……真之……碎片？那是什么？	1	
m10003.7	O谜之无人机3		这就需要分析员亲自确认啦~	1	
m10003.8	O谜之无人机3		另外，记得要小心路上的无人机和虚拟投影哦~	1	
m10003.9	O谜之无人机3		虽然没有搭载实弹，但是不小心被射中了应该还是挺疼的吧。	1	
				1	
				1	
				1	
m1001.1	O谜之无人机3		呜哇~分析员这么快就找到“宝物”了吗？	1	
m1001.2	O谜之无人机3		……什么嘛，这不是什么都没有吗？	1	
m1001.3	O谜之无人机3		真是的，想知道更多有关人家的事，就好好参与这场寻宝游戏嘛~	1	
				1	
				1	
m1005.1	O谜之无人机3		不行不行不行，这可不行哦。	1	
m1005.2	O谜之无人机3		这点零零散散的文字可拼凑不出来什么信息哦~	1	
				1	
				1	
m1010.1	O谜之无人机3		嗯~嗯！嗯！	1	
m1010.2	O谜之无人机3		不愧是大名鼎鼎的分析员，完成速度那么快，真会讨女孩子欢心呢~	1	
m1010.3	O谜之无人机3		怎么办，感觉人家快要被你迷倒了呢~	1	
m1010.4	O辰星		……	1	
m1010.5	O谜之无人机3		别那样盯着人家嘛。放心好了，人家没有忘记答应你们的事情哦~	1	
m1010.6	O谜之无人机3		这次“寻宝游戏”的奖励便是……	1	
m1010.7	O谜之无人机3		解除通往遗迹区的屏障~你们的活动范围增大了哦。	1	
m1010.8	H主角		人质的事情怎么说？	1	
m1010.9	O谜之无人机3		啊~怎么一张嘴就是那个女人啊？人家会吃醋的哦~	1	
m1010.10	O辰星		她还在机房里吗？安全吗？	1	
m1010.11	O谜之无人机3		应该还在吧，拉美西斯的人怎么样都行。	1	
m1010.12	O谜之无人机3		那种垃圾公司的员工还请抛在脑后吧~别忘了，现在可是我们的游戏时间哦~	1	
m1010.13	H主角		寻宝游戏还没结束？	1	
