字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page1.1	星祈节马上就要到了，星祈树的布置也临近尾声。	星祈節馬上就要到了，星祈樹的佈置也臨近尾聲。	星祈祭が間もなく迫り、星祈樹の飾りつけもいよいよ仕上げだ。	성원절이 다가오고, 성원나무 장식도 마무리 단계에 접어들었다.	Starwish Day was just around the corner, and the tree decorations were nearly complete.						0	3.4版本星祈心愿宿舍剧情
page1.2	分别向卡罗琳和露娜确认了庆典筹备一切顺利后，我朝着人造海滩走去。	分別向卡羅琳和露娜確認了慶典籌備一切順利後，我朝著人造海灘走去。	カロリンとルナにそれぞれ祭りの準備が順調であることを確認した後、私は人工ビーチへと向かった。	캐롤린과 루나에게 각각 축제 준비가 순조롭다는 확인을 받은 후, 나는 인공 해변으로 향했다.	After checking in with Caroline and Luna to see that the preparations were going smoothly, I headed toward the artificial beach.						0	3.4版本星祈心愿宿舍剧情
page1.3	达令~！	達令~！	ダーリン！	달링~!	Darling~!						0	3.4版本星祈心愿宿舍剧情
page1.4	果然，少女们已经等待多时了。	果然，少女們已經等待多時了。	やはり、少女たちはすでに待っていた。	역시, 소녀들은 이미 오래 기다리고 있었다.	Sure enough, the girls were already there waiting for me.						0	3.4版本星祈心愿宿舍剧情
page1.5	这几天辛苦啦，你布置星祈树的样子，本小姐一直看在眼里哦。	這幾天辛苦啦，你佈置星祈樹的樣子，本小姐一直看在眼裡哦。	ここ数日お疲れさま。星祈樹を飾ってる姿、ちゃんと見てたわよ。	며칠간 수고했어. 네가 성원나무를 장식하는 모습, 내가 계속 지켜보고 있었다고.	You've worked so hard these past few days decorating the Starwish Tree! I've seen every bit of your effort~						0	3.4版本星祈心愿宿舍剧情
page1.6	我不只看了，还把分析员大人的英姿都记下来了！	我不只看了，還把分析員大人的英姿都記下來了！	私は見るだけじゃなくて、分析員さんの勇姿を全部記録しましたからね！	저는 보기만 하지 않고 분석가님의 멋진 모습을 전부 기록했어요!	Well, I didn't just watch. I made sure to remember every moment of how dashing you looked, Adjutant!						0	3.4版本星祈心愿宿舍剧情
page1.7	我也有把分析员的声音录下来！	我也有把分析員的聲音錄下來！	私も、分析員の声を録っておいたよ！	저도 분석가의 목소리를 녹음했어요!	And I recorded your voice!						0	3.4版本星祈心愿宿舍剧情
page1.8	虽然不知道什么时候被跟踪了……不过我的确感受到你们的爱了。	雖然不知道什麼時候被跟蹤了……不過我的確感受到你們的愛了。	いつから尾行されていたんだ……でも、みんなの愛情はしっかり伝わってきたよ。	언제 미행당했는지는 모르겠지만… 너희들의 사랑은 확실히 느꼈어.	I'm not sure when you all started following me around... but I can definitely feel the love.						0	3.4版本星祈心愿宿舍剧情
page1.9	嘿嘿，之前大家就约好了，要帮分析员一起布置星祈树。	嘿嘿，之前大家就約好了，要幫分析員一起佈置星祈樹。	えへへ、みんな前もって約束してたからね。分析員と一緒に星祈樹を飾るって。	헤헤, 전에 분석가님과 함께 성원나무를 장식하기로 다 같이 약속했잖아요.	Hehe, we all agreed that we'd help you decorate the Starwish Tree together.						0	3.4版本星祈心愿宿舍剧情
page1.10	本来我们是打算让分析员在公司里找一找藏起来的礼物……	本來我們是打算讓分析員在公司裡找一找藏起來的禮物……	本当は会社の中にプレゼントを隠して、分析員さんに探してもらう予定だったんですけど……	원래는 분석가님이 회사에 숨겨둔 선물을 찾게 하려고 했는데…	At first, we were going to have you search for the gifts we hid around Yggdrasil...						0	3.4版本星祈心愿宿舍剧情
page1.11	但芬妮说，分析员已经够辛苦了，应该为分析员减轻一些负担。	但芬妮說，分析員已經夠辛苦了，應該為分析員減輕一些負擔。	でもファニーさんが、分析員さんはもう十分がんばってるから、負担を軽くしようって言って。	근데 페니가 분석가님은 충분히 많이 고생했으니까 분석가님의 부담을 덜어줘야 한다고 했어요.	But Fenny insisted you've been working hard enough already and that we should ease the load a little.						0	3.4版本星祈心愿宿舍剧情
page1.12	所以说，我们把藏礼物的地方选在了海滩。	所以說，我們把藏禮物的地方選在了海灘。	だから、プレゼントはこのビーチに隠したんだよ。	그래서 저희는 선물을 숨길 장소를 해변으로 정했어요.	So, we decided to hide the gifts here on the beach.						0	3.4版本星祈心愿宿舍剧情
page1.13	这样分析员找起来就会容易一些了吧。	這樣分析員找起來就會容易一些了吧。	そのほうが探しやすいでしょ？	이렇게 하면 분석가님이 찾기 좀 더 쉬울 거예요.	That should make them easier for you to find.						0	3.4版本星祈心愿宿舍剧情
page1.14	不能直接把礼物给我吗？	不能直接把禮物給我嗎？	直接くれてもいいんじゃないか。	선물을 그냥 바로 줄 수는 없는 거야?	You know... you could also just hand the gifts to me?						0	3.4版本星祈心愿宿舍剧情
page1.15	虽然我也很想直接给达令礼物，但大家约定过，必须要有藏礼物的环节。	雖然我也很想直接給達令禮物，但大家約定過，必須要有藏禮物的環節。	もちろん、直接ダーリンに渡したい気持ちはあるわよ。でも、プレゼントは隠す決まりなの。	나도 달링한테 선물을 바로 주고 싶지. 하지만 선물을 숨기는 과정이 꼭 있어야 한다고 다 같이 약속했거든.	As much as I'd love to do that, darling, we all agreed on hiding the gifts.						0	3.4版本星祈心愿宿舍剧情
page1.16	这是仪式感的一部分。	這是儀式感的一部分。	儀式みたいなものね。	이건 의식의 일부야.	Consider it part of the ritual.						0	3.4版本星祈心愿宿舍剧情
page1.17	真拿你们没办法，那我现在就去找吧。	真拿你們沒辦法，那我現在就去找吧。	仕方ないな。じゃあ、探させてもらうよ。	정말 어쩔 수 없다니까. 그럼 지금 바로 찾아볼게.	You girls really don't make it easy for me. Alright, I'll start looking then.						0	3.4版本星祈心愿宿舍剧情
page1.18	分析员大人，加油！	分析員大人，加油！	分析員さん、ファイトです！	분석가님, 파이팅!	You've got this, Adjutant!						0	3.4版本星祈心愿宿舍剧情
