ID	备注	定义（11=后勤 12=角色 13=武器 14=武器配件）	Logo	未突破头像200*200	未突破头像130*130	未突破立绘
ID	Comment	Define	Logo	P2	P3	P9
11100011	阿尔斯特-科尼	11	1200102	120101703	120101702	120101701
11100012	阿尔斯特-梅芙	11	1200102	120101603	120101602	120101601
11100013	阿尔斯特-弗拉梅	11	1200102	120101503	120101502	120101501
11100021	堤丰-613	11	1200105	120101403	120101402	120101401
11100022	堤丰-多尼尔	11	1200105	120101203	120101202	120101201
11100023	堤丰-焰心	11	1200105	120101303	120101302	120101301
11100031	御守-桃子	11	1200103	120100303	120100302	120100301
11100032	御守-香蒲	11	1200103	120100403	120100402	120100401
11100033	御守-灼	11	1200103	120100503	120100502	120100501
11100041	梵灵-露茜娅	11	1200106	120100603	120100602	120100601
11100042	梵灵-瓦茜	11	1200106	120100703	120100702	120100701
11100043	梵灵-纳芙	11	1200106	120100803	120100802	120100801
11100051	“守梦人”-玛蒂娜	11	1200100	120100903	120100902	120100901
11100052	“守梦人”-塞奎特	11	1200100	120101003	120101002	120101001
11100053	“守梦人”-海法	11	1200100	120101103	120101102	120101101
11100061	“信使”-格娜	11	1200101	120100003	120100002	120100001
11100062	“信使”-阿花	11	1200101	120100203	120100202	120100201
11100063	“信使”-瓦力	11	1200101	120100103	120100102	120100101
						
						
						
11200011	梵音-洛迦	11	1200106	120104603	120104602	120104601
11200012	梵音-欧白芷	11	1200106	120104703	120104702	120104701
11200013	梵音-莎罗	11	1200106	120104803	120104802	120104801
11200021	“锻造者”-蕾西亚	11	1200101	120103903	120103902	120103901
11200022	“锻造者”-缇坦尼娅	11	1200101	120102403	120102402	120102401
11200023	“锻造者”-白猎	11	1200101	120102903	120102902	120102901
11200031	阿尔戈-鸽子	11	1200105	120103003	120103002	120103001
11200032	阿尔戈-乐手	11	1200105	120103103	120103102	120103101
11200033	阿尔戈-箭头	11	1200105	120103203	120103202	120103201
11200041	鬼怪-安提娜	11	1200104	120103503	120103502	120103501
11200042	鬼怪-薇兹	11	1200104	120103303	120103302	120103301
11200043	鬼怪-瓦莲	11	1200104	120103403	120103402	120103401
11200051	“诗人”-奥伊辛	11	1200102	120104303	120104302	120104301
11200052	“诗人”-凯特琳	11	1200102	120104403	120104402	120104401
11200053	“诗人”-科洛	11	1200102	120104503	120104502	120104501
11200061	绿灵-格伦茨	11	1200102	120104203	120104202	120104201
11200062	绿灵-艾娃	11	1200102	120104003	120104002	120104001
11200063	绿灵-格蕾丝	11	1200102	120104103	120104102	120104101
11200071	“鸦眼”-安	11	1200101	120102003	120102002	120102001
11200072	“鸦眼”-穆林	11	1200101	120101803	120101802	120101801
11200073	“鸦眼”-海基	11	1200101	120101903	120101902	120101901
11200081	布里吉-菲儿	11	1200105	120102203	120102202	120102201
11200082	布里吉-金吉拉	11	1200105	120102303	120102302	120102301
11200083	布里吉-瓦莱莉	11	1200105	120104903	120104902	120104901
11200091	精灵-露莎卡	11	1200104	120102503	120102502	120102501
11200092	精灵-斯涅妮卡	11	1200104	120103603	120103602	120103601
11200093	精灵-邦妮	11	1200104	120105003	120105002	120105001
11200101	达努-班西	11	1200102	120103703	120103702	120103701
11200102	达努-温蒂	11	1200102	120103803	120103802	120103801
11200103	达努-银臂	11	1200102	120102703	120102702	120102701
						
11400011	梵音-洛迦	11	1200106	120104606	120104605	120104604
11400012	梵音-欧白芷	11	1200106	120104706	120104705	120104704
11400013	梵音-莎罗	11	1200106	120104806	120104805	120104804
11400021	“锻造者”-蕾西亚	11	1200101	120103906	120103905	120103904
11400022	“锻造者”-缇坦尼娅	11	1200101	120102406	120102405	120102404
11400023	“锻造者”-白猎	11	1200101	120102906	120102905	120102904
11400031	阿尔戈-鸽子	11	1200105	120103006	120103005	120103004
11400032	阿尔戈-乐手	11	1200105	120103106	120103105	120103104
11400033	阿尔戈-箭头	11	1200105	120103206	120103205	120103204
11400041	鬼怪-安提娜	11	1200104	120103506	120103505	120103504
11400042	鬼怪-薇兹	11	1200104	120103306	120103305	120103304
11400043	鬼怪-瓦莲	11	1200104	120103406	120103405	120103404
11400051	“诗人”-奥伊辛	11	1200102	120104306	120104305	120104304
11400052	“诗人”-凯特琳	11	1200102	120104406	120104405	120104404
11400053	“诗人”-科洛	11	1200102	120104506	120104505	120104504
11400061	绿灵-格伦茨	11	1200102	120104206	120104205	120104204
11400062	绿灵-艾娃	11	1200102	120104006	120104005	120104004
11400063	绿灵-格蕾丝	11	1200102	120104106	120104105	120104104
11400071	“鸦眼”-安	11	1200101	120102006	120102005	120102004
11400072	“鸦眼”-穆林	11	1200101	120101806	120101805	120101804
11400073	“鸦眼”-海基	11	1200101	120101906	120101905	120101904
11400081	布里吉-菲儿	11	1200105	120102206	120102205	120102204
11400082	布里吉-金吉拉	11	1200105	120102306	120102305	120102304
11400083	布里吉-瓦莱莉	11	1200105	120104906	120104905	120104904
11400091	精灵-露莎卡	11	1200104	120102506	120102505	120102504
11400092	精灵-斯涅妮卡	11	1200104	120103606	120103605	120103604
11400093	精灵-邦妮	11	1200104	120105006	120105005	120105004
11400101	达努-班西	11	1200102	120103706	120103705	120103704
11400102	达努-温蒂	11	1200102	120103806	120103805	120103804
11400103	达努-银臂	11	1200102	120102706	120102705	120102704
						
						
						
11300011	达摩-红线	11	1200103	120106903	120106902	120106901
11300012	达摩-佐香	11	1200103	120107003	120107002	120107001
11300013	达摩-浮沐	11	1200103	120107103	120107102	120107101
11300021	底比斯-暮影	11	1200100	120105403	120105402	120105401
11300022	底比斯-孔苏	11	1200100	120105503	120105502	120105501
11300023	底比斯-穆特	11	1200100	120105603	120105602	120105601
11300031	芬尼亚-夏洛特	11	1200102	120106103	120106102	120106101
11300032	芬尼亚-红心	11	1200102	120106003	120106002	120106001
11300033	芬尼亚-罗茜	11	1200102	120106203	120106202	120106201
11300041	摩伊拉-拉克西丝	11	1200105	120105703	120105702	120105701
11300042	摩伊拉-贝拉	11	1200105	120105803	120105802	120105801
11300043	摩伊拉-克萝伊	11	1200105	120105903	120105902	120105901
11300051	梵星-瓦卡斯帕	11	1200106	120106403	120106402	120106401
11300052	梵星-苏卡拉	11	1200106	120106503	120106502	120106501
11300053	梵星-玛瑞尔	11	1200106	120106303	120106302	120106301
11300061	凯夫曼-雅尔哈康	11	1200101	120105203	120105202	120105201
11300062	凯夫曼-斯卡德肯	11	1200101	120105103	120105102	120105101
11300063	凯夫曼-哈尔芙	11	1200101	120105303	120105302	120105301
11300064	领航者-芳泽	11	1200104	120106603	120106602	120106601
11300065	领航者-雅里洛	11	1200104	120106703	120106702	120106701
11300066	领航者-玛拉	11	1200104	120106803	120106802	120106801
11300067	天岩户-岳间泽	11	1200103	120107503	120107502	120107501
11300068	天岩户-鹤一	11	1200103	120107603	120107602	120107601
