	注释	血量	攻击	防御	耐力上限		暴击率（突破）	暴击加成（突破）	技能强度增幅	能量获取效率（突破）	指挥值(%)（突破）	血量百分比（突破）	技巧百分比	防御百分比（突破）			破盾加成（突破）
ID	Comment	Health	Attack	Defence	Vigour		CriticalValue_break	CriticalDamageAddtion_break	SkillIntensity_break	CharacterEnergyEfficiency_break	Command_break	HealthPer_break	AttackPer_break	DefencePer_break			ShieldDamageScaler_Break
10011	阿尔斯特-科尼		{{1,6},{2,12},{3,18},{4,25},{5,31},{6,37},{7,43},{8,50},{9,56},{10,62},{11,69},{12,76},{13,82},{14,89},{15,96},{16,96}}	{{1,3},{2,6},{3,9},{4,12},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,48}}								{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}					
10012	阿尔斯特-梅芙	{{1,95},{2,178},{3,261},{4,346},{5,431},{6,517},{7,605},{8,693},{9,781},{10,871},{11,962},{12,1053},{13,1146},{14,1239},{15,1333},{16,1429}}		{{1,3},{2,6},{3,9},{4,12},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,48}}									{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}				
10013	阿尔斯特-弗格斯	{{1,95},{2,178},{3,261},{4,346},{5,431},{6,517},{7,605},{8,693},{9,781},{10,871},{11,962},{12,1053},{13,1146},{14,1239},{15,1333},{16,1429}}	{{1,6},{2,12},{3,18},{4,25},{5,31},{6,37},{7,43},{8,50},{9,56},{10,62},{11,69},{12,76},{13,82},{14,89},{15,96},{16,96}}											{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}			
10014	堤丰-613		{{1,6},{2,11},{3,17},{4,23},{5,28},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,82},{15,89},{16,89}}	{{1,3},{2,6},{3,9},{4,12},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,48}}								{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}					
10015	堤丰-多尼尔	{{1,96},{2,180},{3,265},{4,350},{5,436},{6,524},{7,612},{8,701},{9,791},{10,882},{11,973},{12,1066},{13,1160},{14,1254},{15,1349},{16,1446}}		{{1,3},{2,6},{3,9},{4,12},{5,14},{6,17},{7,20},{8,23},{9,26},{10,29},{11,32},{12,35},{13,38},{14,41},{15,44},{16,48}}									{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}				
10016	堤丰-里奥	{{1,96},{2,180},{3,265},{4,350},{5,436},{6,524},{7,612},{8,701},{9,791},{10,882},{11,973},{12,1066},{13,1160},{14,1254},{15,1349},{16,1446}}	{{1,6},{2,11},{3,17},{4,23},{5,28},{6,34},{7,40},{8,46},{9,52},{10,58},{11,64},{12,70},{13,76},{14,82},{15,89},{16,89}}											{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}			
10017	御守-桃子		{{1,6},{2,11},{3,17},{4,22},{5,28},{6,34},{7,40},{8,45},{9,51},{10,57},{11,63},{12,69},{13,75},{14,81},{15,88},{16,88}}	{{1,3},{2,6},{3,8},{4,11},{5,14},{6,17},{7,20},{8,22},{9,25},{10,28},{11,31},{12,34},{13,37},{14,40},{15,43},{16,46}}								{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}					
10018	御守-香蒲	{{1,95},{2,177},{3,261},{4,345},{5,430},{6,516},{7,603},{8,691},{9,780},{10,869},{11,960},{12,1051},{13,1143},{14,1236},{15,1330},{16,1425}}		{{1,3},{2,6},{3,8},{4,11},{5,14},{6,17},{7,20},{8,22},{9,25},{10,28},{11,31},{12,34},{13,37},{14,40},{15,43},{16,46}}									{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}				
10019	御守-灼	{{1,95},{2,177},{3,261},{4,345},{5,430},{6,516},{7,603},{8,691},{9,780},{10,869},{11,960},{12,1051},{13,1143},{14,1236},{15,1330},{16,1425}}	{{1,6},{2,11},{3,17},{4,22},{5,28},{6,34},{7,40},{8,45},{9,51},{10,57},{11,63},{12,69},{13,75},{14,81},{15,88},{16,88}}											{{1,3.6},{2,3.6},{3,3.6},{4,7.2},{5,7.2},{6,7.2},{7,10.8},{8,10.8},{9,10.8},{10,14.4}}			
