ID	注释	试用角色ID	试用角色等级	后勤1试用词缀
ID	des	SupporterCardID	SupportLevel	SupporterAffix
300001	阿尔斯特-科尼	{3,1,1,1}	10	{{1,5,3},{2,3,3}}
300002	阿尔斯特-梅芙	{3,2,1,1}	10	{{1,5,3},{2,3,3}}
300003	阿尔斯特-弗格斯	{3,3,1,1}	10	{{1,5,3},{2,3,3}}
300004	堤丰-613	{3,1,2,1}	10	{{1,4,3},{2,3,3}}
300005	堤丰-多尼尔	{3,2,2,1}	10	{{1,4,3},{2,3,3}}
300006	堤丰-里奥	{3,3,2,1}	10	{{1,4,3},{2,3,3}}
300007	御守-桃子	{3,1,3,1}	10	{{1,6,3},{2,3,3}}
300008	御守-香蒲	{3,2,3,1}	10	{{1,6,3},{2,3,3}}
300009	御守-灼	{3,3,3,1}	10	{{1,6,3},{2,3,3}}
300010	梵灵-里西亚	{3,1,4,1}	10	{{1,4,3},{2,3,3}}
300011	梵灵-瓦茜	{3,2,4,1}	10	{{1,4,3},{2,3,3}}
300012	梵灵-维斯瓦米	{3,3,4,1}	10	{{1,4,3},{2,3,3}}
300013	“守梦人”-玛蒂娜	{3,1,5,1}	10	{{1,5,3},{2,3,3}}
300014	“守梦人”-塞奎特	{3,2,5,1}	10	{{1,5,3},{2,3,3}}
300015	“守梦人”-海法	{3,3,5,1}	10	{{1,5,3},{2,3,3}}
300016	“信使”-格娜	{3,1,6,1}	10	{{1,1,3},{2,3,3}}
300017	“信使”-阿花	{3,2,6,1}	10	{{1,1,3},{2,3,3}}
300018	“信使”-瓦力	{3,3,6,1}	10	{{1,1,3},{2,3,3}}
300019	梵音-洛迦	{3,1,7,1}	13	{{1,14,3},{2,12,3}}
300020	梵音-寻香	{3,2,7,1}	13	{{1,14,3},{2,12,3}}
300021	梵音-莎罗	{3,3,7,1}	13	{{1,14,3},{2,12,3}}
300022	“锻造者”-蕾西亚	{3,1,8,1}	13	{{1,14,3},{2,12,3}}
300023	“锻造者”-缇坦尼娅	{3,2,8,1}	13	{{1,14,3},{2,12,3}}
300024	“锻造者”-白猎	{3,3,8,1}	13	{{1,14,3},{2,12,3}}
300025	阿尔戈-鸽子	{3,1,9,1}	13	{{1,14,3},{2,12,3}}
300026	阿尔戈-乐手	{3,2,9,1}	13	{{1,14,3},{2,12,3}}
300027	阿尔戈-箭头	{3,3,9,1}	13	{{1,14,3},{2,12,3}}
300028	鬼怪-炉子	{3,1,10,1}	13	{{1,14,3},{2,12,3}}
300029	鬼怪-菲林斯	{3,2,10,1}	13	{{1,14,3},{2,12,3}}
300030	鬼怪-“不死”伊万	{3,3,10,1}	13	{{1,14,3},{2,12,3}}
300031	“诗人”-奥伊辛	{3,1,11,1}	13	{{1,14,3},{2,12,3}}
300032	“诗人”-卡尔特	{3,2,11,1}	13	{{1,14,3},{2,12,3}}
300033	“诗人”-科洛	{3,3,11,1}	13	{{1,14,3},{2,12,3}}
300034	绿灵-斯塔格	{3,1,12,1}	13	{{1,14,3},{2,12,3}}
300035	绿灵-艾娃	{3,2,12,1}	13	{{1,14,3},{2,12,3}}
300036	绿灵-格蕾丝	{3,3,12,1}	13	{{1,14,3},{2,12,3}}
300037	达摩-红线（动能	{3,1,13,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300038	达摩-佐香（动能	{3,2,13,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300039	达摩-浮木（动能	{3,3,13,1}	16	{{1,21,3},{2,23,3},{3,51,3}}
300040	底比斯-曜影（低温	{3,1,14,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300041	底比斯-孔苏（低温	{3,2,14,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
300042	底比斯-穆特（低温	{3,3,14,1}	16	{{1,21,3},{2,23,3},{3,49,3}}
