字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	我们的位置已经暴露了啊……	我們的位置已經暴露了啊……	私達の場所はもうバレているようね。	위치가 발각됐잖아…	We've been spotted...						0	
2	不知从何时起，仓库中的树枝仿佛被某种力量激活了般，疯狂地蔓延开来。	不知從何時起，倉庫中的樹枝彷彿被某種力量啟動了般，瘋狂地蔓延開來。	いつの間にか、なんらかの力で突如活性化したみたいに、倉庫内の木の枝が狂った勢いで蔓延し始めた。	언제부터 시작됐는지 모르겠지만 창고에 있던 나뭇가지가 어떤 힘에 의해 살아난 것처럼 미친 듯이 퍼져 나가기 시작했다.	Before I knew it, the Titagen branches in the warehouse started growing rapidly in our direction as if awakened by some force.						0	
3	很快，随着第一个货架的坍塌，无数细碎的枝条开始汇聚，最终裹挟着钢铁，汇成了一股洪流，向我们奔涌而来。	很快，隨著第一個貨架的坍塌，無數細碎的枝條開始匯聚，最終裹挾著鋼鐵，匯成了一股洪流，向我們奔湧而來。	棚を倒しながら、無数の細い枝が混ざり合い、最終的には鋼鉄をも巻き込んで、洪水のような勢いで私達に襲い掛かってきた。	그리고 첫 번째 선반이 무너지면서 잘게 부서진 나뭇가지들이 다시 모여들기 시작했고, 강철을 감싸고 하나의 물줄기를 이룬 것처럼 우리에게 쏟아지기 시작했다.	Soon after, the first row of shelves collapsed. Countless tiny branches began to converge, engulfing the steel and surging toward us in a torrent.						0	
4	快走，去电梯口。	快走，去電梯口。	急ごう。エレベーターホールだ！	어서 엘리베이터 입구로 가.	Quick, get to the elevator.						0	
5	利用炸弹拉开了距离后，我急忙带着队员向着通往圣坛的入口前进。	利用炸彈拉開了距離後，我急忙帶著隊員向著通往聖壇的入口前進。	爆弾を使ってなんとかけん制すると、私は隊員たちを連れて聖壇の入口へと向かった。	폭탄으로 거리를 벌린 나는 서둘러 대원들을 데리고 제단으로 향하는 입구로 향했다.	After throwing a few bombs to create some distance, I hurriedly led the operatives toward the altar entrance.						0	
6	呜嗯——	嗚嗚嗚——	あっ——	으윽…	Wha—						0	
7	小安卡！！	小安卡！！	アカシアちゃん……！	아카시아!!	Acacia!!!						0	
8	树枝抓住了位于队尾的安卡希雅，企图将其拉走。	樹枝抓住了位於隊尾的安卡希雅，企圖將其拉走。	枝が最後尾にいたアカシアを捕らえ、引きずり寄せようとしていた。	나뭇가지가 후방에 있는 아카시아를 붙잡고 끌고 가려 했다.	A branch had grabbed Acacia at the back of our group, attempting to pull her away.						0	
b-1											0	
9	瞄准缠住安卡希雅的树枝开枪	瞄準纏住安卡希雅的樹枝開槍	アカシアに巻きついた枝を狙って撃つ	아카시아의 나뭇가지를 겨누어 총을 쏜다.	Aim at the branch wrapped around Acacia and shoot						0	
10	好准……得救了……	好準……得救了……	すごい……助かっちゃった……	정확했어… 겨우 살았네…	Nice shot... You saved me...						0	
11	傻愣着干嘛，快爬起来！	傻愣著幹嘛，快爬起來！	なにボーッとしてるの？急ぐわよ！	뭐 하고 있는 거야! 빨리 일어나!	What're you doing still lying around? Get up!						0	
12	架起射击支架的凯茜娅对面前宛若蛇群般的树枝发起了猛烈的反击，一时间竟将它们逼退了回去。	架起射擊支架的凱茜婭對面前宛若蛇群般的樹枝發動了猛烈的反擊，一時間竟將它們逼退了回去。	カーシアはバイポットを立て、目の前でヘビのようにうねる枝の束を攻撃した。その猛烈な反撃に怯んだのか、枝の津波が一瞬だけ退いた。	사격대를 세운 캐시아는 뱀떼처럼 생긴 나뭇가지를 향해 맹렬한 반격을 가해 그들을 잠시 뒤로 밀어냈다.	After setting up her shooting mount, Katya began an intense counterattack against the snake-like branches, momentarily holding them off.						0	
13	而刚刚获救的安卡希雅也掷出飞刀，做好了原地迎击敌人的准备。	而剛剛獲救的安卡希雅也擲出飛刀，做好了原地迎擊敵人的準備。	解放されたばかりのアカシアも、間髪おかずナイフを投げ、その場で迎撃に加わっていた。	방금 구조된 아카시아도 비수를 던지며 그 자리에서 타깃을 맞설 준비를 마쳤다.	Acacia hurled some of her daggers too, ready to stand her ground and face the enemy.						0	
14	恩雅姐，跟上我，去电梯入口。	恩雅姐，跟上我，去電梯入口。	エンヤ姉、エレベーター前までカバーして。	엔야 누님, 저를 따라 엘리베이터 입구로 가요.	Enya, cover me while I move over to the elevator.						0	
15	嗯！	嗯！	わかりました！	응!	Got it!						0	
16	等你们到了圣坛再联系。	等你們到了聖壇再聯絡。	聖壇についたら連絡してよ。	제단에 도착하면 연락해 줘.	Let us know when you guys get to the altar.						0	
17	只用一个眼神，我们便能知晓对方心中所想。	只用一個眼神，我們便能知曉對方心中所想。	私達の仲だ。視線を交わすだけで相手の考えが分かった。	눈빛 하나만으로도 우리는 서로의 마음을 알 수 있었다.	We glanced at each other, knowing what the other was thinking.						0	
18	在与断后的两人进行了短暂的告别后，我便与恩雅向着眼前的电梯口发起了最后的冲刺——	在與斷後的兩人進行了短暫的告別後，我便與恩雅向著眼前的電梯口發起了最後的衝刺——	敵の迎撃に回った2人と別れ、私とエンヤはエレベーターへと走った——	두 사람과 짧은 인사를 나눈 후, 나는 엔야와 함께 엘리베이터 입구를 향해 전력 질주를 했다…	After saying a quick goodbye to the two behind us, Enya and I sprinted the final distance over to the elevator in front of us...						0	
