活动ID	章节ID	困难等级(1 普通)	区域(0都有 1国服 2海外)	开放时间	解锁条件（1 账号等级 2 前置关卡）	关卡列表	关卡排序
AID	ID	Difficult	Coverage	OpenTime	Condition	Level	LevelSort
1	1	1	0		{{1,1}}	{450,451,481}	{450,451,0,0,481}
1	2	1	0		{{1,1}}	{452,453,482}	{452,453,0,0,482}
1	3	1	0		{{1,1}}	{454,455,483}	{454,455,0,0,483}
1	1	2	0		{{1,1}}	{456,457,458,484}	{456,457,458,0,484}
1	2	2	0		{{1,1}}	{459,460,461,485}	{459,460,461,0,485}
1	3	2	0		{{1,1}}	{462,463,464,486}	{462,463,464,0,486}
1	1	3	0		{{1,1}}	{465,466,467,468,487}	{465,466,467,468,487}
1	2	3	0		{{1,1}}	{469,470,471,472,488}	{469,470,471,472,488}
1	3	3	0		{{1,1}}	{473,474,475,476,489}	{473,474,475,476,489}
2	1	1	0		{{1,1}}	{4500,4501,4529}	{4500,4501,0,0,4529}
2	2	1	0		{{1,1}}	{4502,4503,4528}	{4502,4503,0,0,4528}
2	3	1	0		{{1,1}}	{4504,4505,4527}	{4504,4505,0,0,4527}
2	1	2	0		{{1,1}}	{4506,4507,4508,4532}	{4506,4507,4508,0,4532}
2	2	2	0		{{1,1}}	{4509,4510,4511,4531}	{4509,4510,4511,0,4531}
2	3	2	0		{{1,1}}	{4512,4513,4514,4530}	{4512,4513,4514,0,4530}
2	1	3	0		{{1,1}}	{4515,4516,4517,4518,4535}	{4515,4516,4517,4518,4535}
2	2	3	0		{{1,1}}	{4519,4520,4521,4522,4534}	{4519,4520,4521,4522,4534}
2	3	3	0		{{1,1}}	{4523,4524,4525,4526,4533}	{4523,4524,4525,4526,4533}
3	1	1	0		{{1,1}}	{5300,5301,5327}	{5300,5301,0,0,5327}
3	2	1	0		{{1,1}}	{5302,5303,5328}	{5302,5303,0,0,5328}
3	3	1	0		{{1,1}}	{5304,5305,5329}	{5304,5305,0,0,5329}
3	1	2	0		{{1,1}}	{5306,5307,5308,5330}	{5306,5307,5308,0,5330}
3	2	2	0		{{1,1}}	{5309,5310,5311,5331}	{5309,5310,5311,0,5331}
3	3	2	0		{{1,1}}	{5312,5313,5314,5332}	{5312,5313,5314,0,5332}
3	1	3	0		{{1,1}}	{5315,5316,5317,5318,5333}	{5315,5316,5317,5318,5333}
3	2	3	0		{{1,1}}	{5319,5320,5321,5322,5334}	{5319,5320,5321,5322,5334}
3	3	3	0		{{1,1}}	{5323,5324,5325,5326,5335}	{5323,5324,5325,5326,5335}
4	1	1	0		{{1,1}}	{5610,5611,5637}	{5610,5611,0,0,5637}
4	2	1	0		{{1,1}}	{5612,5613,5638}	{5612,5613,0,0,5638}
4	3	1	0		{{1,1}}	{5614,5615,5639}	{5614,5615,0,0,5639}
4	1	2	0		{{1,1}}	{5616,5617,5618,5640}	{5616,5617,5618,0,5640}
4	2	2	0		{{1,1}}	{5619,5620,5621,5641}	{5619,5620,5621,0,5641}
4	3	2	0		{{1,1}}	{5622,5623,5624,5642}	{5622,5623,5624,0,5642}
4	1	3	0		{{1,1}}	{5625,5626,5627,5628,5643}	{5625,5626,5627,5628,5643}
4	2	3	0		{{1,1}}	{5629,5630,5631,5632,5644}	{5629,5630,5631,5632,5644}
4	3	3	0		{{1,1}}	{5633,5634,5635,5636,5645}	{5633,5634,5635,5636,5645}
