ID	备注	关卡类型(0:通常关,1:Boss关)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	获得buff	获得积分(int|{}  小关卡固定积分|{类型, 参数下限,参数上限,积分下限，积分上限} 1：剩余时间百分比 2：击杀怪物数量 3：剩余血量 4：总伤害量 5：敌人突破数量)	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	关联growintensity怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐等级	试玩角色	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源
ID	Comments	Type	MapID	FightID	Condition	Buff	Score	ConsumeVigor	StarCondition	Monster	LevelStrength	ShowListType	RecommendLevel	TrailCard	RecommendLevelOffset	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	PictureLevel	TaskPath
450	难度1-补给点A1	0	450	1		101	{200}	{0,0}		{4001003,4001004,4001005,4003007}	1	1	35			0	0					{}									DLC2Task/Area_Repression/Area_Repression01.Area_Repression01
451	难度1-补给点A2	0	451	1		102	{200}	{0,0}		{4001116,4002106,4001108}	1	1	35			0	0					{}									DLC2Task/Area_Repression/Area_Repression02.Area_Repression02
452	难度1-补给点B1	0	452	1		103	{200}	{0,0}		{500110902}	1	1	35			0	0					{}									DLC2Task/Area_Repression/Area_Repression023.Area_Repression023
453	难度1-补给点B2	0	453	1		104	{200}	{0,0}		{4001212,4001213,4001215,4001211}	1	1	35			0	0					{}									DLC2Task/Area_Repression/Area_Repression04.Area_Repression04
454	难度1-补给点C1	0	454	1		105	{200}	{0,0}		{4001116,4002103,4001108}	1	1	35			0	0					{}									DLC2Task/Area_Repression/Area_Repression05.Area_Repression05
455	难度1-补给点C2	0	455	1		106	{200}	{0,0}		{5001209}	1	1	35			0	0					{}									DLC2Task/Area_Repression/Area_Repression020.Area_Repression020
456	难度2-补给点A1	0	456	1		201	{300}	{0,0}		{4001003,4001004,4001005,4003007}	1	1	50			0	0					{}									DLC2Task/Area_Repression/Area_Repression07.Area_Repression07
457	难度2-补给点A2	0	457	1		202	{300}	{0,0}		{4001116,4002106,4001108}	1	1	50			0	0					{}									DLC2Task/Area_Repression/Area_Repression08.Area_Repression08
458	难度2-补给点A3	0	458	1		203	{300}	{0,0}		{5001001}	1	1	50			0	0					{}									DLC2Task/Area_Repression/Area_Repression016.Area_Repression016
459	难度2-补给点B1	0	459	1		204	{300}	{0,0}		{4001212,4001211,4001215}	1	1	50			0	0					{}									DLC2Task/Area_Repression/Area_Repression09.Area_Repression09
460	难度2-补给点B2	0	460	1		205	{300}	{0,0}		{4001212,4001213,4001215,4001211}	1	1	50			0	0					{}									DLC2Task/Area_Repression/Area_Repression010.Area_Repression010
461	难度2-补给点B3	0	461	1		206	{300}	{0,0}		{500110901}	1	1	50			0	0					{}									DLC2Task/Area_Repression/Area_Repression017.Area_Repression017
462	难度2-补给点C1	0	462	1		207	{300}	{0,0}		{4001102,4001108,4002103,4001116}	1	1	50			0	0					{}									DLC2Task/Area_Repression/Area_Repression027.Area_Repression027
463	难度2-补给点C2	0	463	1		208	{300}	{0,0}		{4001102,4001108,4002103,4001116}	1	1	50			0	0					{}									DLC2Task/Area_Repression/Area_Repression014.Area_Repression014
464	难度2-补给点C3	0	464	1		209	{300}	{0,0}		{5002010}	1	1	50			0	0					{}									DLC2Task/Area_Repression/Area_Repression015.Area_Repression015
465	难度3-补给点A1	0	450	1		301	{500}	{0,0}		{4001005,4001004,4001002,4001008}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression03.Area_Repression03
466	难度3-补给点A2	0	451	1		302	{500}	{0,0}		{4001116,4002106,4001108}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression025.Area_Repression025
467	难度3-补给点A3	0	452	1		303	{500}	{0,0}		{5001001}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression018.Area_Repression018
468	难度3-补给点A4	0	453	1		304	{500}	{0,0}		{4001008,4003006,4003004}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression06.Area_Repression06
469	难度3-补给点B1	0	454	1		305	{500}	{0,0}		{4001116,4002103,4001108}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression011.Area_Repression011
470	难度3-补给点B2	0	455	1		306	{500}	{0,0}		{5001208}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression019.Area_Repression019
471	难度3-补给点B3	0	456	1		307	{500}	{0,0}		{4001003,4001004,4001005,4003007}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression012.Area_Repression012
472	难度3-补给点B4	0	457	1		308	{500}	{0,0}		{4001005,4003004,4003006,4003007}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression013.Area_Repression013
473	难度3-补给点C1	0	458	1		309	{500}	{0,0}		{4001104}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression021.Area_Repression021
474	难度3-补给点C2	0	459	1		310	{500}	{0,0}		{4001003,4001004,4001005,4003007}	1	1	65			0	0					{}									DLC2Task/Area_Repression/Area_Repression026.Area_Repression026
