BufferID	备注	类型 0:只做展示 1：Modifier 2:SkillForPlayer 3:SkillForMonster	SkillInfoId	图标	buff名称	描述	在描述中的数值	简略描述
ID	Note	Type	Modifire	Icon	Name	Desc	BuffParamPerCount	SimpleDesc
101	难度1-A1：角色技能伤害提升%s%%	1	{8340006,1}	{1001013}	repression.buffname1	repression.buff1	{30}	repression.buff1
102	难度1-A2：敌人受到的来自半径%s米内的伤害提升%s%%	3	{8340003,1}	{1001015}	repression.buffname2	repression.buff2	{10,16}	repression.buff2
103	难度1-B1：射击速度提升%s%%	1	{8340008,1}	{1001017}	repression.buffname5	repression.buff5	{12}	repression.buff5
104	难度1-B2：射击命中敌方目标时恢复%s%%最大生命值，触发间隔%s秒	2	{8340005,1}	{1001019}	repression.buffname6	repression.buff6	{2,2}	repression.buff6
105	难度1-C1：全队爆发能量获取率提升%s%%	1	{8340010,1}	{1001021}	repression.buffname9	repression.buff9	{30}	repression.buff9
106	难度1-C2：怪物更容易受到控制效果的影响	1	{8340013,1}	{1001023}	repression.buffname10	repression.buff10		repression.buff10
201	难度2-A1：角色技能伤害提升%s%%	1	{8340006,2}	{1001013}	repression.buffname1	repression.buff1	{45}	repression.buff1
202	难度2-A2：敌人受到的来自半径%s米内的伤害提升%s%%	3	{8340003,2}	{1001015}	repression.buffname2	repression.buff2	{10,24}	repression.buff2
203	难度2-A3：常规能量恢复速度增加%s%%	1	{8340007,1}	{1001014}	repression.buffname3	repression.buff3	{60}	repression.buff3
204	难度2-B1：射击速度提升%s%%	1	{8340008,2}	{1001017}	repression.buffname5	repression.buff5	{18}	repression.buff5
205	难度2-B2：射击命中敌方目标时恢复%s%%最大生命值，触发间隔%s秒	2	{8340005,2}	{1001019}	repression.buffname6	repression.buff6	{2,1.5}	repression.buff6
206	难度2-B3：电击类型伤害提升%s%%	1	{8340009,1}	{1001018}	repression.buffname7	repression.buff7	{37.5}	repression.buff7
207	难度2-C1：全队爆发能量获取率提升%s%%	1	{8340010,2}	{1001021}	repression.buffname9	repression.buff9	{40}	repression.buff9
208	难度2-C2：怪物更容易受到控制效果的影响	1	{8340013,2}	{1001023}	repression.buffname10	repression.buff10		repression.buff10
209	难度2-C3：高热类型伤害提升%s%%	1	{8340011,1}	{1001022}	repression.buffname11	repression.buff11	{37.5}	repression.buff11
301	难度3-A1：角色技能伤害提升%s%%	1	{8340006,3}	{1001013}	repression.buffname1	repression.buff1	{60}	repression.buff1
302	难度3-A2：敌人受到的来自半径%s米内的伤害提升%s%%	3	{8340003,3}	{1001015}	repression.buffname2	repression.buff2	{10,32}	repression.buff2
303	难度3-A3：常规能量恢复速度增加%s%%	1	{8340007,2}	{1001014}	repression.buffname3	repression.buff3	{80}	repression.buff3
304	难度3-A4：对目标造成最后一击时，引发一次范围低温伤害，并添加冻结效果，持续%s秒，触发间隔%s秒	2	{8340004}	{1001016}	repression.buffname4	repression.buff4	{3,10}	repression.buff4
