template表中Param1字段	道具获取方式（Fix 固定;Random n随1、n随m;Prob 分别看概率获取 ;Select n选1、n选m）	道具GDPLN	随机时的权重，注定不随机的箱子可以为空	分组(随机时同index、同group一起随）	推荐兑换角标（1=推荐，0或不配不显示，只有道具获取方式为Select的BOX需要配置）	//备注
Index	ObtainType	GDPLN	Weight	Group	Recommend	Comment
1	Fix	{4,2,1,6,1}				免费礼包
						
2	Fix	{5,1,1,1,10}				
2	Fix	{5,1,1,2,5}				
3	Fix	{5,2,1,1,10}				
3	Fix	{5,5,1,2,10}				
						
4	Fix	{5,9,1,3,1}				量子胞体x1
4	Fix	{5,1,1,4,10}				战斗记录4x10
4	Fix	{5,2,1,4,10}				强化套件4x10
4	Fix	{5,9,1,2,40}				光纤轴突x40
4	Fix	{4,3,1,1,95000}				通用银x95000
4	Fix	{5,5,1,1,30}				合成颗粒x30
						
						
5	Fix	{5,9,1,4,10}				
5	Fix	{4,3,2,1,1500}				
6	Fix	{5,1,1,4,10}				
7	Fix	{5,5,1,1,10}				
7	Fix	{5,5,1,2,10}				
7	Fix	{5,5,1,3,5}				
7	Fix	{5,5,1,4,5}				
8	Fix	{4,8,1,5,1}				瓦尔哈拉凭证x1
						
9	Fix	{5,21,1,4,10}				瓦尔哈拉凭证x10
9	Fix	{4,2,1,3,1}				体力药(中)x1
9	Fix	{4,3,1,1,50000}				通用银x50000
						
10	Fix	{5,21,2,4,10}				武器申请书x10
10	Fix	{4,2,1,3,1}				体力药(中)x1
10	Fix	{4,3,1,1,50000}				通用银x50000
						
11	Fix	{5,21,1,4,1}				瓦尔哈拉凭证x1
						
12	Fix	{5,21,1,4,2}				瓦尔哈拉凭证x2
12	Fix	{4,3,1,1,5000}				通用银x5000
12	Fix	{5,9,1,2,6}				光纤轴突x6
						
13	Fix	{5,21,1,4,3}				瓦尔哈拉凭证x3
13	Fix	{5,21,2,4,1}				武器申请书x1
13	Fix	{4,3,1,1,7500}				通用银x7500
13	Fix	{5,5,1,1,5}				中级职级认证x4
						
14	Fix	{5,21,1,4,4}				瓦尔哈拉凭证x4
14	Fix	{5,21,2,4,1}				武器申请书x1
14	Fix	{4,3,1,1,15000}				通用银x10000
14	Fix	{5,3,1,2,4}				过氧胆碱x4
						
15	Fix	{5,21,1,4,5}				瓦尔哈拉凭证x5
15	Fix	{5,21,2,4,1}				武器申请书x1
15	Fix	{4,3,1,1,15000}				通用银x15000
15	Fix	{5,9,1,2,8}				光纤轴突x8
15	Fix	{5,9,1,3,1}				量子胞体x1
						
16	Fix	{5,21,1,4,6}				瓦尔哈拉凭证x6
16	Fix	{5,21,2,4,1}				武器申请书x1
16	Fix	{4,3,1,1,20000}				通用银x20000
16	Fix	{5,6,1,2,10}				重修申请x10
						
17	Fix	{5,21,1,5,10}				天启者共鸣誓约x10
						
99	Fix	{4,3,2,1,300}				月卡购买立刻获得300数据金
99	Fix	{4,3,4,1,1}				月卡本体
						
18	Fix	{5,21,1,5,4}				天启者共鸣誓约x4
18	Fix	{5,9,1,2,6}				光纤轴突x6
18	Fix	{4,3,1,1,10000}				通用银x10000
						
19	Fix	{4,2,1,4,1}				体力药(大)
19	Fix	{4,3,1,1,25000}				通用银x25000
						
20	Fix	{4,1,6,3,1}				激励点数x1
						
101	Random	{5,1,1,2,1}	2000	1		
101	Random	{5,1,1,2,2}	2000	1		
101	Random	{5,1,1,2,3}	2000	1		
101	Random	{5,1,1,2,4}	2000	1		
101	Random	{5,1,1,2,5}	2000	1		
101	Random	{5,5,2,1,1}	2000	2		
101	Random	{5,5,2,1,2}	2000	2		
101	Random	{5,5,2,1,3}	2000	2		
101	Random	{5,5,2,1,4}	2000	2		
101	Random	{5,5,2,1,5}	2000	2		
102	Prob	{5,1,1,2,1}	2000	1		
102	Prob	{5,1,1,2,2}	2000	1		
102	Prob	{5,1,1,2,3}	2000	1		
102	Prob	{5,1,1,2,4}	2000	1		
102	Prob	{5,1,1,2,5}	2000	1		
102	Prob	{5,5,2,1,1}	2000	2		
102	Prob	{5,5,2,1,2}	2000	2		
102	Prob	{5,5,2,1,3}	2000	2		
102	Prob	{5,5,2,1,4}	2000	2		
102	Prob	{5,5,2,1,5}	2000	2		
103	Select	{5,1,1,2,1}	2000	1		
103	Select	{5,1,1,2,2}	2000	1		
103	Select	{5,1,1,2,3}	2000	1		
103	Select	{5,1,1,2,4}	2000	1		
103	Select	{5,1,1,2,5}	2000	1		
103	Select	{5,5,2,1,1}	2000	2		
103	Select	{5,5,2,1,2}	2000	2		
103	Select	{5,5,2,1,3}	2000	2		
103	Select	{5,5,2,1,4}	2000	2		
103	Select	{5,5,2,1,5}	2000	2		
						
301	Select	{3,1,7,1,1}		1		A级后勤自选
301	Select	{3,2,7,1,1}		1		A级后勤自选
301	Select	{3,3,7,1,1}		1		A级后勤自选
301	Select	{3,1,8,1,1}		1		A级后勤自选
301	Select	{3,2,8,1,1}		1		A级后勤自选
301	Select	{3,3,8,1,1}		1		A级后勤自选
301	Select	{3,1,9,1,1}		1		A级后勤自选
301	Select	{3,2,9,1,1}		1		A级后勤自选
301	Select	{3,3,9,1,1}		1		A级后勤自选
301	Select	{3,1,10,1,1}		1		A级后勤自选
301	Select	{3,2,10,1,1}		1		A级后勤自选
301	Select	{3,3,10,1,1}		1		A级后勤自选
301	Select	{3,1,11,1,1}		1		A级后勤自选
301	Select	{3,2,11,1,1}		1		A级后勤自选
301	Select	{3,3,11,1,1}		1		A级后勤自选
301	Select	{3,1,12,1,1}		1		A级后勤自选
301	Select	{3,2,12,1,1}		1		A级后勤自选
301	Select	{3,3,12,1,1}		1		A级后勤自选
301	Select	{3,1,18,1,1}		1		A级后勤自选
301	Select	{3,2,18,1,1}		1		A级后勤自选
