ID	角色等级	武器等级	后勤等级	称号等级	神经解锁进度	账号等级
ID	Card_lv	Weapon_lv	Support_lv	Title_lv	Spine_lv	Account_lv
10001	1	1	1	1	0	80
10002	2	2	1	1	0	80
10003	3	3	1	1	0	80
10004	4	4	1	1	1	80
10005	5	5	1	1	1	80
10006	6	6	2	1	1	80
10007	7	7	2	1	2	80
10008	8	8	2	1	2	80
10009	9	9	2	1	2	80
10010	10	10	2	1	3	80
10011	11	11	3	1	3	80
10012	12	12	3	1	3	80
10013	13	13	3	1	4	80
10014	14	14	3	1	4	80
10015	15	15	3	1	4	80
10016	16	16	4	1	5	80
10017	17	17	4	1	5	80
10018	18	18	4	1	5	80
10019	19	19	4	1	6	80
10020	20	20	4	1	6	80
10021	21	21	5	1	6	80
10022	22	22	5	1	7	80
10023	23	23	5	1	7	80
10024	24	24	5	1	7	80
10025	25	25	5	1	8	80
10026	26	26	6	1	8	80
10027	27	27	6	1	8	80
10028	28	28	6	1	9	80
10029	29	29	6	1	9	80
10030	30	30	6	1	9	80
10031	31	31	7	1	10	80
10032	32	32	7	1	11	80
10033	33	33	7	1	12	80
10034	34	34	7	1	13	80
10035	35	35	7	1	14	80
10036	36	36	8	1	15	80
10037	37	37	8	1	16	80
10038	38	38	8	1	17	80
10039	39	39	8	1	18	80
10040	40	40	8	2	18	80
10041	41	41	9	2	19	80
10042	42	42	9	2	20	80
10043	43	43	9	2	21	80
10044	44	44	9	2	22	80
10045	45	45	9	2	23	80
10046	46	46	10	2	24	80
10047	47	47	10	2	25	80
10048	48	48	10	2	26	80
10049	49	49	10	2	27	80
10050	50	50	10	2	27	80
10051	51	51	11	2	28	80
10052	52	52	11	2	29	80
10053	53	53	11	2	30	80
10054	54	54	11	2	31	80
10055	55	55	11	2	32	80
10056	56	56	12	2	33	80
10057	57	57	12	2	34	80
10058	58	58	12	2	35	80
10059	59	59	12	2	36	80
10060	60	60	12	3	36	80
10061	61	61	13	3	37	80
10062	62	62	13	3	38	80
10063	63	63	13	3	39	80
10064	64	64	13	3	40	80
10065	65	65	13	3	41	80
10066	66	66	14	3	42	80
10067	67	67	14	3	43	80
10068	68	68	14	3	44	80
10069	69	69	14	3	45	80
10070	70	70	14	3	45	80
10071	71	71	15	3	46	80
10072	72	72	15	3	47	80
10073	73	73	15	3	48	80
10074	74	74	15	3	49	80
10075	75	75	15	3	50	80
10076	76	76	16	3	51	80
10077	77	77	16	3	52	80
10078	78	78	16	3	53	80
10079	79	79	16	4	54	80
10080	80	80	16	4	54	80
