道具等级	角色卡升到下级所需要的经验	SSR角色卡升到下级所需的金币	后勤升到下级所需要的经验	SSR后勤升到下级所需的金币	武器升到下级所需要的经验	SSR武器升到下级所需要的经验
Lv	CardNeedExp	SSRCardNeedExp	SusNeedExp	SSRSusNeedExp	WeaponNeedExp	SSRWeaponNeedExp
0	0	0	0	0	0	0
1	400	400	3000	3000	100	200
2	600	600	4800	4800	100	200
3	800	800	6000	6000	200	300
4	1000	1000	7800	7800	200	300
5	1100	1100	9600	9600	300	400
6	1200	1200	12000	12000	400	500
7	1300	1300	15600	15600	400	500
8	1400	1400	19200	19200	400	600
9	1500	1500	24600	24600	500	700
10	1600	1600	30600	30600	600	800
11	1700	1700	37800	37800	700	900
12	1800	1800	48000	48000	700	900
13	1900	1900	61800	61800	800	1000
14	2000	2000	77400	77400	800	1100
15	2100	2100	94200	94200	800	1100
16	2200	2200	999999999	999999999	900	1200
17	2300	2300			1000	1300
18	2400	2400			1100	1400
19	2500	2500			1100	1400
20	2600	2600			1200	1600
21	2700	2700			1300	1700
22	2800	2800			1400	1800
23	2900	2900			1500	1900
24	3000	3000			1600	2000
25	3100	3100			1600	2100
26	3200	3200			1700	2200
27	3300	3300			1800	2300
28	3400	3400			1900	2400
29	3500	3500			2000	2500
30	3500	3500			2000	2600
31	3600	3600			2100	2700
32	3600	3600			2200	2800
33	3700	3700			2300	2900
34	3700	3700			2400	3000
35	3800	3800			2500	3200
36	3800	3800			2700	3400
37	3900	3900			2700	3400
38	3900	3900			2800	3500
39	4000	4000			2800	3600
40	4200	4200			2900	3700
41	4500	4500			3200	4000
42	4800	4800			3300	4200
43	5100	5100			3600	4500
44	5400	5400			3700	4700
45	5700	5700			4000	5000
46	6000	6000			4100	5200
47	6300	6300			4400	5500
48	6600	6600			4600	5800
49	7000	7000			4800	6000
50	8000	8000			5000	6300
51	8300	8300			5200	6600
52	8600	8600			5500	6900
53	9900	9900			5600	7100
54	10500	10500			5900	7400
55	11200	11200			6100	7700
56	11800	11800			6400	8000
57	12500	12500			6600	8300
58	13200	13200			6800	8600
59	13900	13900			7200	9000
60	14100	14100			7400	9300
61	14900	14900			7700	9700
62	15600	15600			8100	10200
63	16400	16400			8600	10800
64	17200	17200			9000	11300
65	18000	18000			9400	11800
66	18800	18800			9900	12400
67	19600	19600			10300	12900
68	20500	20500			10800	13500
69	21300	21300			11200	14100
70	24000	24000			11700	14700
71	27000	27000			13100	16400
72	30000	30000			14300	17900
73	33000	33000			15600	19500
74	36000	36000			16800	21100
75	39000	39000			18100	22700
76	42000	42000			19500	24400
77	45000	45000			20800	26000
78	48000	48000			22100	27700
79	51000	51000			23500	29400
80	999999999	999999999			999999999	999999999
81						
82						
83						
84						
85						
86						
87						
88						
89						
90						
91						
92						
93						
94						
95						
96						
97						
98						
99						
100						
