期数id	等级	普通奖励{g,d,p,l,n}	地区限制目前可填：0国内外,1国内,2海外	重点奖励标记
Id	Level	AwardList	Coverage	ImportantAward
4	1	{4,3,1,1,15000}		
4	2	{5,29,5,1,15}		
4	3	{4,3,1,1,15000}		
4	4	{5,29,5,1,15}		
4	5	{4,3,1,1,15000}		
4	6	{5,29,5,1,15}		
4	7	{4,3,1,1,15000}		
4	8	{5,29,5,1,15}		
4	9	{4,3,1,1,15000}		
4	10	{5,29,5,1,15}		
4	11	{4,3,1,1,15000}		
4	12	{5,29,5,1,15}		
4	13	{4,3,1,1,15000}		
4	14	{5,29,5,1,15}		
4	15	{4,3,1,1,15000}		
4	16	{5,29,5,1,15}		
4	17	{4,3,1,1,15000}		
4	18	{5,29,5,1,15}		
4	19	{4,3,1,1,15000}		
4	20	{5,29,5,1,15}		
5	1	{4,3,1,1,15000}		
5	2	{5,29,6,1,15}		
5	3	{4,3,1,1,15000}		
5	4	{5,29,6,1,15}		
5	5	{4,3,1,1,15000}		
5	6	{5,29,6,1,15}		
5	7	{4,3,1,1,15000}		
5	8	{5,29,6,1,15}		
5	9	{4,3,1,1,15000}		
5	10	{5,29,6,1,15}		
5	11	{4,3,1,1,15000}		
5	12	{5,29,6,1,15}		
5	13	{4,3,1,1,15000}		
5	14	{5,29,6,1,15}		
5	15	{4,3,1,1,15000}		
5	16	{5,29,6,1,15}		
5	17	{4,3,1,1,15000}		
5	18	{11,1,20,1,1}		
5	19	{4,3,1,1,15000}		
5	20	{5,29,6,1,15}		
6	1	{4,3,1,1,16000}		
6	2	{5,29,7,1,20}		
6	3	{4,3,1,1,16000}		
6	4	{5,29,7,1,20}		
6	5	{4,3,1,1,16000}		
6	6	{5,29,7,1,20}		
6	7	{4,3,1,1,16000}		
6	8	{5,29,7,1,20}		
6	9	{4,3,1,1,16000}		
6	10	{5,29,7,1,20}		
6	11	{4,3,1,1,16000}		
6	12	{5,29,7,1,20}		
6	13	{4,3,1,1,16000}		
6	14	{5,29,7,1,20}		
6	15	{13,1,16,1,1}		
6	16	{5,29,7,1,20}		
6	17	{4,3,1,1,16000}		
6	18	{5,29,7,1,20}		
6	19	{4,3,1,1,16000}		
6	20	{5,29,7,1,20}		
7	1	{4,3,1,1,7500}		
7	2	{4,1,6,5,15}		
7	3	{5,29,7,1,10}		
7	4	{4,3,1,1,7500}		
7	5	{4,1,6,5,15}		
7	6	{5,29,7,1,10}		
7	7	{4,3,1,1,7500}		
7	8	{4,1,6,5,15}		
7	9	{5,29,7,1,10}		
7	10	{4,3,1,1,10000}		
7	11	{4,1,6,5,20}		
7	12	{5,29,7,1,15}		
7	13	{4,3,1,1,10000}		
7	14	{4,1,6,5,20}		
7	15	{5,29,7,1,15}		
7	16	{4,3,1,1,10000}		
7	17	{4,1,6,5,20}		
7	18	{5,29,7,1,15}		
7	19	{4,3,1,1,10000}		
7	20	{9,2,48,1,1}		
7	21	{4,1,6,5,20}		
7	22	{5,29,7,1,15}		
7	23	{4,3,1,1,15000}		
7	24	{4,1,6,5,25}		
7	25	{5,29,7,1,20}		
7	26	{4,3,1,1,15000}		
7	27	{4,1,6,5,25}		
7	28	{5,29,7,1,20}		
7	29	{4,3,1,1,15000}		
7	30	{4,1,6,5,25}		
8	1	{4,3,1,1,15000}		
8	2	{5,29,8,1,15}		
8	3	{4,3,1,1,15000}		
8	4	{5,29,8,1,15}		
8	5	{4,3,1,1,15000}		
8	6	{5,29,8,1,15}		
8	7	{4,3,1,1,15000}		
8	8	{5,29,8,1,15}		
8	9	{4,3,1,1,15000}		
8	10	{5,29,8,1,15}		
8	11	{4,3,1,1,15000}		
8	12	{5,29,8,1,15}		
8	13	{4,3,1,1,15000}		
8	14	{5,29,8,1,15}		
8	15	{4,3,1,1,15000}		
8	16	{5,29,8,1,15}		
8	17	{4,3,1,1,15000}		
8	18	{11,1,25,1,1}		
8	19	{4,3,1,1,15000}		
8	20	{5,29,8,1,15}		
9	1	{4,3,1,1,15000}		
9	2	{5,29,8,1,20}		
9	3	{4,3,1,1,15000}		
9	4	{5,29,8,1,20}		
9	5	{4,3,1,1,15000}		
9	6	{5,29,8,1,20}		
9	7	{4,3,1,1,15000}		
9	8	{5,29,8,1,20}		
9	9	{4,3,1,1,15000}		
9	10	{5,29,8,1,20}		
9	11	{4,3,1,1,15000}		
9	12	{5,29,8,1,20}		
9	13	{4,3,1,1,15000}		
9	14	{5,29,8,1,20}		
9	15	{4,3,1,1,15000}		
9	16	{5,29,8,1,20}		
9	17	{4,3,1,1,15000}		
9	18	{5,29,8,1,20}		
9	19	{4,3,1,1,15000}		
9	20	{5,29,8,1,20}		
10	1	{4,3,1,1,16000}		
10	2	{5,29,9,1,20}		
10	3	{4,3,1,1,16000}		
10	4	{5,29,9,1,20}		
10	5	{4,3,1,1,16000}		
10	6	{5,29,9,1,20}		
10	7	{4,3,1,1,16000}		
10	8	{5,29,9,1,20}		
10	9	{4,3,1,1,16000}		
10	10	{5,29,9,1,20}		
10	11	{4,3,1,1,16000}		
10	12	{5,29,9,1,20}		
10	13	{4,3,1,1,16000}		
10	14	{5,29,9,1,20}		
10	15	{13,1,19,1,1}		
10	16	{5,29,9,1,20}		
10	17	{4,3,1,1,16000}		
10	18	{5,29,9,1,20}		
