ID	类型（1.连击次数 2.特殊纸盒数量 3.个人得分 4.单次最大得分	档位	数值条件	称号名称	数据描述
ID	Type	Hierarchy	Num	Name	Des
1	1	1	5	online.TowerrushName1	online.TowerrushDesc1
2	1	2	8	online.TowerrushName2	online.TowerrushDesc1
3	1	3	10	online.TowerrushName3	online.TowerrushDesc1
4	2	1	3	online.TowerrushName4	online.TowerrushDesc2
5	2	2	5	online.TowerrushName5	online.TowerrushDesc2
6	2	3	7	online.TowerrushName6	online.TowerrushDesc2
7	3	1	3000	online.TowerrushName7	online.TowerrushDesc3
8	3	2	5000	online.TowerrushName8	online.TowerrushDesc3
9	3	3	7000	online.TowerrushName9	online.TowerrushDesc3
10	4	1	500	online.TowerrushName10	online.TowerrushDesc4
11	4	2	700	online.TowerrushName11	online.TowerrushDesc4
12	4	3	1000	online.TowerrushName12	online.TowerrushDesc4
