期数id（尽量不和塔防独立的id冲突）	//备注	联机玩法类型(online.txt type)必须配	起始时间	结束时间	每级经验	每日对局经验上限（不填则无限制）	每日任务({成就id}activity_quest.txt)	每周任务({成就id}activity_quest.txt)	活动期任务({成就id}activity_quest.txt)	地区限制目前可填：0国内外,1国内,2海外	界面头图	界面背景图	感叹号显示（0或不填默认全显示、1只显示日常、2日常和周常）	任务分组(客户端显示任务分组 {{标题key,{任务组},...})
Id	Comment	Type	StartTime	EndTime	ExpStep	DailyMaxExP	Daily	Weekly	Normal	Coverage	ImgTop	ImgPic	TipsParam	MissionGroup
4		6	[202408080400]	[202408220400]	1000		{15101}	{15102,15103}	{15104,15105,15106,15107,15108,15109,15110,15111,15112}					
5		5	[202408261000]	[202409090400]	1000		{15201}	{15202,15203,15204}	{15205,15206,15207,15208,15209,15210,15211,15212,15213,15214,15215,15216,15217,15218,15219,15220}					
6	2.2禁区协议	8	[202410140400]	[202410280400]	1000		{15301}	{15302,15303}	{15304,15305,15306,15307,15308,15309,15310,15311,15312,15313,15314,15315,15316,15317,15318,15319,15320,15321,15322,15323}		1701278	1701280	2	
7		7	[202409260400]	[202410210400]	1000		{17001}	{17002,17003}	{17005,17006}					
8	2.3绝地防线	5	[202411251000]	[202412090400]	1000		{15401}	{15402,15403,15404}	{15405,15406,15407,15408,15409,15410,15411,15412,15413,15414,15415,15416,15417,15418,15419,15420}					
9	2.3火线突击	6	[202411111000]	[202411250400]	1000		{15501}	{15502}	{15503,15504,15505,15506,15507,15508,15509,15510,15511,15512}		1701286	1701287		
10	2.4禁区协议	8	[202501060400]	[202501200400]	1000		{15601}	{15602,15603,15604}	{15605,15606,15607,15608,15609,15610,15611,15612,15613,15614,15615,15616,15617,15618,15619,15620,15621,15622,15623,15624,15625,15626,15627}		1701278	1701280	2	
11	2.5绝地防线	5	[202502170400]	[202503030400]	1000			{15702,15703,15704}	{15705,15706,15707,15708,15709,15710,15711,15712,15713,15714,15715,15716,15717,15718,15719,15720}					
12	2.5海姆向前冲	7	[202501230400]	[202503060400]	1000		{17001}	{17002,17003}	{17007,17008}					
13	2.6禁区协议	8	[202503100400]	[202503240400]	1000		{15628}	{15629,15630,15631}	{15632,15633,15634,15635,15636,15637,15638,15639,15640,15641,15642,15643,15644,15645,15646,15647,15648,15649,15650,15651,15652,15653,15654,15655}		1701278	1701280	2	
14	2.7绝地防线	5	[202504210400]	[202505050400]	1000			{15802,15803,15804}	{15805,15806,15807,15808,15809,15810,15814,15815,15816,15817,15818,15819,15820}					
15	2.7海姆向前冲	7	[202504170400]	[202505290400]	1000		{17001}	{17009,17010}	{17011,17012}					
16	2.8脉冲	9	[202506050400]	[202506230400]	0		{20316}	{20317}	{20301,20302,20303,20304,20305,20306,20307,20308,20309,20310,20311,20312,20313,20314,20315,20318,20319}		1701278	1701395	2	{{"TowerRush.mission_type1",{20316,20317,20318,20319}},{"TowerRush.mission_type2",{20301,20302,20303,20304,20305,20306,20307,20308,20309,20310,20311,20312}},{"TowerRush.mission_type3",{20313,20314,20315}}}
17	3.0禁区协议	8	[202507280400]	[202508110400]	1000		{15656}	{15657,15658,15659}	{15660,15661,15662,15663,15664,15665,15666,15667,15668,15669,15670,15671,15672,15673,15674,15675,15676,15677,15678,15679,15680,15681,15682,15683}		1701278	1701280	2	
18	3.1绝地防线	5	[202508250400]	[202509080400]	1000			{15902,15903,15904}	{15905,15906,15907,15908,15909,15910,15914,15915,15916,15917,15918,15919,15920}					
19	3.2激浪联航	10	[202510200400]	[202511060400]	1000			{20801,20802}	{20803,20804,20805,20806,20807,20808,20809,20810,20811,20812,20813,20814,20815,20816,20817,20818,20819}					
20	3.2海姆向前冲	7	[202509280400]	[202511060400]	1000		{17001}	{17009,17013}	{17011,17014}					
21	3.3脉冲	9	[202512010400]	[202512150400]	1000		{20347}	{20348}	{20320,20321,20322,20323,20324,20325,20326,20327,20328,20329,20330,20331,20332,20333,20334,20335,20336,20337,20338,20339,20340,20341,20342,20343,20344,20345,20346}		1701278	1701395	2	
22	3.4绝地防线	5	[202512290400]	[202601120400]	1000			{16501,16502,16503,16504}	{16505,16506,16507,16508,16509,16510,16511,16512,16513,16514,16515,16516}					
23	3.4海姆向前冲	7	[202512180400]	[202601290400]	1000		{17001}	{17009,17013}	{17011,17014}					
24	3.5海姆向前冲	7	[202601290400]	[202603120400]	1000		{17001}	{17018}	{17011,17016,17017}					
25	3.6激浪联航	10	[202605110400]	[202606010400]	1000			{21201,21202}	{21203,21204,21205,21206,21207,21208,21209,21210,21211,21212,21213,21214,21215,21216,21217,21218,21219,21220}					
26	3.6海姆大潜行	7	[202605080400]	[202606190400]	1000		{17001}	{17018}	{17011,17012,17020}					
27	3.7脉冲	9	[202512010400]	[202612150400]	1000		{20376}	{20377}	{20349,20350,20351,20352,20353,20354,20355,20356,20357,20358,20359,20360,20361,20362,20363,20364,20365,20366,20367,20368,20369,20370,20371,20372,20373,20374,20375}		1701278	1701395	2	
