关卡ID	备注	关卡名称	玩家参与人数	地图ID	通关条件类型	运镜时间	单局游戏总时长	玩家生命次数	总积分	地图KillZ	获胜圈数（仅限竞速跑关赛，其他配1即可）		开局道具ID	队伍分配
ID	Comments	LevelName	PlayerNumber	MapID	Type	GameShowDur	Time	HP	Score	KillZ	WinCircle	HaveBomb	ItemId	TeamGroup
1	竞速1	竞速1	15	1	1	10	180	-1		-7500	1	0	0	{}
2	生存1	生存1	15	2	2	10	120	3		-7500	1	0	0	{}
3	积分1	积分1	15	3	3	10	180	-1	10	-7500	1	0	0	{}
9600	2.2海姆向前冲竞速1	2.2海姆向前冲竞速1	15	9600	1	10	180	-1		-3250	1	0	0	{}
9601	2.2海姆向前冲竞速2	2.2海姆向前冲竞速2	15	9601	1	10	180	-1		-3500	1	0	0	{}
9602	2.2海姆向前冲竞速3	2.2海姆向前冲竞速3	15	9602	1	10	180	-1		-4000	1	0	1	{}
9603	2.2海姆向前冲竞速4	2.2海姆向前冲竞速4	15	9603	1	10	180	-1		-3500	1	0	0	{}
9604	2.2海姆向前冲竞速5	2.2海姆向前冲竞速5	15	9604	1	10	180	-1		-1200	1	0	0	{}
9605	2.2海姆向前冲竞速6	2.2海姆向前冲竞速6	15	9605	1	10	180	-1		-1200	1	0	0	{}
9606	2.2海姆向前冲竞速7	2.2海姆向前冲竞速7	15	9606	1	10	180	-1		-4000	1	0	1	{}
9607	2.2海姆向前冲生存8	2.2海姆向前冲生存8	15	9607	2	10	90	3		-3000	1	0	0	{}
9608	2.2海姆向前冲生存9	2.2海姆向前冲生存9	15	9608	2	10	60	3		-7500	1	0	0	{}
9609	2.2海姆向前冲生存10	2.2海姆向前冲生存10	15	9609	2	10	90	3		-3200	1	0	0	{}
9610	2.2海姆向前冲积分11	2.2海姆向前冲积分11	15	9610	3	10	180	-1	150	-800	1	0	0	{}
9611	2.2海姆向前冲积分12	2.2海姆向前冲积分12	15	9611	3	10	180	-1	15	-1000	1	0	0	{}
9612	2.5海姆向前冲竞速1	2.5海姆向前冲竞速1	15	9612	1	15	180	-1		-4500	1	0	0	{}
9613	2.5海姆向前冲竞速2	2.5海姆向前冲竞速2	15	9613	1	18	210	-1		-2800	2	0	0	{}
