期数id	等级	普通奖励{g,d,p,l,n}	地区限制目前可填：0国内外,1国内,2海外
Id	Level	AwardList	Coverage
1	1	{4,3,1,1,10000}	
1	2	{4,3,1,1,10000}	
1	3	{4,3,2,1,50}	
1	4	{5,30,2,2,10}	
1	5	{5,30,2,2,10}	
1	6	{4,3,1,1,10000}	
1	7	{4,3,2,1,50}	
1	8	{4,3,1,1,10000}	
1	9	{5,30,2,2,15}	
1	10	{5,30,2,2,15}	
1	11	{4,3,2,1,50}	
1	12	{4,3,1,1,20000}	
1	13	{4,3,1,1,20000}	
1	14	{5,30,2,2,20}	
1	15	{11,1,9,1,1}	
1	16	{5,30,2,2,20}	
1	17	{4,3,1,1,30000}	
1	18	{4,3,1,1,40000}	
1	19	{4,3,2,1,50}	
1	20	{5,30,2,2,40}	
3	1	{4,3,1,1,15000}	
3	2	{5,29,4,1,15}	
3	3	{4,3,1,1,15000}	
3	4	{5,29,4,1,15}	
3	5	{4,3,1,1,15000}	
3	6	{5,29,4,1,15}	
3	7	{4,3,1,1,15000}	
3	8	{5,29,4,1,15}	
3	9	{4,3,1,1,15000}	
3	10	{5,29,4,1,15}	
3	11	{4,3,1,1,15000}	
3	12	{5,29,4,1,15}	
3	13	{4,3,1,1,15000}	
3	14	{5,29,4,1,15}	
3	15	{4,3,1,1,15000}	
3	16	{5,29,4,1,15}	
3	17	{4,3,1,1,15000}	
3	18	{11,1,14,1,1}	
3	19	{4,3,1,1,15000}	
3	20	{5,29,4,1,15}	
