Id	联机id	备注	类型（1防守波次  2战斗行为）	战斗行为子类型（1.伤害占比达到 2.救助队友 3.阵亡次数小于 4.释放大招次数达到 5.收集资源 6.释放智械道具次数	战斗行为参数	文本描述	积分描述	积分值	荣誉分
ID	OnlineID	Comment	Type	BattleEventType	BattleEventParameter	Name	Des	Point	HonorPoint
1	6	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	10	
2	6	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	25	
3	6	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	40	
4	6	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	60	
5	6	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	80	
6	6	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	100	
7	6	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	120	
8	6	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	145	
9	6	成功坚守9波	1			ui.online_defend_pointlist_name9	ui.online_defend_pointlist_des1	170	
10	6	成功坚守10波	1			ui.online_defend_pointlist_name10	ui.online_defend_pointlist_des1	200	
11	6	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
12	6	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
13	6	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
14	6	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
15	6	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
16	6	释放大招次数达到10	2	4	10	ui.online_defend_pointlist_name16	ui.online_defend_pointlist_des11	5	
17	6	释放大招次数达到15	2	4	15	ui.online_defend_pointlist_name17	ui.online_defend_pointlist_des11	5	
18	7	成功坚守1波	1			ui.online_defend_pointlist_name1	ui.online_defend_pointlist_des1	15	
19	7	成功坚守2波	1			ui.online_defend_pointlist_name2	ui.online_defend_pointlist_des1	35	
20	7	成功坚守3波	1			ui.online_defend_pointlist_name3	ui.online_defend_pointlist_des1	60	
21	7	成功坚守4波	1			ui.online_defend_pointlist_name4	ui.online_defend_pointlist_des1	85	
22	7	成功坚守5波	1			ui.online_defend_pointlist_name5	ui.online_defend_pointlist_des1	115	
23	7	成功坚守6波	1			ui.online_defend_pointlist_name6	ui.online_defend_pointlist_des1	145	
24	7	成功坚守7波	1			ui.online_defend_pointlist_name7	ui.online_defend_pointlist_des1	180	
25	7	成功坚守8波	1			ui.online_defend_pointlist_name8	ui.online_defend_pointlist_des1	215	
26	7	成功坚守9波	1			ui.online_defend_pointlist_name9	ui.online_defend_pointlist_des1	250	
27	7	成功坚守10波	1			ui.online_defend_pointlist_name10	ui.online_defend_pointlist_des1	300	
28	7	伤害占比达到30%	2	1	30	ui.online_defend_pointlist_name11	ui.online_defend_pointlist_des11	5	
29	7	伤害占比达到40%	2	1	40	ui.online_defend_pointlist_name12	ui.online_defend_pointlist_des11	5	
30	7	伤害占比达到50%	2	1	50	ui.online_defend_pointlist_name13	ui.online_defend_pointlist_des11	10	
31	7	救助过队友	2	2	1	ui.online_defend_pointlist_name14	ui.online_defend_pointlist_des11	5	
32	7	阵亡次数小于2	2	3	2	ui.online_defend_pointlist_name15	ui.online_defend_pointlist_des11	5	
