ID	开始时间	结束时间	//备注	角色列表	//角色备注
ID	StartTime	EndTime	Comment	RoleList	RoleComment
1	[202502240400]	[202503060400]	2.6版本更新前常驻联机高适配角色	{{14,3},{10,3},{8,3},{13,2},{2,3},{16,1}}	琼弦-夜天光-辉耀-瞬刻-无限之视-伊切尔
2	[202503060400]	[202503270400]	2.6版本上半期常驻联机高适配角色	{{11,3},{15,1},{14,3},{10,3},{2,3},{8,3}}	澜风-蓝闪-琼弦-夜天光-无限之视-辉耀
3	[202503270400]	[202504170400]	2.6版本下半期常驻联机高适配角色	{{11,3},{4,3},{14,3},{5,3},{18,1},{20,1}}	澜风-驰掣-琼弦-幽潮-龙舌兰-卜卜
4	[202504170400]	[202505080400]	2.7版本上半期常驻联机高适配角色	{{21,1},{7,2},{11,3},{15,2},{8,3},{14,3},{6,2},{12,2},{13,2}}	奈莉德-悖谬-澜风-朝翼-辉耀-琼弦-藏锋-溯影-瞬刻
5	[202505080400]	[202505290400]	2.7版本下半期常驻联机高适配角色	{{21,1},{20,1},{3,2},{11,2},{8,3},{14,3},{15,1},{4,3},{2,3}}	奈莉德-卜卜-悸响-羽蜕-辉耀-琼弦-蓝闪-驰掣-无限之视
6	[202505290400]	[202506190400]	2.8版本上半期常驻联机高适配角色	{{18,2},{13,2},{4,3},{2,3},{21,1},{11,3},{14,2},{8,3},{11,2}}	天鹅座-瞬刻-弛掣-无限之视-奈莉德-澜风-云篆-辉耀-羽蜕
7	[202506190400]	[202507100400]	2.8版本下半期常驻联机高适配角色	{{18,2},{14,3},{10,3},{2,3},{3,2},{20,1},{7,2},{8,2},{5,3}}	天鹅座-琼弦-夜天光-无限之视-悸响-卜卜-悖谬-咎冠-幽潮
8	[202507100400]	[202507240400]	3.0版本上半期常驻联机高适配角色	{{15,3},{20,1},{5,3},{4,3},{14,3},{10,3},{18,2},{21,1},{11,2}}	狂诗-小天师-幽潮-驰掣-琼弦-夜天光-天鹅座-奈莉德-羽蜕
9	[202507240400]	[202508210400]	3.0版本下半期常驻联机高适配角色	{{17,2},{2,3},{15,2},{11,3},{8,3},{3,2},{18,2},{21,1},{13,2}}	绮幻-无限之视-朝翼-澜风-辉耀-悸响-天鹅座-冥河代理人-瞬刻
10	[202508210400]	[202509040400]	3.1版本上半期常驻联机高适配角色	{{22,1},{10,3},{20,1},{15,3},{17,2},{14,3},{5,3},{18,1},{7,2}}	克罗瑞娜-夜天光-小天师-狂诗-绮幻-琼弦-幽潮-龙舌兰-悖谬
11	[202509040400]	[202509250400]	3.1版本下半期常驻联机高适配角色	{{21,1},{12,2},{3,2},{16,1},{18,2},{4,3},{2,2},{15,1},{14,2}}	冥河代理人-溯影-悸响-豹豹-天鹅座-驰掣-狂猎-蓝闪-云篆
12	[202509250400]	[202510160400]	3.2版本上半期常驻联机高适配角色	{{8,4},{14,3},{15,2},{21,1},{12,2},{22,1},{11,2},{6,2},{7,2}}	澄意-琼弦-朝翼-冥河代理人-溯影-绯月-羽蜕-藏锋-悖谬
13	[202510160400]	[202511060400]	3.2版本下半期常驻联机高适配角色	{{13,3},{18,2},{2,3},{8,3},{5,3},{15,3},{17,2},{14,2},{4,3}}	悠游-天鹅座-无限之视-辉耀-幽潮-狂诗-绮幻-云篆-驰掣
14	[202511060400]	[202511270400]	3.3版本上半期常驻联机高适配角色	{{23,1},{11,3},{8,4},{13,3},{14,3},{10,3},{3,2},{15,2},{8,2}}	星彩-澜风-澄意-悠游-琼弦-夜天光-悸响-朝翼-咎冠
15	[202511270400]	[202512180400]	3.3版本下半期常驻联机高适配角色	{{15,3},{17,2},{8,4},{13,3},{20,1},{7,2},{12,2},{14,2},{1,2}}	狂诗-绮幻-澄意-悠游-小天师-悖谬-溯影-云篆-辉夜
16	[202512180400]	[202601010400]	3.4版本上半期常驻联机高适配角色	{{20,2},{21,1},{22,1},{8,4},{11,3},{23,1},{6,3},{13,3},{15,3}}	灵鉴-冥河代理人-绯月-橙意-澜风-星彩-霆光-悠游-狂诗
17	[202601010400]	[202601290400]	3.4版本下半期常驻联机高适配角色	{{20,2},{12,3},{21,1},{22,1},{8,4},{11,3},{23,1},{6,3},{15,3}}	灵鉴-莲驱-冥河代理人-绯月-橙意-澜风-星彩-霆光-狂诗
18	[202601290400]	[202602160400]	3.5版本上半期常驻联机高适配角色	{{1,3},{20,2},{12,3},{23,1},{8,4},{13,3},{15,3},{14,3},{11,3}}	时之重奏-灵鉴-莲驱-星彩-橙意-悠游-狂诗-琼弦-澜风
19	[202602160400]	[202603120400]	3.5版本下半期常驻联机高适配角色	{{1,3},{5,4},{20,2},{12,3},{23,1},{8,4},{13,3},{15,3},{14,3}}	时之重奏-霄鹰-灵鉴-莲驱-星彩-橙意-悠游-狂诗-琼弦
20	[202603120400]	[202605250400]	3.6版本上半期常驻联机高适配角色	{{24,1},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1},{11,1}}	瑞狐-时之重奏-霄鹰-灵鉴-橙意-星彩-霆光-绯月-姐姐大人
21	[202605250400]	[202606190400]	3.6版本下半期常驻联机高适配角色	{{24,1},{4,4},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1}}	瑞狐-炬芯-时之重奏-霄鹰-灵鉴-橙意-星彩-霆光-绯月
22	[202606190400]	[209904230400]	后续版本防错	{{24,1},{4,4},{1,3},{5,4},{20,2},{8,4},{23,1},{6,3},{22,1}}	瑞狐-炬芯-时之重奏-霄鹰-灵鉴-橙意-星彩-霆光-绯月
