节点ID	策划看	鱼点名称	备注	所属地图ID	对应uniqueID	鱼点品质（1普通2高级3稀有,服务器没用）	所属区域(区域解锁后，才能显示鱼点)	准入等级(不到等级不能操作)	钓鱼次数(-1为不限制)	恢复周期（每周第几天）	鱼类权重({鱼的id,权重,保底次数}),保底次数填-1为不保底该鱼，一个鱼点只能保底一个id的鱼	鱼饵配置多组{消耗量,dropgrop}	赛季Id
ID		Name	Desc	mapID	uniqueID	NodeLevel	Area	FishingLevel	Times	Recover	FishWeight	Bait	SeasonId
11	【1区】-普通鱼点	ui.Txtfishpoint_title01	ui.Txtfishpoint_des01	5810	874	1	1	1	-1	{0,1,2,3,4,5,6}	{{1,1000,-1},{2,1000,-1}}	{1,7111}	
21	【2区】-普通鱼点	ui.Txtfishpoint_title01	ui.Txtfishpoint_des01	5810	861	1	2	1	-1	{0,1,2,3,4,5,6}	{{1,1000,-1},{3,1000,-1}}	{1,7111}	
22	【2区】-高级鱼点	ui.Txtfishpoint_title02	ui.Txtfishpoint_des02	5810	862	2	2	1	50	{0,1,2,3,4,5,6}	{{2,1000,-1},{3,1000,-1},{6,500,4,1}}	{1,7112}	
31	【3区】-普通鱼点	ui.Txtfishpoint_title01	ui.Txtfishpoint_des01	5810	863	1	3	1	-1	{0,1,2,3,4,5,6}	{{2,1000,-1},{4,1000,-1}}	{1,7111}	
32	【3区】-高级鱼点	ui.Txtfishpoint_title02	ui.Txtfishpoint_des02	5810	864	2	3	1	50	{0,1,2,3,4,5,6}	{{1,1000,-1},{3,1000,-1},{7,500,4,1}}	{1,7112}	
41	【4区】-普通鱼点	ui.Txtfishpoint_title01	ui.Txtfishpoint_des01	5810	865	1	4	1	-1	{0,1,2,3,4,5,6}	{{3,1000,-1},{5,1000,-1}}	{1,7111}	
42	【4区】-高级鱼点	ui.Txtfishpoint_title02	ui.Txtfishpoint_des02	5810	866	2	4	1	50	{0,1,2,3,4,5,6}	{{2,1000,-1},{4,1000,-1},{8,500,4,1}}	{1,7112}	
43	【4区】-稀有鱼点	ui.Txtfishpoint_title03	ui.Txtfishpoint_des03	5810	867	3	4	1	25	{0,1,2,3,4,5,6}	{{1,1000,-1},{3,1000,-1},{6,500,-1},{7,500,-1},{10,200,8,2},{11,200,8,2}}	{1,7113}	
51	【5区】-普通鱼点	ui.Txtfishpoint_title01	ui.Txtfishpoint_des01	5810	868	1	5	1	-1	{0,1,2,3,4,5,6}	{{2,1000,-1},{13,1000,-1}}	{1,7111}	
