鱼ID	//鱼类名称	图标	图标	名称	备注	品质（1普通2高级3稀有）	难度等级(调取QTE难度设置中的模板ID)	获取经验	长度(厘米{钓起次数,下限,上限})	重量（g)	属性精确值(长度、重量；1-1、10-0.1、100-0.01）	转化鱼肉{{钓起次数,鱼肉GDPLN}}	图鉴提供最大星级	喜好鱼饵（饵料ID，长度倍率，重量倍率）	昼夜刷新显示（1白天出现，2夜晚出现，0白天夜晚都出现)
ID	Desc	Icon	Icon2	Name	Desc	Quality	Level	Exp	Length	Weight	ExactValue	ConvertFishMeat	rikiMaxStar	Bait	RefreshTime
1	李氏白鲈	110400380	10007	supplies.fish01	supplies.fish01_des	1	1		{{1,18,22},{5,22,25},{10,25,30},{15,30,35},{20,35,40}}	{{1,600,800},{5,800,1000},{10,1000,1300},{15,1300,1600},{20,1600,2000}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	0
2	大口鲽	110400390	10008	supplies.fish02	supplies.fish02_des	1	2		{{1,25,30},{5,30,35},{10,35,40},{15,40,45},{20,45,50}}	{{1,400,450},{5,450,500},{10,500,550},{15,550,600},{20,600,700}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	0
3	红吻鲷	110400400	10009	supplies.fish03	supplies.fish03_des	1	3		{{1,15,20},{5,20,25},{10,25,35},{15,25,35},{20,35,50}}	{{1,1000,1500},{5,1500,2000},{10,2000,2500},{15,2500,3000},{20,3000,3500}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	0
4	南湾小鲟	110400410	10010	supplies.fish04	supplies.fish04_des	1	4		{{1,40,50},{5,50,60},{10,60,80},{15,60,80},{20,80,110}}	{{1,3000,3500},{5,3500,4000},{10,4000,4500},{15,4500,5000},{20,5000,6000}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	0
5	小丑鲑	110400420	10011	supplies.fish05	supplies.fish05_des	1	5		{{1,25,30},{5,30,40},{10,40,50},{15,40,50},{20,50,60}}	{{1,800,1000},{5,1000,1200},{10,1200,1500},{15,1500,2000},{20,2000,2500}}		{{1,{{5,25,1,1,1}}}}	4	{{38,1,1},{43,1.2,1.2}}	0
6	霸王蓑鲉	110400430	10012	supplies.fish06	supplies.fish06_des	2	6		{{1,25,30},{4,30,35},{8,30,35},{10,35,40},{12,35,40},{15,40,50}}	{{1,800,900},{4,900,1000},{8,900,1000},{10,1000,1200},{12,1000,1200},{15,1200,1500}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	0
7	水神蛸	110400440	10013	supplies.fish07	supplies.fish07_des	2	7		{{1,15,18},{4,18,23},{8,23,25},{10,25,28},{12,28,30},{15,30,35}}	{{1,300,350},{4,350,400},{8,400,500},{10,500,600},{12,600,700},{15,700,800}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	0
8	眉弓鲣	110400450	10014	supplies.fish08	supplies.fish08_des	2	8		{{1,60,65},{4,65,70},{8,65,70},{10,70,80},{12,70,80},{15,80,90}}	{{1,4000,5000},{4,5000,6000},{8,6000,7000},{10,7000,8000},{12,8000,9000},{15,9000,10000}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	0
9	青月亮鱼	110400460	10015	supplies.fish09	supplies.fish09_des	2	9		{{1,100,105},{4,105,115},{8,105,115},{10,115,125},{12,115,125},{15,125,135}}	{{1,8000,9000},{4,9000,10000},{8,10000,12000},{10,12000,13000},{12,13000,14000},{15,14000,16000}}		{{1,{{5,25,1,2,1}}}}	2	{{38,1,1},{44,1.2,1.2}}	0
