BufferID	//备注（策划看）	食物名称(key)	食物描述（key）	效果描述（key）	料理类型（1.战斗，2.鱼饵，3.探索）	在描述中的数值	鱼饵cashID和消耗数量	兑换需求{GDPLN}	生成道具{GDPLN}	生效时间(分钟）	技能类型（参数1为modifire，参数0为skill）	SkillInfoId	效果参数	图标	图标	钓鱼等级(解锁需要的钓鱼等级)	赛季Id	tips效果短语描述	生效地图
ID	Note	FoodName	SimpleDesc	DescComment	FoodType	BuffParamPerCount	BaitNum	NeedItem	CreateItems	EffectTime	Skilltype	SkillInfoId	EffectArg	Icon	Icon2	FishingLevel	SeasonId	ShortComment	FoodArea
1	【意式生鱼片】-劝降时间降低为2秒	supplies.food01	supplies.food01_des	buff_online.buff_fishfood_007	1	{2,10}		{{5,25,1,1,2}}		10	1	{8430007}		110400570	110400571	1	0	buff_online.buff_fishfood_007_short	{5810,325,326}
2	【渔家菜】-移速增加10%	supplies.food02	supplies.food02_des	buff_online.buff_fishfood_004	1	{10,10}		{{5,25,1,1,1}}		10	1	{8430004}		110400580	110400581	1	0	buff_online.buff_fishfood_004_short	{5810,325,326}
3	【黄油煎鱼】-弹匣容量提升50%	supplies.food04	supplies.food04_des	buff_online.buff_fishfood_005	1	{50,10}		{{5,25,1,1,1}}		10	1	{8430005}		110400600	110400601	1	0	buff_online.buff_fishfood_005_short	{5810,325,326}
4	【复古炸鱼】-移速增加15%，能量获取提升25%	supplies.food06	supplies.food06_des	buff_online.buff_fishfood_008	1	{15,25,10}		{{5,25,1,2,1}}		10	1	{8430008}		110400620	110400621	1	0	buff_online.buff_fishfood_008_short	{5810,325,326}
5	【飘香烤鱼】-全类型伤害提高50%	supplies.food05	supplies.food05_des	buff_online.buff_fishfood_003	1	{50,10}		{{5,25,1,2,2}}		10	1	{8430003}		110400610	110400611	1	0	buff_online.buff_fishfood_003_short	{5810,325,326}
6	【南港海鲜粥】-劝降时间降低为1秒，持续霸体	supplies.food03	supplies.food03_des	buff_online.buff_fishfood_009	1	{1,10}		{{5,25,1,3,1}}		10	1	{8430009}		110400590	110400591	1	0	buff_online.buff_fishfood_009_short	{5810,325,326}
10	湛蓝布灵布丁-使用后将自动显示距你最近的铃铃花	supplies.food10	supplies.food10_des	buff_online.buff_fishfood_010	3	{10}		{{5,25,1,1,2}}		10	2	{4}		110400680	110400681	1	0	buff_online.buff_fishfood_010_short	{5810,325}
11	蜜芯布灵布丁-使用后将自动显示距你最近的灯芯果	supplies.food11	supplies.food11_des	buff_online.buff_fishfood_011	3	{10}		{{5,25,1,1,1}}		10	2	{5}		110400690	110400691	1	1	buff_online.buff_fishfood_011_short	{5810,325}
12	丝绒布灵布丁-使用后将自动显示距你最近的紫绒球	supplies.food12	supplies.food12_des	buff_online.buff_fishfood_012	3	{10}		{{5,25,1,1,1}}		10	2	{2}		110400700	110400701	1	0	buff_online.buff_fishfood_012_short	{5810,325}
13	闪闪布灵布丁-使用后将自动显示距你最近的夜莲花	supplies.food13	supplies.food13_des	buff_online.buff_fishfood_013	3	{10}		{{5,25,1,2,1}}		10	2	{3}		110400710	110400711	1	0	buff_online.buff_fishfood_013_short	{5810,325}
14	剔透布灵布丁-使用后将自动显示距你最近的月溶草	supplies.food14	supplies.food14_des	buff_online.buff_fishfood_014	3	{10}		{{5,25,1,2,2}}		10	2	{1}		110400720	110400721	1	0	buff_online.buff_fishfood_014_short	{5810,325}
15	爽口鱼片拼盘-移动速度增加40%,持续10分钟	supplies.food15	supplies.food15_des	buff_online.buff_fishfood_015	1	{40,10}		{{5,25,1,3,1}}		10	1	{8430010}		110400730	110400731	1	0	buff_online.buff_fishfood_015_short	{5810,325,326}
16	滋补剁椒鱼汤-显示该区域所有收集物	supplies.food16	supplies.food16_des	buff_online.buff_fishfood_016	3	{10}		{{5,25,1,3,1}}		10	3	{0}		110400740	110400741	1	0	buff_online.buff_fishfood_016_short	{5810,325}
100	万能鱼饵	supplies.vircapture.bait1	supplies.vircapture.bait2_des	supplies.vircapture.bait2_des	2			{{5,25,1,4,1}}	{4,1,6,9,1}					1521007	1521007	1	0		{5810,325,326}
101	普通鱼饵-普通等级的常驻鱼	supplies.vircapture.normalbait1	supplies.vircapture.normalbait1_des	supplies.vircapture.normalbait1_des	2		{38,1}	{{5,25,1,6,1}}	{4,1,6,40,1}					1520201	1520201	1	0		{5810,325,326}
102	豪华鱼饵-稀有等级的常驻鱼	supplies.vircapture.normalbait2	supplies.vircapture.normalbait2_des	supplies.vircapture.normalbait2_des	2		{38,2}	{{5,25,1,5,1}}	{4,1,6,41,1}					1520202	1520202	1	0		{5810,325,326}
