字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1			带着日记本，我从妮塔房间走到了大厅沙发区。	0	2.7版本妮塔入队剧情
page1.2			在确认好一个舒适的坐姿后，我认真翻看起日记里的内容。	0	2.7版本妮塔入队剧情
page1.3			熟悉的字迹出现在纸页上，一个个活泼的上扬字尾，无声地诉说着少女记录时的喜悦心情。	0	2.7版本妮塔入队剧情
page1.4	H妮塔		×年×月，晴。	0	2.7版本妮塔入队剧情
page1.5	H妮塔		今天真是太幸运了！<orange>卡罗琳说可以给我发几张分析员工作时的照片。</>	0	2.7版本妮塔入队剧情
page1.6	H妮塔		嘿嘿，又可以更新终端<orange>头像</>和<orange>壁纸</>了。	0	2.7版本妮塔入队剧情
page1.7	H妮塔		×年×月，阴。	0	2.7版本妮塔入队剧情
page1.8	H妮塔		唔，因为训练，漏回了分析员的消息……	0	2.7版本妮塔入队剧情
page1.9	H妮塔		得赶紧把分析员<orange>标记为特别关心</>，决不能在这种小事上疏忽。	0	2.7版本妮塔入队剧情
page1.10	H妮塔		×年×月，晴。	0	2.7版本妮塔入队剧情
page1.11	H妮塔		呼~好想分析员啊。	0	2.7版本妮塔入队剧情
page1.12	H妮塔		想着他入睡的话，我一定能做个好梦~	0	2.7版本妮塔入队剧情
page1.14	H主角		（指尖轻轻抚过日记本的边缘，一种前所未有的温暖在胸口处扩散。）	0	2.7版本妮塔入队剧情
page1.15	H主角		（如果还要为妮塔做些什么……）	0	2.7版本妮塔入队剧情
page1.16	H主角		（我想，最合适的，就是<orange>让她默默流淌的爱意有所归处。</>）	0	2.7版本妮塔入队剧情
