字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H员工琪琪		这不公平！	0	2.7版本妮塔入队剧情
page0.2	H主角		发生什么事了？	0	2.7版本妮塔入队剧情
page0.3	H员工莉莉		分析员来得正好，快帮我评评理。	0	2.7版本妮塔入队剧情
page0.4	H员工琪琪		别恶人先告状。分析员，刚才我们在玩飞镖游戏，她输了我一百张「随心兑」却不想给。	0	2.7版本妮塔入队剧情
page0.5	H员工莉莉		是我输了吗？我只是用脚投而已！居然就判我犯规！	0	2.7版本妮塔入队剧情
page0.6	H员工琪琪		用手来投飞镖是理所当然的规则吧！	0	2.7版本妮塔入队剧情
page0.7	H安卡希雅		第一，绝不意气用事。	0	2.7版本妮塔入队剧情
page0.8	H安卡希雅		第二，绝对不漏抓任何一件坏事。	0	2.7版本妮塔入队剧情
page0.9	H安卡希雅		第三，绝对裁判得公正漂亮。	0	2.7版本妮塔入队剧情
page0.10	H主角		你是从哪里冒出来的啊……	0	2.7版本妮塔入队剧情
page0.11	H安卡希雅		我认为莉莉并没有输。既然是竞技游戏，就应该用实力决出胜负。用脚投，也是实力的体现！	0	2.7版本妮塔入队剧情
page0.12	H安卡希雅		分析员也认同我的裁决吧？	0	2.7版本妮塔入队剧情
choice01			我认同	0	2.7版本妮塔入队剧情
page1.1	H员工莉莉		看到了吧，大家都这么说！	0	2.7版本妮塔入队剧情
page1.2	H员工莉莉		分析员，安卡希雅~感谢你们为我声援，这些「随心兑」送给你们花。	0	2.7版本妮塔入队剧情
page1.3	H安卡希雅		我对这种只能线下使用的现充道具没兴趣，都给分析员吧。	0	2.7版本妮塔入队剧情
page1.4	H主角		那我就不客气地收下了。	0	2.7版本妮塔入队剧情
choice02			我不认同	0	2.7版本妮塔入队剧情
page2.1	H员工琪琪		连分析员都站在我这边，快点把「随心兑」给我。	0	2.7版本妮塔入队剧情
page2.2	H安卡希雅		没想到会有裁决被推翻的时候，安卡队长只能遗憾退场了。	0	2.7版本妮塔入队剧情
page2.3	H员工莉莉		哼，拿去。	0	2.7版本妮塔入队剧情
page2.4	H员工琪琪		为了证明我并不稀罕你的「随心兑」，只是想做个规则的维护者，我会把它们都送给分析员。	0	2.7版本妮塔入队剧情
page2.5	H主角		给我？	0	2.7版本妮塔入队剧情
page2.6	H员工琪琪		没错分析员，让我们一起赞美规则。	0	2.7版本妮塔入队剧情
