字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T妮塔		哈哈~那只奇怪的家伙没骗我们，「乐透卡」真的在这里！	0	2.7版本妮塔入队剧情
page1.2	T妮塔		分析员~我们离大奖越来越近啦！	0	2.7版本妮塔入队剧情
page1.3			妮塔兴奋的声音很快被海浪声吞噬，这时我们才猛然察觉到四周尽是肆虐的潮水。	0	2.7版本妮塔入队剧情
page1.4	T妮塔		刚才来的路上，我好像看见了一座灯塔。	0	2.7版本妮塔入队剧情
page1.5	H主角		灯塔？	0	2.7版本妮塔入队剧情
page1.6			脑海中立刻产生了些联想，晦暗的雨幕中，一座灯塔正散发着微弱却坚定的光芒。	0	2.7版本妮塔入队剧情
page1.8	T妮塔		只要看着灯塔，就知道自己离目的地越来越近，而不是像瞎猫一样原地打转。	0	2.7版本妮塔入队剧情
page1.9	T妮塔		对我来说，分析员就是那样的存在。	0	2.7版本妮塔入队剧情
page1.10			海浪的低吟在耳边回荡，空气中弥漫着淡淡的咸涩气息。	0	2.7版本妮塔入队剧情
page1.12	H主角		妮塔，或许我们之间并没有那么大的差距。	0	2.7版本妮塔入队剧情
page1.13			听到我这么说，妮塔明显慌乱起来，嘴唇微微张开却又不知该如何开口。	0	2.7版本妮塔入队剧情
page1.14			我轻轻抬起手，用掌心贴上她微凉的脸颊。	0	2.7版本妮塔入队剧情
page1.15	H主角		在成为人类的希望之前，我首先是playername，你的恋人。	0	2.7版本妮塔入队剧情
page1.16	H主角		我们之间不该有界限、距离……因为我们早就合二为一，成了一个整体。	0	2.7版本妮塔入队剧情
page1.18	H主角		妮塔只需要在暴雨乱流到来之前，抓紧我的手，和我并肩。	0	2.7版本妮塔入队剧情
page1.19	H主角		这就足够了……	0	2.7版本妮塔入队剧情
page1.20			话还没说完，我的身体已经被妮塔紧紧环住。她一再收紧手臂，就像怕我消失似的。	0	2.7版本妮塔入队剧情
page1.21	T妮塔		幸好……	0	2.7版本妮塔入队剧情
page1.22	H主角		幸好什么？	0	2.7版本妮塔入队剧情
page1.23	T妮塔		幸好过得最苦的时候，我没放弃自己。	0	2.7版本妮塔入队剧情
page1.24	T妮塔		这才没走上歪路，还有了和分析员相遇的机会。	0	2.7版本妮塔入队剧情
page1.25	T妮塔		幸好疲惫的时候，我也不准自己松懈下来。	0	2.7版本妮塔入队剧情
page1.26	T妮塔		我一直告诉自己，要加倍加倍的努力，才配站在分析员身边。	0	2.7版本妮塔入队剧情
page1.27	T妮塔		幸好，我一直期待着这天，虽然过程比我想象的简单了很多……	0	2.7版本妮塔入队剧情
page1.28	T妮塔		但至少这句反复练习的回应，现在能够底气十足地说给分析员听！	0	2.7版本妮塔入队剧情
page1.29			海风吹散了心中的彷徨，一种平静安心的氛围将我们包裹。	0	2.7版本妮塔入队剧情
page1.30	T妮塔		分析员，不管前面有什么，以后的路我都会陪你走下去。	0	2.7版本妮塔入队剧情
page1.31	T妮塔		我，就在这里。	0	2.7版本妮塔入队剧情
page1.32			无法彻底宣泄的情绪，只能通过激烈的行动传达给对方。	0	2.7版本妮塔入队剧情
page1.33			妮塔的双臂缠上了我的后颈，身体不断贴近，双唇从浅浅试探到肆意侵略。	0	2.7版本妮塔入队剧情
page1.34			在无法呼吸的纠缠时刻，我们确认了彼此的存在……	0	2.7版本妮塔入队剧情
page1.35			也确认了要一起前行决意。	0	2.7版本妮塔入队剧情
