字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	H忙碌的安保		分析员，您好。我这里有一些关于更新公司规章制度的建议。	0	2.7版本妮塔入队剧情
page0.2	H主角		什么建议？	0	2.7版本妮塔入队剧情
page0.3	H忙碌的安保		我认为，在基地内行驶必须要有驾驶证才行。不然很容易造成交通事故，这关系到大家的生命安全。	0	2.7版本妮塔入队剧情
page0.4	H主角		行驶……你说的是那辆黄色扭扭车吗？	0	2.7版本妮塔入队剧情
page0.5	H忙碌的安保		是的，基地的人行道那么宽，难保驾驶者没有乱冲乱撞的想法。	0	2.7版本妮塔入队剧情
page0.6	H忙碌的安保		两个月前，我还亲眼见到那辆黄色小车超载，唉……行车不规范……	0	2.7版本妮塔入队剧情
choice1			亲人两行泪？	0	2.7版本妮塔入队剧情
page1.1	H忙碌的安保		如果能得到分析员的支持，我现在就去起草相关的交通法案，然后提交给安全部审核。	0	2.7版本妮塔入队剧情
page1.2	H主角		呃……或许你可以试试看？	0	2.7版本妮塔入队剧情
page1.3	H忙碌的安保		感谢分析员对我的支持。这些「随心兑」，就当是表达我的谢意。	0	2.7版本妮塔入队剧情
