字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H卡罗琳		……	0	2.7版本妮塔入队剧情
page1.2	H主角		卡罗琳？	0	2.7版本妮塔入队剧情
page1.3	H卡罗琳		……	0	2.7版本妮塔入队剧情
page1.4	H主角		（卡罗琳双眼无神地望着前方，没有予我任何回应，目光中的空洞感暗示着她的意识已经转移到了别处。）	0	2.7版本妮塔入队剧情
page1.5	H主角		嗯……会在哪里呢？	0	2.7版本妮塔入队剧情
page1.6			一个茶杯吸引了我的注意力，虽然它和别的杯子几乎一模一样……	0	2.7版本妮塔入队剧情
page1.7			但仔细观察就能发现，杯身正在以几不可察的幅度轻微震颤。	0	2.7版本妮塔入队剧情
page1.8	H主角		呃……卡罗琳？	0	2.7版本妮塔入队剧情
page1.9	卡罗琳		咦？分析员？真厉害啊，这样都能认出我来。	0	2.7版本妮塔入队剧情
page1.10	H主角		你在做什么？	0	2.7版本妮塔入队剧情
page1.11	卡罗琳		怎么说呢……我在试着让杯子里的茶叶梗立起来呢。据说这是好运来临的预兆？	0	2.7版本妮塔入队剧情
page1.12	H主角		你能控制杯子里的茶叶？	0	2.7版本妮塔入队剧情
page1.13	卡罗琳		理论上是做不到的啦，所以我在努力想象自己头发竖起来的感觉。	0	2.7版本妮塔入队剧情
page1.14	卡罗琳		我知道你肯定很好奇我在折腾些什么吧。唉，这不是马上要去向老板述职了嘛。	0	2.7版本妮塔入队剧情
page1.15	卡罗琳		最近事情多，老板心情不太好，今天多半要在会议上狠狠盘问我一番。而且……	0	2.7版本妮塔入队剧情
page1.16	H主角		而且？	0	2.7版本妮塔入队剧情
page1.17	卡罗琳		以前每次我去述职，电梯都会刚好停在一楼等我的……但今天，居然破天荒地没有！	0	2.7版本妮塔入队剧情
page1.18	H主角		所以呢？	0	2.7版本妮塔入队剧情
page1.19	卡罗琳		所以我运气真的特别差，急需找点好兆头来平衡一下啊。	0	2.7版本妮塔入队剧情
page1.20	H主角		你是不是太担心述职的事了？才会把这些日常巧合都往坏处想。说白了，不过是心理作用罢了。	0	2.7版本妮塔入队剧情
page1.21	卡罗琳		唔……分析员说的也有点道理……	0	2.7版本妮塔入队剧情
page1.22	卡罗琳		肯定是妮塔老念叨，我才被她传染了这些奇怪的想法。	0	2.7版本妮塔入队剧情
page1.23	H主角		你倒是提醒我了……	0	2.7版本妮塔入队剧情
page1.24	卡罗琳		提醒你什么？小心别被妮塔传染上迷信症？	0	2.7版本妮塔入队剧情
page1.25	H主角		当然不是。我是想到可以利用一些“好运暗示”来刺激妮塔的情绪，让她的心率产生变化。	0	2.7版本妮塔入队剧情
page1.26	卡罗琳		哦～你说的是新模组测试的事啊……没想到你会选择这么……嗯，保守的方案？	0	2.7版本妮塔入队剧情
page1.27	H主角		不保守的方案该是什么样？	0	2.7版本妮塔入队剧情
page1.28	卡罗琳		分析员和队员的罗曼蒂克之夜啊～这还用我明说吗？	0	2.7版本妮塔入队剧情
page1.29	H主角		小情报官，那种事情是在情愫自然萌发时才会发生，可不是用来完成实验的手段。	0	2.7版本妮塔入队剧情
page1.30	H主角		（面前的茶杯传来一声微不可闻的嘟囔。）	0	2.7版本妮塔入队剧情
page1.31	卡罗琳		（小声）啧，是手段又怎么了，反正也体验不够。	0	2.7版本妮塔入队剧情
page1.32	H主角		你说什么？	0	2.7版本妮塔入队剧情
page1.33	卡罗琳		啊！我是说……既然你已经有想法了，就赶紧行动起来吧。	0	2.7版本妮塔入队剧情
page1.34	H主角		我也是这么想的，既然都是好运暗示了，怎么说也得多布置几个……时间紧凑啊。	0	2.7版本妮塔入队剧情
page1.35	卡罗琳		数量的话……大概<orange>四个</>就够了吧？倒是好运暗示的出现地点，你可得好好规划一下。	0	2.7版本妮塔入队剧情
page1.36	H主角		地点？有什么说法吗？	0	2.7版本妮塔入队剧情
page1.37	卡罗琳		单一地点的震撼力度太小了！<orange>让好运暗示遍布整个基地</>，才能让心灵受到更大的冲击。	0	2.7版本妮塔入队剧情
page1.38	H主角		不愧是小情报官，懂得就是比一般人多。	0	2.7版本妮塔入队剧情
page1.40	卡罗琳		嗯哼~分析员就先去布置吧，<orange>等我意识转移回义体后，会再适当给点建议的~</>	0	2.7版本妮塔入队剧情
