字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H妮塔		哇！！！痛快，和分析员一起运动真是太爽了。	0	2.7版本妮塔入队剧情
page1.2	H妮塔		很少有人能跟上我的节奏，练到这个地步呢。不愧是分析员~耐力跟天启者相比，一点都不落下风。	0	2.7版本妮塔入队剧情
page1.3	H主角		呼~这段时间案头工作缠身，我也好久没这么大汗淋漓过了。	0	2.7版本妮塔入队剧情
page1.4			房间里充斥着两个人的喘息声，水珠自妮塔额头、背脊、腿间滑落。滴滴答答地在地板上汇成了一片水迹。	0	2.7版本妮塔入队剧情
page1.5			她的脸颊上既有一层绯红，也有潮润后的光泽，让我忍不住伸出手轻轻为她擦拭。	0	2.7版本妮塔入队剧情
page1.6			湿漉漉的衣服牢牢吸附在她的身躯上，勾勒出若隐若现的，让人心跳的轮廓。	0	2.7版本妮塔入队剧情
page1.7	H主角		这件居家服，还挺适合妮塔的……	0	2.7版本妮塔入队剧情
page1.8	H妮塔		分析员上次也说过这话~不过再适合也不能继续穿啦，轻轻一拧都能挤出水。	0	2.7版本妮塔入队剧情
page1.9	H妮塔		嘿嘿，我们赶紧去<orange>洗个澡</>，换套干爽的衣服吧，这么湿着可不行。	0	2.7版本妮塔入队剧情
page1.10	H主角		那你先洗还是我先洗？	0	2.7版本妮塔入队剧情
page1.11	H妮塔		哈哈哈，我和分析员还分什么先后，当然是找个能<orange>一起洗</>的地方啊！	0	2.7版本妮塔入队剧情
page1.12	H主角		那就一起吧。	0	2.7版本妮塔入队剧情
page1.13	H妮塔		这样我还可以帮分析员搓搓！	0	2.7版本妮塔入队剧情
page1.14	H主角		好啊……不过妮塔的手劲……待会记得温柔点。	0	2.7版本妮塔入队剧情
page1.15	H妮塔		嘿，分析员放心，你喜欢的节奏和力度，我都很了解~	0	2.7版本妮塔入队剧情
				0	2.7版本妮塔入队剧情
