字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H热情的员工		分析员，有时候我真觉得，日常的工作生活实在太单调了……	0	2.7版本妮塔入队剧情
page1.2	H热情的员工		能跟我讲讲海姆达尔部队出外勤的故事吗？就是那种精彩的任务报告！	0	2.7版本妮塔入队剧情
page1.3	H主角		当然可以，说起这个……	0	2.7版本妮塔入队剧情
page1.4			我将海姆达尔一路走来的故事娓娓道来，讲述在即将迎来高潮时，戛然而止。	0	2.7版本妮塔入队剧情
page1.5	H热情的员工		然后呢，然后呢？	0	2.7版本妮塔入队剧情
page1.6	H主角		想听海姆达尔之后的复仇计划吗？只需50张「随心兑」哦~	0	2.7版本妮塔入队剧情
page1.7	H热情的员工		诶？这么多……不过为了听这么精彩的故事，倒也值得！	0	2.7版本妮塔入队剧情
page1.8	H热情的员工		分析员，给你~	0	2.7版本妮塔入队剧情
page1.9	H主角		嗯嗯，下周四还在这里碰面，我继续给你讲后面更精彩的部分。	0	2.7版本妮塔入队剧情
