字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H妮塔		喔喔喔喔喔喔！	0	2.7版本妮塔入队剧情
page1.2	H妮塔		啊啊啊啊啊！	0	2.7版本妮塔入队剧情
page1.3			基地内回荡着此起彼伏的欢呼声，像浪潮般忽远忽近，一波未平一波又起。	0	2.7版本妮塔入队剧情
page1.4	H主角		不用想，一定是妮塔发现那些“好运暗示”了。	0	2.7版本妮塔入队剧情
page1.5	H妮塔		分析员！！！	0	2.7版本妮塔入队剧情
page1.6			妮塔如一只欢快的雀鸟般向我奔来，还未等我张开双臂，她温软的身体已经毫无保留地投入我的怀抱。	0	2.7版本妮塔入队剧情
page1.7	H主角		别着急，发生什么事了？慢慢说。	0	2.7版本妮塔入队剧情
page1.8	H妮塔		被幸运之神选中的人类，也就是我，在今天发现了种种好运到来的迹象！	0	2.7版本妮塔入队剧情
page1.9	H主角		嗯……比如？	0	2.7版本妮塔入队剧情
page1.10	H妮塔		我刚推开宿舍门，就看到一堆收拾好的废品，这不正好拿去卖钱！	0	2.7版本妮塔入队剧情
page1.11	H妮塔		零食柜这次的上新，全都是我爱吃的薯片！连桌上的茶，都像专门为我准备的一样，正好是我喜欢的口味。	0	2.7版本妮塔入队剧情
page1.12	H妮塔		而且！分析员你看~水面上还浮着一根茶叶梗！	0	2.7版本妮塔入队剧情
page1.13			妮塔一股脑说完后，脸颊涌上红潮，不由自主地原地转圈，闭眼进入了幸福过载状态。	0	2.7版本妮塔入队剧情
page1.14			我连忙拿出心率监测仪。屏幕上的数字正以惊人的速度攀升。	0	2.7版本妮塔入队剧情
page1.15			但还差一点点……就那么一点点……	0	2.7版本妮塔入队剧情
page1.16	H主角		妮塔，这次也……	0	2.7版本妮塔入队剧情
page1.17	H主角		（沉浸在幸福中的妮塔，完全没注意到我欲言又止的表情。）	0	2.7版本妮塔入队剧情
page1.18	H妮塔		这么走运，和分析员腻上一天也没问题吧~	0	2.7版本妮塔入队剧情
page1.19			妮塔的喜悦像是初升的、透着光彩的皂泡，让人不忍心扰碎。	0	2.7版本妮塔入队剧情
page1.20			等她平静下来，再提醒她这个略带遗憾的事实或许会更合适。	0	2.7版本妮塔入队剧情
page1.21			除此之外，陪伴她整整一天，的确是这场好运暗示最好的收尾方式。	0	2.7版本妮塔入队剧情
page1.22	H主角		（心率实验的第三个方向是<orange>惊吓后的应激反应</>……）	0	2.7版本妮塔入队剧情
page1.23	H主角		（既然是惊吓，是不是得找个<orange>不会被妮塔注意到的时候行动呢？</>）	0	2.7版本妮塔入队剧情
page1.24	H主角		（比如……在她<orange>睡觉或是洗澡的时候……</>）	0	2.7版本妮塔入队剧情
page1.25	H妮塔		哇！幸福得都快晕过去了，分析员快帮我看看心率监测仪，是不是已经突破极限了？		
